Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:06:57,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:06:57,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Thu,00:06:57,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Thu,00:06:57,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Thu,00:06:57,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Thu,00:06:57,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Thu,00:06:57,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Thu,00:06:57,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,11,8
Thu,00:06:57,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,11,9
Thu,00:06:57,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,11,10
Thu,00:06:57,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Thu,00:06:57,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Thu,00:06:57,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,12,13
Thu,00:23:56,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:23:56,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Thu,00:23:56,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Thu,00:23:56,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Thu,00:23:56,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Thu,00:23:56,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Thu,00:23:56,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Thu,00:23:56,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,11,8
Thu,00:23:56,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Thu,00:23:56,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Thu,00:23:56,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Thu,00:23:56,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,8,12
Thu,00:23:56,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Thu,00:39:05,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:39:05,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Thu,00:39:05,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Thu,00:39:05,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Thu,00:39:05,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Thu,00:39:05,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Thu,00:39:05,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Thu,00:39:05,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Thu,00:39:05,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Thu,00:39:05,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Thu,00:39:05,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Thu,00:39:05,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Thu,00:39:05,rwanda,uganda,*,*,*,13
Thu,00:39:05,rwanda,uganda,*,*,*,14
Thu,00:39:05,rwanda,uganda,*,*,*,15
Thu,00:39:05,rwanda,uganda,*,*,*,16
Thu,00:39:05,rwanda,uganda,*,*,*,17
Thu,00:39:05,rwanda,uganda,*,*,*,18
Thu,00:39:05,rwanda,uganda,*,*,*,19
Thu,00:39:05,rwanda,uganda,*,*,*,20
Thu,00:39:05,rwanda,uganda,*,*,*,21
Thu,00:39:05,rwanda,uganda,*,*,*,22
Thu,00:39:05,rwanda,uganda,*,*,*,23
Thu,00:54:35,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:54:35,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Thu,00:54:35,rwanda,uganda,197.243.126.165,197.243.126.165,4,3
Thu,00:54:35,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Thu,00:54:35,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Thu,00:54:35,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Thu,00:54:35,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Thu,00:54:35,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Thu,00:54:35,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Thu,00:54:35,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Thu,00:54:35,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Thu,00:54:35,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Thu,00:54:35,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,10,13
Thu,01:10:21,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,01:10:21,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Thu,01:10:21,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Thu,01:10:21,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Thu,01:10:21,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Thu,01:10:21,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Thu,01:10:21,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Thu,01:10:21,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Thu,01:10:21,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,12,9
Thu,01:10:21,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Thu,01:10:21,rwanda,uganda,196.0.0.209,196.0.0.209,10,11
Thu,01:10:21,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Thu,01:10:21,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Thu,01:26:11,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,01:26:11,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Thu,01:26:11,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Thu,01:26:11,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Thu,01:26:11,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Thu,01:26:11,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Thu,01:26:11,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Thu,01:26:11,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Thu,01:26:11,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Thu,01:26:11,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Thu,01:26:11,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Thu,01:26:11,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,8,12
Thu,01:26:11,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,8,13
Thu,01:42:36,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Thu,01:42:36,rwanda,uganda,41.74.174.49,41.74.174.49,5,2
Thu,01:42:36,rwanda,uganda,197.243.126.165,197.243.126.165,6,3
Thu,01:42:36,rwanda,uganda,192.168.1.253,192.168.1.253,6,4
Thu,01:42:36,rwanda,uganda,192.168.1.230,192.168.1.230,6,5
Thu,01:42:36,rwanda,uganda,197.243.126.29,197.243.126.29,19,6
Thu,01:42:36,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Thu,01:42:36,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Thu,01:42:36,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Thu,01:42:36,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Thu,01:42:36,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Thu,01:42:36,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,10,12
Thu,01:42:36,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,12,13
Thu,01:58:21,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,01:58:21,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Thu,01:58:21,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Thu,01:58:21,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Thu,01:58:21,rwanda,uganda,192.168.1.230,192.168.1.230,6,5
Thu,01:58:21,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Thu,01:58:21,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
