Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:03:00,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,4,1
Thu,00:03:00,rwanda,algeria,41.74.174.49,41.74.174.49,10,2
Thu,00:03:00,rwanda,algeria,197.243.126.165,197.243.126.165,15,3
Thu,00:03:00,rwanda,algeria,192.168.1.253,192.168.1.253,29,4
Thu,00:03:00,rwanda,algeria,192.168.1.230,192.168.1.230,31,5
Thu,00:03:00,rwanda,algeria,197.243.126.29,197.243.126.29,34,6
Thu,00:03:00,rwanda,algeria,41.223.224.210,41.223.224.210,11,7
Thu,00:03:00,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,169,8
Thu,00:03:00,rwanda,algeria,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,172,9
Thu,00:03:00,rwanda,algeria,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,38,10
Thu,00:03:00,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,179,11
Thu,00:03:00,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,172,12
Thu,00:03:00,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,167,13
Thu,00:03:00,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,168,14
Thu,00:03:00,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,171,15
Thu,00:03:00,rwanda,algeria,195.219.83.30,195.219.83.30,170,16
Thu,00:03:00,rwanda,algeria,172.16.44.138,172.16.44.138,219,17
Thu,00:03:00,rwanda,algeria,172.31.2.83,172.31.2.83,244,18
Thu,00:03:00,rwanda,algeria,10.10.13.99,10.10.13.99,214,19
Thu,00:03:00,rwanda,algeria,*,*,*,20
Thu,00:03:00,rwanda,algeria,*,*,*,21
Thu,00:03:00,rwanda,algeria,*,*,*,22
Thu,00:03:00,rwanda,algeria,*,*,*,23
Thu,00:03:00,rwanda,algeria,*,*,*,24
Thu,00:03:00,rwanda,algeria,*,*,*,25
Thu,00:03:00,rwanda,algeria,*,*,*,26
Thu,00:03:00,rwanda,algeria,*,*,*,27
Thu,00:03:00,rwanda,algeria,*,*,*,28
Thu,00:03:00,rwanda,algeria,*,*,*,29
Thu,00:03:00,rwanda,algeria,*,*,*,30
Thu,00:13:16,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,00:13:16,rwanda,algeria,41.74.174.49,41.74.174.49,7,2
Thu,00:13:16,rwanda,algeria,197.243.126.165,197.243.126.165,6,3
Thu,00:13:16,rwanda,algeria,192.168.1.253,192.168.1.253,6,4
Thu,00:13:16,rwanda,algeria,192.168.1.230,192.168.1.230,7,5
Thu,00:13:16,rwanda,algeria,197.243.126.29,197.243.126.29,12,6
Thu,00:13:16,rwanda,algeria,41.223.224.210,41.223.224.210,7,7
Thu,00:13:16,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,164,8
Thu,00:13:16,rwanda,algeria,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,164,9
Thu,00:13:16,rwanda,algeria,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,27,10
Thu,00:13:16,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,165,11
Thu,00:13:16,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,238,12
Thu,00:13:16,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,238,13
Thu,00:13:16,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,238,14
Thu,00:13:16,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,238,15
Thu,00:13:16,rwanda,algeria,195.219.83.30,195.219.83.30,238,16
Thu,00:13:16,rwanda,algeria,172.16.44.138,172.16.44.138,238,17
Thu,00:13:16,rwanda,algeria,172.31.2.83,172.31.2.83,228,18
Thu,00:13:16,rwanda,algeria,10.10.13.99,10.10.13.99,228,19
Thu,00:13:16,rwanda,algeria,*,*,*,20
Thu,00:13:16,rwanda,algeria,*,*,*,21
Thu,00:13:16,rwanda,algeria,*,*,*,22
Thu,00:13:16,rwanda,algeria,*,*,*,23
Thu,00:13:16,rwanda,algeria,*,*,*,24
Thu,00:13:16,rwanda,algeria,*,*,*,25
Thu,00:13:16,rwanda,algeria,*,*,*,26
Thu,00:13:16,rwanda,algeria,*,*,*,27
Thu,00:13:16,rwanda,algeria,*,*,*,28
Thu,00:13:16,rwanda,algeria,*,*,*,29
Thu,00:13:16,rwanda,algeria,*,*,*,30
Thu,00:24:06,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,4,1
Thu,00:24:06,rwanda,algeria,41.74.174.49,41.74.174.49,20,2
Thu,00:24:06,rwanda,algeria,197.243.126.165,197.243.126.165,29,3
Thu,00:24:06,rwanda,algeria,192.168.1.253,192.168.1.253,31,4
Thu,00:24:06,rwanda,algeria,192.168.1.230,192.168.1.230,34,5
Thu,00:24:06,rwanda,algeria,197.243.126.29,197.243.126.29,36,6
Thu,00:24:06,rwanda,algeria,41.223.224.210,41.223.224.210,10,7
Thu,00:24:06,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,168,8
Thu,00:24:06,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,171,9
Thu,00:24:06,rwanda,algeria,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,31,10
Thu,00:24:06,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,171,11
Thu,00:24:06,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,170,12
Thu,00:24:06,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,162,13
Thu,00:24:06,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,224,14
Thu,00:24:06,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,224,15
Thu,00:24:06,rwanda,algeria,195.219.83.30,195.219.83.30,224,16
Thu,00:24:06,rwanda,algeria,172.16.44.138,172.16.44.138,224,17
Thu,00:24:06,rwanda,algeria,172.31.2.83,172.31.2.83,213,18
Thu,00:24:06,rwanda,algeria,10.10.13.99,10.10.13.99,261,19
Thu,00:24:06,rwanda,algeria,*,*,*,20
Thu,00:24:06,rwanda,algeria,*,*,*,21
Thu,00:24:06,rwanda,algeria,*,*,*,22
Thu,00:24:06,rwanda,algeria,*,*,*,23
Thu,00:24:06,rwanda,algeria,*,*,*,24
Thu,00:24:06,rwanda,algeria,*,*,*,25
Thu,00:24:06,rwanda,algeria,*,*,*,26
Thu,00:24:06,rwanda,algeria,*,*,*,27
Thu,00:24:06,rwanda,algeria,*,*,*,28
Thu,00:24:06,rwanda,algeria,*,*,*,29
Thu,00:24:06,rwanda,algeria,*,*,*,30
Thu,00:35:01,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:35:01,rwanda,algeria,41.74.174.49,41.74.174.49,8,2
Thu,00:35:01,rwanda,algeria,197.243.126.165,197.243.126.165,8,3
Thu,00:35:01,rwanda,algeria,192.168.1.253,192.168.1.253,8,4
Thu,00:35:01,rwanda,algeria,192.168.1.230,192.168.1.230,8,5
Thu,00:35:01,rwanda,algeria,197.243.126.29,197.243.126.29,8,6
Thu,00:35:01,rwanda,algeria,41.223.224.210,41.223.224.210,6,7
Thu,00:35:01,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,206,8
Thu,00:35:01,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,206,9
Thu,00:35:01,rwanda,algeria,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,26,10
Thu,00:35:01,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,206,11
Thu,00:35:01,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,199,12
Thu,00:35:01,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,179,13
Thu,00:35:01,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,195,14
Thu,00:35:01,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,166,15
Thu,00:35:01,rwanda,algeria,195.219.83.30,195.219.83.30,167,16
Thu,00:35:01,rwanda,algeria,172.16.44.138,172.16.44.138,212,17
Thu,00:35:01,rwanda,algeria,172.31.2.83,172.31.2.83,213,18
Thu,00:35:01,rwanda,algeria,10.10.13.99,10.10.13.99,213,19
Thu,00:35:01,rwanda,algeria,*,*,*,20
Thu,00:35:01,rwanda,algeria,*,*,*,21
Thu,00:35:01,rwanda,algeria,*,*,*,22
Thu,00:35:01,rwanda,algeria,*,*,*,23
Thu,00:35:01,rwanda,algeria,*,*,*,24
Thu,00:35:01,rwanda,algeria,*,*,*,25
Thu,00:35:01,rwanda,algeria,*,*,*,26
Thu,00:35:01,rwanda,algeria,*,*,*,27
Thu,00:35:01,rwanda,algeria,*,*,*,28
Thu,00:35:01,rwanda,algeria,*,*,*,29
Thu,00:35:01,rwanda,algeria,*,*,*,30
Wed,18:10:45,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Wed,18:10:45,rwanda,algeria,41.74.174.49,41.74.174.49,5,2
Wed,18:10:45,rwanda,algeria,197.243.126.165,197.243.126.165,5,3
Wed,18:10:45,rwanda,algeria,192.168.1.253,192.168.1.253,4,4
Wed,18:10:45,rwanda,algeria,192.168.1.230,192.168.1.230,5,5
Wed,18:10:45,rwanda,algeria,197.243.126.29,197.243.126.29,5,6
Wed,18:10:45,rwanda,algeria,41.223.224.210,41.223.224.210,5,7
Wed,18:10:45,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,163,8
Wed,18:10:45,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,163,9
Wed,18:10:45,rwanda,algeria,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,24,10
Wed,18:10:45,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Wed,18:10:45,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,162,12
Wed,18:10:45,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,279,13
Wed,18:10:45,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,278,14
Wed,18:10:45,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,278,15
Wed,18:10:45,rwanda,algeria,195.219.83.30,195.219.83.30,278,16
Wed,18:10:45,rwanda,algeria,172.16.44.138,172.16.44.138,278,17
Wed,18:10:45,rwanda,algeria,172.31.2.83,172.31.2.83,278,18
Wed,18:10:45,rwanda,algeria,10.10.13.99,10.10.13.99,210,19
Wed,18:10:45,rwanda,algeria,*,*,*,20
Wed,18:10:45,rwanda,algeria,*,*,*,21
Wed,18:10:45,rwanda,algeria,*,*,*,22
Wed,18:10:45,rwanda,algeria,*,*,*,23
Wed,18:10:45,rwanda,algeria,*,*,*,24
Wed,18:10:45,rwanda,algeria,*,*,*,25
Wed,18:10:45,rwanda,algeria,*,*,*,26
Wed,18:10:45,rwanda,algeria,*,*,*,27
Wed,18:10:45,rwanda,algeria,*,*,*,28
Wed,18:10:45,rwanda,algeria,*,*,*,29
Wed,18:10:45,rwanda,algeria,*,*,*,30
Wed,18:21:37,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Wed,18:21:37,rwanda,algeria,41.74.174.49,41.74.174.49,10,2
Wed,18:21:37,rwanda,algeria,197.243.126.165,197.243.126.165,10,3
Wed,18:21:37,rwanda,algeria,192.168.1.253,192.168.1.253,11,4
Wed,18:21:37,rwanda,algeria,192.168.1.230,192.168.1.230,11,5
Wed,18:21:37,rwanda,algeria,197.243.126.29,197.243.126.29,11,6
Wed,18:21:37,rwanda,algeria,41.223.224.210,41.223.224.210,5,7
Wed,18:21:37,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,162,8
