Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:03:46,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,5,1
Thu,00:03:46,rwanda,angola,41.74.174.49,41.74.174.49,5,2
Thu,00:03:46,rwanda,angola,197.243.126.165,197.243.126.165,9,3
Thu,00:03:46,rwanda,angola,192.168.1.253,192.168.1.253,9,4
Thu,00:03:46,rwanda,angola,192.168.1.230,192.168.1.230,9,5
Thu,00:03:46,rwanda,angola,197.243.126.29,197.243.126.29,9,6
Thu,00:03:46,rwanda,angola,41.223.224.210,41.223.224.210,6,7
Thu,00:03:46,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,70,8
Thu,00:03:46,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,72,9
Thu,00:03:46,rwanda,angola,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,28,10
Thu,00:03:46,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,127,11
Thu,00:03:46,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,74,12
Thu,00:03:46,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,69,13
Thu,00:03:46,rwanda,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,125,14
Thu,00:03:46,rwanda,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,130,15
Thu,00:03:46,rwanda,angola,197.149.148.237,197.149.148.237,142,16
Thu,00:03:46,rwanda,angola,41.222.238.26,41.222.238.26,124,17
Thu,00:03:46,rwanda,angola,41.222.238.7,41.222.238.7,141,18
Thu,00:03:46,rwanda,angola,*,*,*,19
Thu,00:03:46,rwanda,angola,*,*,*,20
Thu,00:03:46,rwanda,angola,*,*,*,21
Thu,00:03:46,rwanda,angola,*,*,*,22
Thu,00:03:46,rwanda,angola,*,*,*,23
Thu,00:03:46,rwanda,angola,*,*,*,24
Thu,00:03:46,rwanda,angola,*,*,*,25
