Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:04:33,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:04:33,rwanda,congo_DR,41.74.174.49,41.74.174.49,5,2
Thu,00:04:33,rwanda,congo_DR,197.243.126.165,197.243.126.165,9,3
Thu,00:04:33,rwanda,congo_DR,192.168.1.253,192.168.1.253,10,4
Thu,00:04:33,rwanda,congo_DR,192.168.1.230,192.168.1.230,10,5
Thu,00:04:33,rwanda,congo_DR,197.243.126.29,197.243.126.29,10,6
Thu,00:04:33,rwanda,congo_DR,41.223.224.210,41.223.224.210,5,7
Thu,00:04:33,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,185,8
Thu,00:04:33,rwanda,congo_DR,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,185,9
Thu,00:04:33,rwanda,congo_DR,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Thu,00:04:33,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,185,11
Thu,00:04:33,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,180,12
Thu,00:04:33,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,229,13
Thu,00:04:33,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,229,14
Thu,00:04:33,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,229,15
Thu,00:04:33,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,235,16
Thu,00:04:33,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,297,17
Thu,00:04:33,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,412,18
Thu,00:04:33,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,412,19
Thu,00:04:33,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,412,20
Thu,00:04:33,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,411,21
Thu,00:04:33,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,402,22
Thu,00:04:33,rwanda,congo_DR,162-144-240-167.unifiedlayer.com,162.144.240.167,330,23
Thu,00:04:33,rwanda,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,348,24
Thu,00:04:33,rwanda,congo_DR,just57.justhost.com,173.254.28.57,348,25
Thu,00:14:58,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:14:58,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,00:14:58,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,00:14:58,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,00:14:58,rwanda,congo_DR,192.168.1.230,192.168.1.230,6,5
Thu,00:14:58,rwanda,congo_DR,197.243.126.29,197.243.126.29,10,6
Thu,00:14:58,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,00:14:58,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,161,8
Thu,00:14:58,rwanda,congo_DR,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,162,9
Thu,00:14:58,rwanda,congo_DR,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Thu,00:14:58,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Thu,00:14:58,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,162,12
Thu,00:14:58,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,162,13
Thu,00:14:58,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,162,14
Thu,00:14:58,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,162,15
Thu,00:14:58,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,233,16
Thu,00:14:58,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,294,17
Thu,00:14:58,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,381,18
Thu,00:14:58,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,381,19
Thu,00:14:58,rwanda,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,337,20
Thu,00:14:58,rwanda,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,327,21
Thu,00:14:58,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,340,22
Thu,00:14:58,rwanda,congo_DR,162-144-240-143.unifiedlayer.com,162.144.240.143,413,23
Thu,00:14:58,rwanda,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,378,24
Thu,00:14:58,rwanda,congo_DR,just57.justhost.com,173.254.28.57,378,25
Thu,00:25:54,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:25:54,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,00:25:54,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,00:25:54,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,00:25:54,rwanda,congo_DR,192.168.1.230,192.168.1.230,6,5
Thu,00:25:54,rwanda,congo_DR,197.243.126.29,197.243.126.29,19,6
Thu,00:25:54,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,00:25:54,rwanda,congo_DR,197.155.94.164,197.155.94.164,162,8
Thu,00:25:54,rwanda,congo_DR,197.155.94.96,197.155.94.96,163,9
Thu,00:25:54,rwanda,congo_DR,197.155.94.9,197.155.94.9,25,10
Thu,00:25:54,rwanda,congo_DR,5.11.10.122,5.11.10.122,164,11
Thu,00:25:54,rwanda,congo_DR,*,*,*,12
Thu,00:25:54,rwanda,congo_DR,*,*,*,13
Thu,00:25:54,rwanda,congo_DR,*,*,*,14
Thu,00:25:54,rwanda,congo_DR,*,*,*,15
Thu,00:25:54,rwanda,congo_DR,*,*,*,16
Thu,00:25:54,rwanda,congo_DR,*,*,*,17
Thu,00:25:54,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,325,18
Thu,00:25:54,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,316,19
Thu,00:25:54,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,329,20
Thu,00:25:54,rwanda,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,339,21
Thu,00:25:54,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,341,22
Thu,00:25:54,rwanda,congo_DR,162-144-240-161.unifiedlayer.com,162.144.240.161,341,23
Thu,00:25:54,rwanda,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,337,24
Thu,00:25:54,rwanda,congo_DR,just57.justhost.com,173.254.28.57,335,25
Thu,00:36:34,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,00:36:34,rwanda,congo_DR,41.74.174.49,41.74.174.49,6,2
Thu,00:36:34,rwanda,congo_DR,197.243.126.165,197.243.126.165,7,3
Thu,00:36:34,rwanda,congo_DR,192.168.1.253,192.168.1.253,7,4
Thu,00:36:34,rwanda,congo_DR,192.168.1.230,192.168.1.230,7,5
Thu,00:36:34,rwanda,congo_DR,197.243.126.29,197.243.126.29,7,6
Thu,00:36:34,rwanda,congo_DR,41.223.224.210,41.223.224.210,9,7
Thu,00:36:34,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,166,8
Thu,00:36:34,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,168,9
Thu,00:36:34,rwanda,congo_DR,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,30,10
Thu,00:36:34,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,168,11
Thu,00:36:34,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Thu,00:36:34,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,163,13
Thu,00:36:34,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,163,14
Thu,00:36:34,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,165,15
Thu,00:36:34,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,229,16
Thu,00:36:34,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,292,17
Thu,00:36:34,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,311,18
Thu,00:36:34,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,310,19
Thu,00:36:34,rwanda,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,320,20
Thu,00:36:34,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,317,21
Thu,00:36:34,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,343,22
Thu,00:36:34,rwanda,congo_DR,162-144-240-145.unifiedlayer.com,162.144.240.145,342,23
Thu,00:36:34,rwanda,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,335,24
Thu,00:36:34,rwanda,congo_DR,just57.justhost.com,173.254.28.57,326,25
Wed,18:12:28,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Wed,18:12:28,rwanda,congo_DR,41.74.174.49,41.74.174.49,8,2
Wed,18:12:28,rwanda,congo_DR,197.243.126.165,197.243.126.165,7,3
