Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:05:05,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:05:05,rwanda,ghana,41.74.174.49,41.74.174.49,4,2
Thu,00:05:05,rwanda,ghana,197.243.126.165,197.243.126.165,5,3
Thu,00:05:05,rwanda,ghana,192.168.1.253,192.168.1.253,14,4
Thu,00:05:05,rwanda,ghana,192.168.1.230,192.168.1.230,14,5
Thu,00:05:05,rwanda,ghana,197.243.126.29,197.243.126.29,14,6
Thu,00:05:05,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Thu,00:05:05,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,200,8
Thu,00:05:05,rwanda,ghana,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,200,9
Thu,00:05:05,rwanda,ghana,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,28,10
Thu,00:05:05,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,200,11
Thu,00:05:05,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,195,12
Thu,00:05:05,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,198,13
Thu,00:05:05,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,201,14
Thu,00:05:05,rwanda,ghana,10.118.46.106,10.118.46.106,512,15
Thu,00:05:05,rwanda,ghana,41.21.232.70,41.21.232.70,512,16
Thu,00:05:05,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,512,17
Thu,00:05:05,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,403,18
Thu,00:05:05,rwanda,ghana,197.255.127.2,197.255.127.2,405,19
Thu,00:05:05,rwanda,ghana,197.255.127.35,197.255.127.35,409,20
Thu,00:05:05,rwanda,ghana,197.255.125.213,197.255.125.213,409,21
Thu,00:15:30,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:15:30,rwanda,ghana,41.74.174.49,41.74.174.49,5,2
Thu,00:15:30,rwanda,ghana,197.243.126.165,197.243.126.165,5,3
Thu,00:15:30,rwanda,ghana,192.168.1.253,192.168.1.253,5,4
Thu,00:15:30,rwanda,ghana,192.168.1.230,192.168.1.230,6,5
Thu,00:15:30,rwanda,ghana,197.243.126.29,197.243.126.29,6,6
Thu,00:15:30,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Thu,00:15:30,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,194,8
Thu,00:15:30,rwanda,ghana,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,194,9
Thu,00:15:30,rwanda,ghana,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,24,10
Thu,00:15:30,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,194,11
Thu,00:15:30,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,193,12
Thu,00:15:30,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,196,13
Thu,00:15:30,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,198,14
Thu,00:15:30,rwanda,ghana,10.118.46.106,10.118.46.106,480,15
Thu,00:15:30,rwanda,ghana,41.21.232.70,41.21.232.70,480,16
Thu,00:15:30,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,480,17
Thu,00:15:30,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,407,18
Thu,00:15:30,rwanda,ghana,197.255.127.2,197.255.127.2,404,19
Thu,00:15:30,rwanda,ghana,197.255.127.35,197.255.127.35,406,20
Thu,00:15:30,rwanda,ghana,197.255.125.213,197.255.125.213,448,21
Thu,00:26:25,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,00:26:25,rwanda,ghana,41.74.174.49,41.74.174.49,7,2
Thu,00:26:25,rwanda,ghana,197.243.126.165,197.243.126.165,6,3
Thu,00:26:25,rwanda,ghana,192.168.1.253,192.168.1.253,7,4
Thu,00:26:25,rwanda,ghana,192.168.1.230,192.168.1.230,7,5
Thu,00:26:25,rwanda,ghana,197.243.126.29,197.243.126.29,7,6
Thu,00:26:25,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Thu,00:26:25,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,194,8
Thu,00:26:25,rwanda,ghana,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,194,9
Thu,00:26:25,rwanda,ghana,197.155.94.167.liquidtelecom.net,197.155.94.167,26,10
Thu,00:26:25,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,194,11
Thu,00:26:25,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,193,12
Thu,00:26:25,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,224,13
Thu,00:26:25,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,196,14
Thu,00:26:25,rwanda,ghana,10.118.46.106,10.118.46.106,478,15
Thu,00:26:25,rwanda,ghana,41.21.232.70,41.21.232.70,479,16
Thu,00:26:25,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,479,17
Thu,00:26:25,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,405,18
Thu,00:26:25,rwanda,ghana,197.255.127.2,197.255.127.2,411,19
Thu,00:26:25,rwanda,ghana,197.255.127.35,197.255.127.35,408,20
Thu,00:26:25,rwanda,ghana,197.255.125.213,197.255.125.213,515,21
Thu,00:37:06,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:37:06,rwanda,ghana,41.74.174.49,41.74.174.49,4,2
Thu,00:37:06,rwanda,ghana,197.243.126.165,197.243.126.165,5,3
Thu,00:37:06,rwanda,ghana,192.168.1.253,192.168.1.253,5,4
Thu,00:37:06,rwanda,ghana,192.168.1.230,192.168.1.230,5,5
Thu,00:37:06,rwanda,ghana,197.243.126.29,197.243.126.29,5,6
Thu,00:37:06,rwanda,ghana,41.223.224.210,41.223.224.210,4,7
Thu,00:37:06,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,193,8
Thu,00:37:06,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,193,9
Thu,00:37:06,rwanda,ghana,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,24,10
Thu,00:37:06,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,194,11
Thu,00:37:06,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,194,12
Thu,00:37:06,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,259,13
Thu,00:37:06,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,197,14
Thu,00:37:06,rwanda,ghana,10.118.46.106,10.118.46.106,482,15
Thu,00:37:06,rwanda,ghana,41.21.232.70,41.21.232.70,482,16
Thu,00:37:06,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,482,17
Thu,00:37:06,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,482,18
Thu,00:37:06,rwanda,ghana,197.255.127.2,197.255.127.2,406,19
Thu,00:37:06,rwanda,ghana,197.255.127.35,197.255.127.35,409,20
Thu,00:37:06,rwanda,ghana,197.255.125.213,197.255.125.213,405,21
Wed,18:12:59,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,38,1
Wed,18:12:59,rwanda,ghana,41.74.174.49,41.74.174.49,38,2
Wed,18:12:59,rwanda,ghana,197.243.126.165,197.243.126.165,39,3
Wed,18:12:59,rwanda,ghana,192.168.1.253,192.168.1.253,39,4
Wed,18:12:59,rwanda,ghana,192.168.1.230,192.168.1.230,39,5
Wed,18:12:59,rwanda,ghana,197.243.126.29,197.243.126.29,39,6
Wed,18:12:59,rwanda,ghana,41.223.224.210,41.223.224.210,12,7
Wed,18:12:59,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,310,8
Wed,18:12:59,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,310,9
Wed,18:12:59,rwanda,ghana,197.155.94.167.liquidtelecom.net,197.155.94.167,37,10
Wed,18:12:59,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,309,11
Wed,18:12:59,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,309,12
Wed,18:12:59,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,198,13
Wed,18:12:59,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,198,14
Wed,18:12:59,rwanda,ghana,10.118.46.106,10.118.46.106,472,15
Wed,18:12:59,rwanda,ghana,41.21.232.70,41.21.232.70,500,16
Wed,18:12:59,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,500,17
Wed,18:12:59,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,587,18
Wed,18:12:59,rwanda,ghana,197.255.127.2,197.255.127.2,588,19
Wed,18:12:59,rwanda,ghana,197.255.127.35,197.255.127.35,546,20
Wed,18:12:59,rwanda,ghana,197.255.125.213,197.255.125.213,478,21
Wed,18:22:46,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Wed,18:22:46,rwanda,ghana,41.74.174.49,41.74.174.49,4,2
Wed,18:22:46,rwanda,ghana,197.243.126.165,197.243.126.165,6,3
Wed,18:22:46,rwanda,ghana,192.168.1.253,192.168.1.253,7,4
Wed,18:22:46,rwanda,ghana,192.168.1.230,192.168.1.230,7,5
Wed,18:22:46,rwanda,ghana,197.243.126.29,197.243.126.29,7,6
Wed,18:22:46,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Wed,18:22:46,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,194,8
Wed,18:22:46,rwanda,ghana,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,194,9
Wed,18:22:46,rwanda,ghana,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,29,10
Wed,18:22:46,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,195,11
Wed,18:22:46,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,197,12
Wed,18:22:46,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,193,13
Wed,18:22:46,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,195,14
Wed,18:22:46,rwanda,ghana,10.118.46.106,10.118.46.106,400,15
Wed,18:22:46,rwanda,ghana,41.21.232.70,41.21.232.70,404,16
Wed,18:22:46,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,405,17
Wed,18:22:46,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,405,18
Wed,18:22:46,rwanda,ghana,197.255.127.2,197.255.127.2,406,19
Wed,18:22:46,rwanda,ghana,197.255.127.35,197.255.127.35,405,20
Wed,18:22:46,rwanda,ghana,197.255.125.213,197.255.125.213,406,21
Wed,18:30:54,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Wed,18:30:54,rwanda,ghana,41.74.174.49,41.74.174.49,5,2
Wed,18:30:54,rwanda,ghana,197.243.126.165,197.243.126.165,5,3
Wed,18:30:54,rwanda,ghana,192.168.1.253,192.168.1.253,6,4
Wed,18:30:54,rwanda,ghana,192.168.1.230,192.168.1.230,6,5
Wed,18:30:54,rwanda,ghana,197.243.126.29,197.243.126.29,24,6
Wed,18:30:54,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Wed,18:30:54,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,194,8
Wed,18:30:54,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,194,9
Wed,18:30:54,rwanda,ghana,197.155.94.167.liquidtelecom.net,197.155.94.167,24,10
Wed,18:30:54,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,195,11
Wed,18:30:54,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,192,12
Wed,18:30:54,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,204,13
Wed,18:30:54,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,204,14
Wed,18:30:54,rwanda,ghana,10.118.46.106,10.118.46.106,473,15
Wed,18:30:54,rwanda,ghana,41.21.232.70,41.21.232.70,473,16
Wed,18:30:54,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,473,17
Wed,18:30:54,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,404,18
Wed,18:30:54,rwanda,ghana,197.255.127.2,197.255.127.2,405,19
Wed,18:30:54,rwanda,ghana,197.255.127.35,197.255.127.35,406,20
Wed,18:30:54,rwanda,ghana,197.255.125.213,197.255.125.213,410,21
Wed,18:38:54,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Wed,18:38:54,rwanda,ghana,41.74.174.49,41.74.174.49,5,2
Wed,18:38:54,rwanda,ghana,197.243.126.165,197.243.126.165,6,3
Wed,18:38:54,rwanda,ghana,192.168.1.253,192.168.1.253,6,4
Wed,18:38:54,rwanda,ghana,192.168.1.230,192.168.1.230,6,5
Wed,18:38:54,rwanda,ghana,197.243.126.29,197.243.126.29,6,6
Wed,18:38:54,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Wed,18:38:54,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,195,8
Wed,18:38:54,rwanda,ghana,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,195,9
Wed,18:38:54,rwanda,ghana,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Wed,18:38:54,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,194,11
Wed,18:38:54,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,193,12
Wed,18:38:54,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,194,13
Wed,18:38:54,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,198,14
Wed,18:38:54,rwanda,ghana,10.118.46.106,10.118.46.106,436,15
Wed,18:38:54,rwanda,ghana,41.21.232.70,41.21.232.70,437,16
Wed,18:38:54,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,437,17
Wed,18:38:54,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,405,18
Wed,18:38:54,rwanda,ghana,197.255.127.2,197.255.127.2,405,19
Wed,18:38:54,rwanda,ghana,197.255.127.35,197.255.127.35,400,20
Wed,18:38:54,rwanda,ghana,197.255.125.213,197.255.125.213,406,21
Wed,18:46:52,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,4,1
Wed,18:46:52,rwanda,ghana,41.74.174.49,41.74.174.49,7,2
Wed,18:46:52,rwanda,ghana,197.243.126.165,197.243.126.165,9,3
Wed,18:46:52,rwanda,ghana,192.168.1.253,192.168.1.253,9,4
Wed,18:46:52,rwanda,ghana,192.168.1.230,192.168.1.230,9,5
Wed,18:46:52,rwanda,ghana,197.243.126.29,197.243.126.29,9,6
Wed,18:46:52,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Wed,18:46:52,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,194,8
Wed,18:46:52,rwanda,ghana,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,193,9
Wed,18:46:52,rwanda,ghana,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,25,10
