Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:06:37,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Thu,00:06:37,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Thu,00:06:37,rwanda,japan,197.243.126.165,197.243.126.165,6,3
Thu,00:06:37,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Thu,00:06:37,rwanda,japan,192.168.1.230,192.168.1.230,6,5
Thu,00:06:37,rwanda,japan,197.243.126.29,197.243.126.29,6,6
Thu,00:06:37,rwanda,japan,41.223.224.210,41.223.224.210,5,7
Thu,00:06:37,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,186,8
Thu,00:06:37,rwanda,japan,197.155.94.148.liquidtelecom.net,197.155.94.148,189,9
Thu,00:06:37,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,185,10
Thu,00:06:37,rwanda,japan,197.155.94.169.liquidtelecom.net,197.155.94.169,31,11
Thu,00:06:37,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,75,12
Thu,00:06:37,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,271,13
Thu,00:06:37,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,271,14
Thu,00:06:37,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,271,15
Thu,00:06:37,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,477,16
Thu,00:06:37,rwanda,japan,tenge0-3-0-4.br02.tok02.pccwbtn.net,63.218.250.113,477,17
Thu,00:06:37,rwanda,japan,63-218-251-238.static.pccwglobal.net,63.218.251.238,418,18
Thu,00:06:37,rwanda,japan,52.95.30.137,52.95.30.137,430,19
Thu,00:06:37,rwanda,japan,52.95.30.22,52.95.30.22,426,20
Thu,00:06:37,rwanda,japan,54.239.52.161,54.239.52.161,425,21
Thu,00:06:37,rwanda,japan,52.95.31.35,52.95.31.35,442,22
Thu,00:06:37,rwanda,japan,52.95.31.124,52.95.31.124,435,23
Thu,00:06:37,rwanda,japan,52.95.30.208,52.95.30.208,426,24
Thu,00:06:37,rwanda,japan,*,*,*,25
Thu,00:06:37,rwanda,japan,*,*,*,26
Thu,00:06:37,rwanda,japan,*,*,*,27
Thu,00:06:37,rwanda,japan,ec2-13-113-204-48.ap-northeast-1.compute.amazonaws.com,13.113.204.48,425,28
Thu,00:17:03,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:17:03,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Thu,00:17:03,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Thu,00:17:03,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Thu,00:17:03,rwanda,japan,192.168.1.230,192.168.1.230,5,5
Thu,00:17:03,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Thu,00:17:03,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Thu,00:17:03,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,186,8
Thu,00:17:03,rwanda,japan,197.155.94.148.liquidtelecom.net,197.155.94.148,185,9
Thu,00:17:03,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,185,10
Thu,00:17:03,rwanda,japan,ten-0-1-1-2-p2-msa.liquidtelecom.net,197.155.94.73,26,11
Thu,00:17:03,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,73,12
