Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:05:50,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:05:50,rwanda,kenya,41.74.174.49,41.74.174.49,4,2
Thu,00:05:50,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
Thu,00:05:50,rwanda,kenya,192.168.1.253,192.168.1.253,5,4
Thu,00:05:50,rwanda,kenya,192.168.1.230,192.168.1.230,5,5
Thu,00:05:50,rwanda,kenya,197.243.126.29,197.243.126.29,5,6
Thu,00:05:50,rwanda,kenya,41.223.224.210,41.223.224.210,9,7
Thu,00:05:50,rwanda,kenya,197.155.94.164.liquidtelecom.net,197.155.94.164,19,8
Thu,00:05:50,rwanda,kenya,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,18,9
Thu,00:05:50,rwanda,kenya,teng0-0-1-1-pe1-nbi.liquidtelecom.net,197.155.94.41,19,10
Thu,00:05:50,rwanda,kenya,196.223.21.15,196.223.21.15,19,11
Thu,00:05:50,rwanda,kenya,196.223.21.15,196.223.21.15,17,12
Thu,00:05:50,rwanda,kenya,196.201.222.166,196.201.222.166,29,13
Thu,00:05:50,rwanda,kenya,172.17.28.1,172.17.28.1,37,14
Thu,00:05:50,rwanda,kenya,172.17.28.1,172.17.28.1,37,15
Thu,00:05:50,rwanda,kenya,172.17.28.1,172.17.28.1,37,16
Thu,00:05:50,rwanda,kenya,*,*,*,17
Thu,00:05:50,rwanda,kenya,*,*,*,18
Thu,00:05:50,rwanda,kenya,*,*,*,19
Thu,00:05:50,rwanda,kenya,*,*,*,20
Thu,00:05:50,rwanda,kenya,*,*,*,21
Thu,00:05:50,rwanda,kenya,*,*,*,22
Thu,00:05:50,rwanda,kenya,*,*,*,23
Thu,00:05:50,rwanda,kenya,*,*,*,24
Thu,00:05:50,rwanda,kenya,*,*,*,25
Thu,00:05:50,rwanda,kenya,*,*,*,26
Thu,00:05:50,rwanda,kenya,*,*,*,27
Thu,00:05:50,rwanda,kenya,*,*,*,28
Thu,00:05:50,rwanda,kenya,*,*,*,29
Thu,00:05:50,rwanda,kenya,*,*,*,30
Thu,00:16:15,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,00:16:15,rwanda,kenya,41.74.174.49,41.74.174.49,6,2
Thu,00:16:15,rwanda,kenya,197.243.126.165,197.243.126.165,7,3
Thu,00:16:15,rwanda,kenya,192.168.1.253,192.168.1.253,7,4
Thu,00:16:15,rwanda,kenya,192.168.1.230,192.168.1.230,7,5
Thu,00:16:15,rwanda,kenya,197.243.126.29,197.243.126.29,7,6
Thu,00:16:15,rwanda,kenya,41.223.224.210,41.223.224.210,68,7
Thu,00:16:15,rwanda,kenya,197.155.94.164.liquidtelecom.net,197.155.94.164,68,8
Thu,00:16:15,rwanda,kenya,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,68,9
Thu,00:16:15,rwanda,kenya,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,68,10
Thu,00:16:15,rwanda,kenya,196.223.21.15,196.223.21.15,68,11
Thu,00:16:15,rwanda,kenya,196.223.21.15,196.223.21.15,57,12
Thu,00:16:15,rwanda,kenya,196.201.222.166,196.201.222.166,29,13
Thu,00:16:15,rwanda,kenya,196.201.222.166,196.201.222.166,31,14
Thu,00:16:15,rwanda,kenya,172.17.28.1,172.17.28.1,30,15
Thu,00:16:15,rwanda,kenya,172.17.28.1,172.17.28.1,30,16
Thu,00:16:15,rwanda,kenya,*,*,*,17
Thu,00:16:15,rwanda,kenya,*,*,*,18
Thu,00:16:15,rwanda,kenya,*,*,*,19
Thu,00:16:15,rwanda,kenya,*,*,*,20
Thu,00:16:15,rwanda,kenya,*,*,*,21
Thu,00:16:15,rwanda,kenya,*,*,*,22
Thu,00:16:15,rwanda,kenya,*,*,*,23
Thu,00:16:15,rwanda,kenya,*,*,*,24
Thu,00:16:15,rwanda,kenya,*,*,*,25
Thu,00:16:15,rwanda,kenya,*,*,*,26
Thu,00:16:15,rwanda,kenya,*,*,*,27
Thu,00:16:15,rwanda,kenya,*,*,*,28
Thu,00:16:15,rwanda,kenya,*,*,*,29
Thu,00:16:15,rwanda,kenya,*,*,*,30
Thu,00:27:18,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:27:18,rwanda,kenya,41.74.174.49,41.74.174.49,4,2
Thu,00:27:18,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
Thu,00:27:18,rwanda,kenya,192.168.1.253,192.168.1.253,5,4
Thu,00:27:18,rwanda,kenya,192.168.1.230,192.168.1.230,6,5
