Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:07:21,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:07:21,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Thu,00:07:21,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Thu,00:07:21,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Thu,00:07:21,rwanda,oregon,192.168.1.230,192.168.1.230,6,5
Thu,00:07:21,rwanda,oregon,197.243.126.29,197.243.126.29,5,6
Thu,00:07:21,rwanda,oregon,41.223.224.210,41.223.224.210,6,7
Thu,00:07:21,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,186,8
Thu,00:07:21,rwanda,oregon,197.155.94.148.liquidtelecom.net,197.155.94.148,187,9
Thu,00:07:21,rwanda,oregon,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,183,10
Thu,00:07:21,rwanda,oregon,197.155.94.169.liquidtelecom.net,197.155.94.169,26,11
Thu,00:07:21,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,75,12
Thu,00:07:21,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,187,13
Thu,00:07:21,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,189,14
Thu,00:07:21,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,187,15
Thu,00:07:21,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,253,16
Thu,00:07:21,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,270,17
Thu,00:07:21,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,292,18
Thu,00:07:21,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,296,19
Thu,00:07:21,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,310,20
Thu,00:07:21,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,304,21
