Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:34:05,japan,angola,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,16,1
Thu,17:34:05,japan,angola,100.64.2.74,100.64.2.74,22,2
Thu,17:34:05,japan,angola,100.64.0.197,100.64.0.197,14,3
Thu,17:34:05,japan,angola,100.64.17.7,100.64.17.7,0,4
Thu,17:34:05,japan,angola,52.95.30.217,52.95.30.217,3,5
Thu,17:34:05,japan,angola,52.95.31.133,52.95.31.133,5,6
Thu,17:34:05,japan,angola,52.95.31.38,52.95.31.38,2,7
Thu,17:34:05,japan,angola,54.239.52.140,54.239.52.140,11,8
Thu,17:34:05,japan,angola,54.239.53.37,54.239.53.37,16,9
Thu,17:34:05,japan,angola,54.239.53.118,54.239.53.118,8,10
Thu,17:34:05,japan,angola,63-222-51-9.static.pccwglobal.net,63.222.51.9,9,11
Thu,17:34:05,japan,angola,TenGE4-2.br01.tok02.pccwbtn.net,63.218.250.37,12,12
Thu,17:34:05,japan,angola,TenGE0-1-0-18.br02.tok02.pccwbtn.net,63.223.33.197,11,13
Thu,17:34:05,japan,angola,if-et-21-2.hcore1.KV8-Chiba.as6453.net,120.29.217.67,19,14
Thu,17:34:05,japan,angola,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,271,15
Thu,17:34:05,japan,angola,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,272,16
Thu,17:34:05,japan,angola,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,271,17
Thu,17:34:05,japan,angola,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,271,18
Thu,17:34:05,japan,angola,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,271,19
Thu,17:34:05,japan,angola,if-ae-4-2.tcore2.L78-London.as6453.net,80.231.131.157,271,20
Thu,17:34:05,japan,angola,if-ae-4-2.tcore2.L78-London.as6453.net,80.231.131.157,272,21
Thu,17:34:05,japan,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,273,22
Thu,17:34:05,japan,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,271,23
Thu,17:34:05,japan,angola,if-ae-2-2.tcore2.PV9-Lisbon.as6453.net,80.231.158.6,271,24
Thu,17:34:05,japan,angola,80.231.159.26,80.231.159.26,271,25
Thu,17:34:05,japan,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,370,26
Thu,17:34:05,japan,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,374,27
Thu,17:34:05,japan,angola,197.149.148.237,197.149.148.237,371,28
Thu,17:34:05,japan,angola,41.222.238.26,41.222.238.26,373,29
Thu,17:34:05,japan,angola,41.222.238.7,41.222.238.7,373,30
Thu,17:42:35,japan,angola,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,20,1
