Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:34:44,japan,congo_DR,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,13,1
Thu,17:34:44,japan,congo_DR,100.64.0.72,100.64.0.72,16,2
Thu,17:34:44,japan,congo_DR,100.64.2.71,100.64.2.71,17,3
Thu,17:34:44,japan,congo_DR,100.64.16.177,100.64.16.177,0,4
Thu,17:34:44,japan,congo_DR,52.95.30.213,52.95.30.213,3,5
Thu,17:34:44,japan,congo_DR,52.95.31.123,52.95.31.123,10,6
Thu,17:34:44,japan,congo_DR,52.95.31.22,52.95.31.22,2,7
Thu,17:34:44,japan,congo_DR,54.239.52.112,54.239.52.112,5,8
Thu,17:34:44,japan,congo_DR,52.95.30.11,52.95.30.11,11,9
Thu,17:34:44,japan,congo_DR,52.95.30.170,52.95.30.170,5,10
Thu,17:34:44,japan,congo_DR,203.105.73.45,203.105.73.45,7,11
Thu,17:34:44,japan,congo_DR,ae-14.r31.tokyjp05.jp.bb.gin.ntt.net,129.250.4.248,5,12
Thu,17:34:44,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,114,13
Thu,17:34:44,japan,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,112,14
Thu,17:34:44,japan,congo_DR,ae-2.r00.lsanca07.us.bb.gin.ntt.net,129.250.3.238,113,15
Thu,17:34:44,japan,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,130,16
Thu,17:34:44,japan,congo_DR,162-144-240-145.unifiedlayer.com,162.144.240.145,142,17
Thu,17:34:44,japan,congo_DR,162-144-240-147.unifiedlayer.com,162.144.240.147,131,18
Thu,17:34:44,japan,congo_DR,just57.justhost.com,173.254.28.57,143,19
Thu,17:42:50,japan,congo_DR,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,27,1
Thu,17:42:50,japan,congo_DR,100.64.2.76,100.64.2.76,21,2
Thu,17:42:50,japan,congo_DR,100.64.2.1,100.64.2.1,11,3
Thu,17:42:50,japan,congo_DR,100.64.16.9,100.64.16.9,0,4
Thu,17:42:50,japan,congo_DR,52.95.30.221,52.95.30.221,3,5
Thu,17:42:50,japan,congo_DR,52.95.31.123,52.95.31.123,6,6
Thu,17:42:50,japan,congo_DR,52.95.31.34,52.95.31.34,2,7
Thu,17:42:50,japan,congo_DR,54.239.52.110,54.239.52.110,6,8
Thu,17:42:50,japan,congo_DR,52.95.30.29,52.95.30.29,7,9
Thu,17:42:50,japan,congo_DR,52.95.30.172,52.95.30.172,6,10
Thu,17:42:50,japan,congo_DR,ae-21.r02.tokyjp03.jp.bb.gin.ntt.net,120.88.53.145,4,11
Thu,17:42:50,japan,congo_DR,ae-14.r31.tokyjp05.jp.bb.gin.ntt.net,129.250.4.248,6,12
Thu,17:42:50,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,113,13
Thu,17:42:50,japan,congo_DR,ae-2.r01.lsanca07.us.bb.gin.ntt.net,129.250.4.107,113,14
Thu,17:42:50,japan,congo_DR,ae-2.r01.lsanca07.us.bb.gin.ntt.net,129.250.4.107,113,15
Thu,17:42:50,japan,congo_DR,ae-0.a01.lsanca07.us.bb.gin.ntt.net,129.250.2.16,115,16
Thu,17:42:50,japan,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,130,17
Thu,17:42:50,japan,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,130,18
Thu,17:42:50,japan,congo_DR,just57.justhost.com,173.254.28.57,142,19
Thu,17:51:03,japan,congo_DR,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,17,1
Thu,17:51:03,japan,congo_DR,100.64.3.76,100.64.3.76,17,2
Thu,17:51:03,japan,congo_DR,100.64.3.129,100.64.3.129,11,3
Thu,17:51:03,japan,congo_DR,100.64.16.65,100.64.16.65,0,4
Thu,17:51:03,japan,congo_DR,52.95.30.213,52.95.30.213,3,5
Thu,17:51:03,japan,congo_DR,52.95.31.131,52.95.31.131,10,6
Thu,17:51:03,japan,congo_DR,52.95.31.22,52.95.31.22,2,7
Thu,17:51:03,japan,congo_DR,54.239.52.156,54.239.52.156,3,8
Thu,17:51:03,japan,congo_DR,52.95.30.29,52.95.30.29,6,9
Thu,17:51:03,japan,congo_DR,52.95.30.154,52.95.30.154,5,10
Thu,17:51:03,japan,congo_DR,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,5,11
Thu,17:51:03,japan,congo_DR,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,6,12
Thu,17:51:03,japan,congo_DR,ae-4.r23.snjsca04.us.bb.gin.ntt.net,129.250.5.78,123,13
Thu,17:51:03,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,113,14
Thu,17:51:03,japan,congo_DR,ae-1.a01.lsanca07.us.bb.gin.ntt.net,129.250.2.160,113,15
Thu,17:51:03,japan,congo_DR,ae-0.a01.lsanca07.us.bb.gin.ntt.net,129.250.2.16,113,16
Thu,17:51:03,japan,congo_DR,ae-0.endurance.lsanca07.us.bb.gin.ntt.net,129.250.198.182,130,17
Thu,17:51:03,japan,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,130,18
Thu,17:51:03,japan,congo_DR,just57.justhost.com,173.254.28.57,143,19
Thu,17:58:22,japan,congo_DR,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,13,1
Thu,17:58:22,japan,congo_DR,100.64.1.202,100.64.1.202,17,2
Thu,17:58:22,japan,congo_DR,100.64.3.197,100.64.3.197,11,3
Thu,17:58:22,japan,congo_DR,100.64.17.167,100.64.17.167,0,4
Thu,17:58:22,japan,congo_DR,52.95.30.209,52.95.30.209,2,5
Thu,17:58:22,japan,congo_DR,52.95.31.129,52.95.31.129,3,6
Thu,17:58:22,japan,congo_DR,52.95.31.12,52.95.31.12,2,7
Thu,17:58:22,japan,congo_DR,54.239.52.110,54.239.52.110,7,8
Thu,17:58:22,japan,congo_DR,52.95.30.29,52.95.30.29,4,9
Thu,17:58:22,japan,congo_DR,52.95.30.142,52.95.30.142,5,10
Thu,17:58:22,japan,congo_DR,203.105.73.45,203.105.73.45,8,11
Thu,17:58:22,japan,congo_DR,ae-10.r31.tokyjp05.jp.bb.gin.ntt.net,129.250.3.252,4,12
Thu,17:58:22,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,113,13
Thu,17:58:22,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,113,14
Thu,17:58:22,japan,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,112,15
Thu,17:58:22,japan,congo_DR,ae-0.endurance.lsanca07.us.bb.gin.ntt.net,129.250.198.182,129,16
Thu,17:58:22,japan,congo_DR,162-144-240-159.unifiedlayer.com,162.144.240.159,143,17
Thu,17:58:22,japan,congo_DR,162-144-240-147.unifiedlayer.com,162.144.240.147,131,18
Thu,17:58:22,japan,congo_DR,just57.justhost.com,173.254.28.57,142,19
Thu,18:05:33,japan,congo_DR,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,8,1
Thu,18:05:33,japan,congo_DR,100.64.1.78,100.64.1.78,11,2
Thu,18:05:33,japan,congo_DR,100.64.1.65,100.64.1.65,21,3
Thu,18:05:33,japan,congo_DR,100.64.17.21,100.64.17.21,0,4
Thu,18:05:33,japan,congo_DR,52.95.30.213,52.95.30.213,3,5
Thu,18:05:33,japan,congo_DR,52.95.31.129,52.95.31.129,9,6
Thu,18:05:33,japan,congo_DR,52.95.31.38,52.95.31.38,2,7
Thu,18:05:33,japan,congo_DR,54.239.52.156,54.239.52.156,5,8
Thu,18:05:33,japan,congo_DR,52.95.30.19,52.95.30.19,8,9
Thu,18:05:33,japan,congo_DR,52.95.30.140,52.95.30.140,4,10
Thu,18:05:33,japan,congo_DR,203.105.73.45,203.105.73.45,4,11
Thu,18:05:33,japan,congo_DR,ae-14.r31.tokyjp05.jp.bb.gin.ntt.net,129.250.4.248,6,12
Thu,18:05:33,japan,congo_DR,ae-4.r31.tokyjp05.jp.bb.gin.ntt.net,129.250.3.57,6,13
Thu,18:05:33,japan,congo_DR,ae-4.r23.snjsca04.us.bb.gin.ntt.net,129.250.5.78,130,14
Thu,18:05:33,japan,congo_DR,ae-0.a01.lsanca07.us.bb.gin.ntt.net,129.250.2.16,113,15
Thu,18:05:33,japan,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,130,16
Thu,18:05:33,japan,congo_DR,162-144-240-139.unifiedlayer.com,162.144.240.139,142,17
Thu,18:05:33,japan,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,128,18
Thu,18:05:33,japan,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,130,19
Thu,18:12:23,japan,congo_DR,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,20,1
Thu,18:12:23,japan,congo_DR,100.64.3.206,100.64.3.206,14,2
Thu,18:12:23,japan,congo_DR,100.64.1.195,100.64.1.195,14,3
Thu,18:12:23,japan,congo_DR,100.64.17.199,100.64.17.199,0,4
Thu,18:12:23,japan,congo_DR,52.95.30.213,52.95.30.213,2,5
Thu,18:12:23,japan,congo_DR,52.95.31.135,52.95.31.135,13,6
Thu,18:12:23,japan,congo_DR,52.95.31.10,52.95.31.10,2,7
Thu,18:12:23,japan,congo_DR,54.239.52.156,54.239.52.156,5,8
Thu,18:12:23,japan,congo_DR,52.95.30.17,52.95.30.17,6,9
Thu,18:12:23,japan,congo_DR,52.95.30.158,52.95.30.158,5,10
Thu,18:12:23,japan,congo_DR,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,6,11
Thu,18:12:23,japan,congo_DR,ae-15.r03.tokyjp05.jp.bb.gin.ntt.net,129.250.5.151,123,12
Thu,18:12:23,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,114,13
Thu,18:12:23,japan,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,111,14
Thu,18:12:23,japan,congo_DR,ae-0.a01.lsanca07.us.bb.gin.ntt.net,129.250.2.16,119,15
Thu,18:12:23,japan,congo_DR,ae-0.endurance.lsanca07.us.bb.gin.ntt.net,129.250.198.182,130,16
Thu,18:12:23,japan,congo_DR,162-144-240-167.unifiedlayer.com,162.144.240.167,130,17
Thu,18:12:23,japan,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,130,18
Thu,18:12:23,japan,congo_DR,just57.justhost.com,173.254.28.57,143,19
Thu,18:19:32,japan,congo_DR,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,18,1
Thu,18:19:32,japan,congo_DR,100.64.0.206,100.64.0.206,15,2
Thu,18:19:32,japan,congo_DR,100.64.1.3,100.64.1.3,15,3
Thu,18:19:32,japan,congo_DR,100.64.17.23,100.64.17.23,0,4
Thu,18:19:32,japan,congo_DR,52.95.30.209,52.95.30.209,2,5
Thu,18:19:32,japan,congo_DR,52.95.31.123,52.95.31.123,12,6
Thu,18:19:32,japan,congo_DR,52.95.31.26,52.95.31.26,2,7
Thu,18:19:32,japan,congo_DR,54.239.52.112,54.239.52.112,5,8
Thu,18:19:32,japan,congo_DR,52.95.30.9,52.95.30.9,39,9
Thu,18:19:32,japan,congo_DR,52.95.30.146,52.95.30.146,6,10
