Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:42:59,japan,ghana,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,18,1
Thu,17:42:59,japan,ghana,100.64.3.10,100.64.3.10,22,2
Thu,17:42:59,japan,ghana,100.64.0.133,100.64.0.133,20,3
Thu,17:42:59,japan,ghana,100.64.17.231,100.64.17.231,30,4
Thu,17:42:59,japan,ghana,52.95.30.209,52.95.30.209,3,5
Thu,17:42:59,japan,ghana,52.95.31.127,52.95.31.127,5,6
Thu,17:42:59,japan,ghana,52.95.31.30,52.95.31.30,2,7
Thu,17:42:59,japan,ghana,54.239.52.160,54.239.52.160,5,8
Thu,17:42:59,japan,ghana,52.95.30.33,52.95.30.33,9,9
Thu,17:42:59,japan,ghana,52.95.30.168,52.95.30.168,5,10
Thu,17:42:59,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,6,11
Thu,17:42:59,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,5,12
Thu,17:42:59,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,57,13
Thu,17:42:59,japan,ghana,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,53,14
Thu,17:42:59,japan,ghana,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,58,15
Thu,17:42:59,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,57,16
Thu,17:42:59,japan,ghana,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,64,17
Thu,17:42:59,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,296,18
Thu,17:42:59,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.72,282,19
Thu,17:42:59,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,294,20
Thu,17:42:59,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,315,21
Thu,17:42:59,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,292,22
Thu,17:42:59,japan,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,292,23
Thu,17:42:59,japan,ghana,195.219.195.42,195.219.195.42,395,24
Thu,17:42:59,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,389,25
Thu,17:42:59,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,402,26
Thu,17:42:59,japan,ghana,197.255.127.2,197.255.127.2,386,27
Thu,17:42:59,japan,ghana,197.255.127.35,197.255.127.35,390,28
Thu,17:42:59,japan,ghana,197.255.125.213,197.255.125.213,395,29
Thu,17:51:09,japan,ghana,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,22,1
Thu,17:51:09,japan,ghana,100.64.2.74,100.64.2.74,21,2
Thu,17:51:09,japan,ghana,100.64.1.195,100.64.1.195,19,3
Thu,17:51:09,japan,ghana,100.64.17.227,100.64.17.227,0,4
Thu,17:51:09,japan,ghana,52.95.30.221,52.95.30.221,3,5
Thu,17:51:09,japan,ghana,52.95.31.121,52.95.31.121,5,6
Thu,17:51:09,japan,ghana,52.95.31.28,52.95.31.28,2,7
Thu,17:51:09,japan,ghana,54.239.52.110,54.239.52.110,4,8
Thu,17:51:09,japan,ghana,52.95.30.21,52.95.30.21,14,9
Thu,17:51:09,japan,ghana,52.95.30.168,52.95.30.168,5,10
Thu,17:51:09,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,8,11
Thu,17:51:09,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,6,12
Thu,17:51:09,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,56,13
Thu,17:51:09,japan,ghana,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,64,14
Thu,17:51:09,japan,ghana,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,58,15
Thu,17:51:09,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,52,16
Thu,17:51:09,japan,ghana,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,60,17
Thu,17:51:09,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,304,18
Thu,17:51:09,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,292,19
Thu,17:51:09,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,303,20
Thu,17:51:09,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,305,21
Thu,17:51:09,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,311,22
Thu,17:51:09,japan,ghana,if-ge-4-0-0.core4.LDN-London.as6453.net,80.231.62.26,302,23
Thu,17:51:09,japan,ghana,195.219.195.42,195.219.195.42,383,24
Thu,17:51:09,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,383,25
Thu,17:51:09,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,409,26
Thu,17:51:09,japan,ghana,197.255.127.2,197.255.127.2,387,27
Thu,17:51:09,japan,ghana,197.255.127.35,197.255.127.35,386,28
Thu,17:51:09,japan,ghana,197.255.125.213,197.255.125.213,396,29
Thu,17:58:32,japan,ghana,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,16,1
Thu,17:58:32,japan,ghana,100.64.2.142,100.64.2.142,11,2
Thu,17:58:32,japan,ghana,100.64.1.65,100.64.1.65,12,3
Thu,17:58:32,japan,ghana,100.64.17.169,100.64.17.169,0,4
Thu,17:58:32,japan,ghana,52.95.30.209,52.95.30.209,4,5
Thu,17:58:32,japan,ghana,52.95.31.121,52.95.31.121,8,6
Thu,17:58:32,japan,ghana,52.95.31.30,52.95.31.30,2,7
Thu,17:58:32,japan,ghana,54.239.52.110,54.239.52.110,4,8
Thu,17:58:32,japan,ghana,52.95.30.17,52.95.30.17,7,9
Thu,17:58:32,japan,ghana,52.95.30.172,52.95.30.172,4,10
Thu,17:58:32,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,7,11
Thu,17:58:32,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,5,12
Thu,17:58:32,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,53,13
Thu,17:58:32,japan,ghana,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,64,14
Thu,17:58:32,japan,ghana,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,65,15
Thu,17:58:32,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,51,16
Thu,17:58:32,japan,ghana,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,69,17
