Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:35:43,japan,rwanda,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,19,1
Thu,17:35:43,japan,rwanda,100.64.1.204,100.64.1.204,11,2
Thu,17:35:43,japan,rwanda,100.64.1.193,100.64.1.193,15,3
Thu,17:35:43,japan,rwanda,100.64.16.163,100.64.16.163,0,4
Thu,17:35:43,japan,rwanda,52.95.30.213,52.95.30.213,3,5
Thu,17:35:43,japan,rwanda,52.95.31.121,52.95.31.121,12,6
Thu,17:35:43,japan,rwanda,52.95.31.12,52.95.31.12,2,7
Thu,17:35:43,japan,rwanda,54.239.52.156,54.239.52.156,5,8
Thu,17:35:43,japan,rwanda,52.95.30.15,52.95.30.15,12,9
Thu,17:35:43,japan,rwanda,52.95.30.146,52.95.30.146,5,10
Thu,17:35:43,japan,rwanda,gigabitethernet2-8.core1.tyo1.he.net,210.173.176.106,15,11
Thu,17:35:43,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,80,12
Thu,17:35:43,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,208,13
Thu,17:35:43,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,285,14
Thu,17:35:43,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,230,15
Thu,17:35:43,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,226,16
Thu,17:35:43,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,248,17
Thu,17:35:43,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,366,18
Thu,17:35:43,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,409,19
Thu,17:35:43,japan,rwanda,ten-0-2-1-0-p1-nbi.liquidtelecom.net,197.155.94.72,428,20
Thu,17:35:43,japan,rwanda,teng0-0-1-2-p2-nbi.liquidtelecom.net,197.155.94.2,420,21
Thu,17:35:43,japan,rwanda,teng0-0-0-0.lug-p2-kgl.liquidtelecom.net,197.155.94.81,432,22
Thu,17:35:43,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,427,23
Thu,17:35:43,japan,rwanda,41.223.224.211,41.223.224.211,436,24
Thu,17:35:43,japan,rwanda,197.243.126.30,197.243.126.30,445,25
Thu,17:35:43,japan,rwanda,*,*,*,26
Thu,17:35:43,japan,rwanda,*,*,*,27
Thu,17:35:43,japan,rwanda,197.243.126.166,197.243.126.166,438,28
Thu,17:35:43,japan,rwanda,*,*,*,29
Thu,17:35:43,japan,rwanda,*,*,*,30
Thu,17:43:57,japan,rwanda,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,12,1
Thu,17:43:57,japan,rwanda,100.64.0.142,100.64.0.142,13,2
Thu,17:43:57,japan,rwanda,100.64.0.3,100.64.0.3,12,3
Thu,17:43:57,japan,rwanda,100.64.16.173,100.64.16.173,0,4
Thu,17:43:57,japan,rwanda,52.95.30.209,52.95.30.209,3,5
Thu,17:43:57,japan,rwanda,52.95.31.135,52.95.31.135,13,6
Thu,17:43:57,japan,rwanda,52.95.31.26,52.95.31.26,3,7
Thu,17:43:57,japan,rwanda,54.239.52.110,54.239.52.110,6,8
Thu,17:43:57,japan,rwanda,52.95.30.11,52.95.30.11,4,9
Thu,17:43:57,japan,rwanda,52.95.30.188,52.95.30.188,6,10
Thu,17:43:57,japan,rwanda,218.100.6.74,218.100.6.74,5,11
Thu,17:43:57,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,74,12
Thu,17:43:57,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,212,13
Thu,17:43:57,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,255,14
Thu,17:43:57,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,238,15
Thu,17:43:57,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,236,16
