Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,15:56:51,japan,algeria,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,20,1
Tue,15:56:51,japan,algeria,100.64.0.8,100.64.0.8,21,2
Tue,15:56:51,japan,algeria,100.64.1.129,100.64.1.129,19,3
Tue,15:56:51,japan,algeria,100.64.16.151,100.64.16.151,1,4
Tue,15:56:51,japan,algeria,52.95.30.207,52.95.30.207,2,5
Tue,15:56:51,japan,algeria,52.95.30.125,52.95.30.125,7,6
Tue,15:56:51,japan,algeria,52.95.30.170,52.95.30.170,1,7
Tue,15:56:51,japan,algeria,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,15:56:51,japan,algeria,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,15:56:51,japan,algeria,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,51,10
Tue,15:56:51,japan,algeria,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,64,11
Tue,15:56:51,japan,algeria,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,53,12
Tue,15:56:51,japan,algeria,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,48,13
Tue,15:56:51,japan,algeria,if-et-17-3.hcore1.KV8-Chiba.as6453.net,180.87.112.46,58,14
Tue,15:56:51,japan,algeria,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,293,15
Tue,15:56:51,japan,algeria,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.72,294,16
Tue,15:56:51,japan,algeria,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,290,17
Tue,15:56:51,japan,algeria,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,294,18
Tue,15:56:51,japan,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,301,19
Tue,15:56:51,japan,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,289,20
Tue,15:56:51,japan,algeria,195.219.83.30,195.219.83.30,261,21
Tue,15:56:51,japan,algeria,*,*,*,22
Tue,15:56:51,japan,algeria,*,*,*,23
Tue,15:56:51,japan,algeria,*,*,*,24
Tue,15:56:51,japan,algeria,*,*,*,25
Tue,15:56:51,japan,algeria,*,*,*,26
Tue,15:56:51,japan,algeria,*,*,*,27
Tue,15:56:51,japan,algeria,*,*,*,28
Tue,15:56:51,japan,algeria,*,*,*,29
Tue,15:56:51,japan,algeria,*,*,*,30
Tue,16:04:46,japan,algeria,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,13,1
Tue,16:04:46,japan,algeria,100.64.0.142,100.64.0.142,12,2
Tue,16:04:46,japan,algeria,100.64.0.1,100.64.0.1,19,3
Tue,16:04:46,japan,algeria,100.64.17.195,100.64.17.195,0,4
Tue,16:04:46,japan,algeria,52.95.30.215,52.95.30.215,2,5
Tue,16:04:46,japan,algeria,52.95.30.125,52.95.30.125,4,6
Tue,16:04:46,japan,algeria,52.95.30.176,52.95.30.176,1,7
Tue,16:04:46,japan,algeria,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,16:04:46,japan,algeria,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,16:04:46,japan,algeria,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,57,10
Tue,16:04:46,japan,algeria,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,52,11
Tue,16:04:46,japan,algeria,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,52,12
Tue,16:04:46,japan,algeria,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,48,13
Tue,16:04:46,japan,algeria,if-et-17-2.hcore1.KV8-Chiba.as6453.net,116.0.67.62,55,14
Tue,16:04:46,japan,algeria,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,290,15
Tue,16:04:46,japan,algeria,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.72,297,16
Tue,16:04:46,japan,algeria,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,296,17
Tue,16:04:46,japan,algeria,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,296,18
Tue,16:04:46,japan,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,301,19
Tue,16:04:46,japan,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,288,20
Tue,16:04:46,japan,algeria,195.219.83.30,195.219.83.30,267,21
Tue,16:04:46,japan,algeria,*,*,*,22
Tue,16:04:46,japan,algeria,*,*,*,23
Tue,16:04:46,japan,algeria,*,*,*,24
Tue,16:04:46,japan,algeria,*,*,*,25
Tue,16:04:46,japan,algeria,*,*,*,26
Tue,16:04:46,japan,algeria,*,*,*,27
Tue,16:04:46,japan,algeria,*,*,*,28
Tue,16:04:46,japan,algeria,*,*,*,29
Tue,16:04:46,japan,algeria,*,*,*,30
Tue,16:12:13,japan,algeria,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,12,1
Tue,16:12:13,japan,algeria,100.64.3.204,100.64.3.204,18,2
Tue,16:12:13,japan,algeria,100.64.0.1,100.64.0.1,25,3
Tue,16:12:13,japan,algeria,100.64.17.49,100.64.17.49,10,4
Tue,16:12:13,japan,algeria,52.95.30.215,52.95.30.215,2,5
Tue,16:12:13,japan,algeria,52.95.30.123,52.95.30.123,53,6
Tue,16:12:13,japan,algeria,52.95.30.182,52.95.30.182,1,7
Tue,16:12:13,japan,algeria,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,16:12:13,japan,algeria,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,16:12:13,japan,algeria,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,53,10
Tue,16:12:13,japan,algeria,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,57,11
Tue,16:12:13,japan,algeria,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,58,12
Tue,16:12:13,japan,algeria,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,49,13
Tue,16:12:13,japan,algeria,if-et-17-2.hcore1.KV8-Chiba.as6453.net,116.0.67.62,67,14
Tue,16:12:13,japan,algeria,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,292,15
Tue,16:12:13,japan,algeria,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,328,16
Tue,16:12:13,japan,algeria,*,*,*,17
Tue,16:12:13,japan,algeria,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,302,18
Tue,16:12:13,japan,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,292,19
Tue,16:12:13,japan,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,280,20
Tue,16:12:13,japan,algeria,195.219.83.30,195.219.83.30,271,21
Tue,16:12:13,japan,algeria,*,*,*,22
Tue,16:12:13,japan,algeria,*,*,*,23
Tue,16:12:13,japan,algeria,*,*,*,24
Tue,16:12:13,japan,algeria,*,*,*,25
Tue,16:12:13,japan,algeria,*,*,*,26
