Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,15:57:06,japan,angola,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,733,1
Tue,15:57:06,japan,angola,100.64.0.78,100.64.0.78,18,2
Tue,15:57:06,japan,angola,100.64.0.5,100.64.0.5,19,3
Tue,15:57:06,japan,angola,100.64.16.37,100.64.16.37,0,4
Tue,15:57:06,japan,angola,52.95.30.219,52.95.30.219,2,5
Tue,15:57:06,japan,angola,52.95.30.123,52.95.30.123,8,6
Tue,15:57:06,japan,angola,52.95.30.164,52.95.30.164,1,7
Tue,15:57:06,japan,angola,63-218-251-237.static.pccwglobal.net,63.218.251.237,3,8
Tue,15:57:06,japan,angola,TenGE0-0-2-1.br01.jnb01.pccwbtn.net,63.223.48.70,409,9
Tue,15:57:06,japan,angola,angolacables.ixp.joburg,196.60.8.60,427,10
Tue,15:57:06,japan,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,412,11
Tue,15:57:06,japan,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,412,12
Tue,15:57:06,japan,angola,197.149.148.237,197.149.148.237,415,13
Tue,15:57:06,japan,angola,41.222.238.26,41.222.238.26,415,14
Tue,15:57:06,japan,angola,41.222.238.7,41.222.238.7,414,15
Tue,15:57:06,japan,angola,*,*,*,16
Tue,15:57:06,japan,angola,*,*,*,17
Tue,15:57:06,japan,angola,*,*,*,18
Tue,15:57:06,japan,angola,*,*,*,19
Tue,15:57:06,japan,angola,*,*,*,20
Tue,15:57:06,japan,angola,*,*,*,21
Tue,15:57:06,japan,angola,*,*,*,22
Tue,15:57:06,japan,angola,*,*,*,23
Tue,15:57:06,japan,angola,*,*,*,24
Tue,15:57:06,japan,angola,*,*,*,25
Tue,15:57:06,japan,angola,*,*,*,26
Tue,15:57:06,japan,angola,*,*,*,27
Tue,15:57:06,japan,angola,*,*,*,28
Tue,15:57:06,japan,angola,*,*,*,29
Tue,15:57:06,japan,angola,*,*,*,30
Tue,16:05:03,japan,angola,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,20,1
Tue,16:05:03,japan,angola,100.64.3.14,100.64.3.14,33,2
Tue,16:05:03,japan,angola,100.64.2.71,100.64.2.71,17,3
Tue,16:05:03,japan,angola,100.64.16.35,100.64.16.35,1,4
Tue,16:05:03,japan,angola,52.95.30.219,52.95.30.219,3,5
Tue,16:05:03,japan,angola,52.95.30.135,52.95.30.135,9,6
Tue,16:05:03,japan,angola,52.95.30.164,52.95.30.164,1,7
Tue,16:05:03,japan,angola,63-216-242-53.static.pccwglobal.net,63.216.242.53,1,8
Tue,16:05:03,japan,angola,TenGE0-0-2-1.br01.jnb01.pccwbtn.net,63.223.48.70,415,9
Tue,16:05:03,japan,angola,TenGE0-0-2-1.br01.jnb01.pccwbtn.net,63.223.48.70,417,10
Tue,16:05:03,japan,angola,angolacables.ixp.joburg,196.60.8.60,406,11
Tue,16:05:03,japan,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,412,12
Tue,16:05:03,japan,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,415,13
Tue,16:05:03,japan,angola,197.149.148.237,197.149.148.237,414,14
Tue,16:05:03,japan,angola,41.222.238.26,41.222.238.26,410,15
Tue,16:05:03,japan,angola,41.222.238.7,41.222.238.7,414,16
Tue,16:05:03,japan,angola,*,*,*,17
Tue,16:05:03,japan,angola,*,*,*,18
Tue,16:05:03,japan,angola,*,*,*,19
Tue,16:05:03,japan,angola,*,*,*,20
Tue,16:05:03,japan,angola,*,*,*,21
Tue,16:05:03,japan,angola,*,*,*,22
Tue,16:05:03,japan,angola,*,*,*,23
Tue,16:05:03,japan,angola,*,*,*,24
Tue,16:05:03,japan,angola,*,*,*,25
Tue,16:05:03,japan,angola,*,*,*,26
Tue,16:05:03,japan,angola,*,*,*,27
Tue,16:05:03,japan,angola,*,*,*,28
Tue,16:05:03,japan,angola,*,*,*,29
Tue,16:05:03,japan,angola,*,*,*,30
Tue,16:12:30,japan,angola,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,18,1
Tue,16:12:30,japan,angola,100.64.1.76,100.64.1.76,12,2
Tue,16:12:30,japan,angola,100.64.2.65,100.64.2.65,14,3
Tue,16:12:30,japan,angola,100.64.16.161,100.64.16.161,1,4
Tue,16:12:30,japan,angola,52.95.30.207,52.95.30.207,5,5
Tue,16:12:30,japan,angola,52.95.30.123,52.95.30.123,11,6
Tue,16:12:30,japan,angola,52.95.30.166,52.95.30.166,4,7
Tue,16:12:30,japan,angola,63-218-251-237.static.pccwglobal.net,63.218.251.237,2,8
Tue,16:12:30,japan,angola,TenGE0-0-2-1.br01.jnb01.pccwbtn.net,63.223.48.70,412,9
Tue,16:12:30,japan,angola,TenGE0-0-2-1.br01.jnb01.pccwbtn.net,63.223.48.70,415,10
Tue,16:12:30,japan,angola,angolacables.ixp.joburg,196.60.8.60,417,11
Tue,16:12:30,japan,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,412,12
Tue,16:12:30,japan,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,413,13
Tue,16:12:30,japan,angola,197.149.148.237,197.149.148.237,420,14
Tue,16:12:30,japan,angola,41.222.238.26,41.222.238.26,420,15
Tue,16:12:30,japan,angola,41.222.238.7,41.222.238.7,409,16
Tue,16:12:30,japan,angola,*,*,*,17
Tue,16:12:30,japan,angola,*,*,*,18
Tue,16:12:30,japan,angola,*,*,*,19
Tue,16:12:30,japan,angola,*,*,*,20
Tue,16:12:30,japan,angola,*,*,*,21
Tue,16:12:30,japan,angola,*,*,*,22
Tue,16:12:30,japan,angola,*,*,*,23
Tue,16:12:30,japan,angola,*,*,*,24
Tue,16:12:30,japan,angola,*,*,*,25
Tue,16:12:30,japan,angola,*,*,*,26
Tue,16:12:30,japan,angola,*,*,*,27
Tue,16:12:30,japan,angola,*,*,*,28
Tue,16:12:30,japan,angola,*,*,*,29
Tue,16:12:30,japan,angola,*,*,*,30
Tue,16:20:31,japan,angola,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,17,1
Tue,16:20:31,japan,angola,100.64.3.76,100.64.3.76,22,2
Tue,16:20:31,japan,angola,100.64.0.65,100.64.0.65,13,3
Tue,16:20:31,japan,angola,100.64.16.165,100.64.16.165,0,4
Tue,16:20:31,japan,angola,52.95.30.219,52.95.30.219,2,5
Tue,16:20:31,japan,angola,52.95.30.121,52.95.30.121,10,6
Tue,16:20:31,japan,angola,52.95.30.138,52.95.30.138,1,7
Tue,16:20:31,japan,angola,63-218-251-237.static.pccwglobal.net,63.218.251.237,2,8
Tue,16:20:31,japan,angola,TenGE0-0-2-1.br01.jnb01.pccwbtn.net,63.223.48.70,415,9
Tue,16:20:31,japan,angola,TenGE0-0-2-1.br01.jnb01.pccwbtn.net,63.223.48.70,412,10
Tue,16:20:31,japan,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,412,11
Tue,16:20:31,japan,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,405,12
Tue,16:20:31,japan,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,411,13
Tue,16:20:31,japan,angola,41.222.238.26,41.222.238.26,415,14
Tue,16:20:31,japan,angola,41.222.238.26,41.222.238.26,414,15
