Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,15:57:40,japan,congo_DR,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,16,1
Tue,15:57:40,japan,congo_DR,100.64.2.136,100.64.2.136,13,2
Tue,15:57:40,japan,congo_DR,100.64.1.7,100.64.1.7,24,3
Tue,15:57:40,japan,congo_DR,100.64.16.53,100.64.16.53,1,4
Tue,15:57:40,japan,congo_DR,52.95.30.211,52.95.30.211,2,5
Tue,15:57:40,japan,congo_DR,52.95.30.133,52.95.30.133,4,6
Tue,15:57:40,japan,congo_DR,52.95.30.160,52.95.30.160,1,7
Tue,15:57:40,japan,congo_DR,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,3,8
Tue,15:57:40,japan,congo_DR,ae-10.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.3.250,1,9
Tue,15:57:40,japan,congo_DR,ae-4.r23.snjsca04.us.bb.gin.ntt.net,129.250.5.78,110,10
Tue,15:57:40,japan,congo_DR,ae-4.r23.snjsca04.us.bb.gin.ntt.net,129.250.5.78,110,11
Tue,15:57:40,japan,congo_DR,ae-5.r11.dllstx09.us.bb.gin.ntt.net,129.250.5.24,149,12
Tue,15:57:40,japan,congo_DR,ce-0-16-0-3.r11.dllstx09.us.ce.gin.ntt.net,131.103.117.42,149,13
Tue,15:57:40,japan,congo_DR,ce-0-16-0-3.r10.dllstx09.us.ce.gin.ntt.net,128.242.179.18,142,14
Tue,15:57:40,japan,congo_DR,162-215-243-235.unifiedlayer.com,162.215.243.235,181,15
Tue,15:57:40,japan,congo_DR,162-144-240-153.unifiedlayer.com,162.144.240.153,167,16
Tue,15:57:40,japan,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,179,17
Tue,15:57:40,japan,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,164,18
Tue,16:05:30,japan,congo_DR,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,20,1
Tue,16:05:30,japan,congo_DR,100.64.1.10,100.64.1.10,14,2
Tue,16:05:30,japan,congo_DR,100.64.3.7,100.64.3.7,18,3
Tue,16:05:30,japan,congo_DR,100.64.17.37,100.64.17.37,0,4
Tue,16:05:30,japan,congo_DR,52.95.30.207,52.95.30.207,2,5
Tue,16:05:30,japan,congo_DR,52.95.30.135,52.95.30.135,3,6
Tue,16:05:30,japan,congo_DR,52.95.30.154,52.95.30.154,1,7
Tue,16:05:30,japan,congo_DR,ae-21.r02.tokyjp03.jp.bb.gin.ntt.net,120.88.53.145,2,8
Tue,16:05:30,japan,congo_DR,ae-15.r02.tokyjp05.jp.bb.gin.ntt.net,129.250.5.149,144,9
Tue,16:05:30,japan,congo_DR,ae-4.r23.snjsca04.us.bb.gin.ntt.net,129.250.5.78,110,10
Tue,16:05:30,japan,congo_DR,ae-4.r23.snjsca04.us.bb.gin.ntt.net,129.250.5.78,121,11
