Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,15:57:45,japan,ghana,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,873,1
Tue,15:57:45,japan,ghana,100.64.2.200,100.64.2.200,18,2
Tue,15:57:45,japan,ghana,100.64.3.71,100.64.3.71,17,3
Tue,15:57:45,japan,ghana,100.64.17.197,100.64.17.197,0,4
Tue,15:57:45,japan,ghana,52.95.30.207,52.95.30.207,2,5
Tue,15:57:45,japan,ghana,52.95.30.127,52.95.30.127,11,6
Tue,15:57:45,japan,ghana,52.95.30.178,52.95.30.178,12,7
Tue,15:57:45,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,15:57:45,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,2,9
Tue,15:57:45,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,50,10
Tue,15:57:45,japan,ghana,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,49,11
Tue,15:57:45,japan,ghana,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,51,12
Tue,15:57:45,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,49,13
Tue,15:57:45,japan,ghana,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,54,14
Tue,15:57:45,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,297,15
Tue,15:57:45,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.12,287,16
Tue,15:57:45,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,316,17
Tue,15:57:45,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,294,18
Tue,15:57:45,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,301,19
Tue,15:57:45,japan,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,295,20
Tue,15:57:45,japan,ghana,195.219.195.42,195.219.195.42,401,21
Tue,15:57:45,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,399,22
Tue,15:57:45,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,405,23
Tue,15:57:45,japan,ghana,197.255.127.2,197.255.127.2,400,24
Tue,15:57:45,japan,ghana,197.255.127.35,197.255.127.35,412,25
Tue,15:57:45,japan,ghana,197.255.125.213,197.255.125.213,415,26
Tue,16:05:34,japan,ghana,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,15,1
Tue,16:05:34,japan,ghana,100.64.1.142,100.64.1.142,43,2
Tue,16:05:34,japan,ghana,100.64.1.195,100.64.1.195,16,3
Tue,16:05:34,japan,ghana,100.64.16.231,100.64.16.231,1,4
Tue,16:05:34,japan,ghana,52.95.30.211,52.95.30.211,2,5
Tue,16:05:34,japan,ghana,52.95.30.121,52.95.30.121,10,6
Tue,16:05:34,japan,ghana,52.95.30.168,52.95.30.168,1,7
Tue,16:05:34,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,8,8
Tue,16:05:34,japan,ghana,*,*,*,9
Tue,16:05:34,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,50,10
Tue,16:05:34,japan,ghana,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,59,11
Tue,16:05:34,japan,ghana,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,51,12
Tue,16:05:34,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,53,13
Tue,16:05:34,japan,ghana,if-et-17-2.hcore1.KV8-Chiba.as6453.net,116.0.67.62,53,14
Tue,16:05:34,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,295,15
Tue,16:05:34,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.72,293,16
Tue,16:05:34,japan,ghana,*,*,*,17
Tue,16:05:34,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,303,18
Tue,16:05:34,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,301,19
Tue,16:05:34,japan,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,290,20
Tue,16:05:34,japan,ghana,195.219.195.42,195.219.195.42,419,21
Tue,16:05:34,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,425,22
Tue,16:05:34,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,443,23
Tue,16:05:34,japan,ghana,197.255.127.2,197.255.127.2,425,24
Tue,16:05:34,japan,ghana,197.255.127.35,197.255.127.35,449,25
Tue,16:05:34,japan,ghana,197.255.125.213,197.255.125.213,445,26
Tue,16:13:31,japan,ghana,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,12,1
Tue,16:13:31,japan,ghana,100.64.2.14,100.64.2.14,15,2
Tue,16:13:31,japan,ghana,100.64.2.129,100.64.2.129,15,3
Tue,16:13:31,japan,ghana,100.64.16.165,100.64.16.165,0,4
Tue,16:13:31,japan,ghana,52.95.30.211,52.95.30.211,2,5
Tue,16:13:31,japan,ghana,52.95.30.129,52.95.30.129,12,6
Tue,16:13:31,japan,ghana,52.95.30.176,52.95.30.176,1,7
Tue,16:13:31,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,16:13:31,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,16:13:31,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,50,10
Tue,16:13:31,japan,ghana,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,49,11
Tue,16:13:31,japan,ghana,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,51,12
Tue,16:13:31,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,48,13
Tue,16:13:31,japan,ghana,if-et-17-3.hcore1.KV8-Chiba.as6453.net,180.87.112.46,61,14
Tue,16:13:31,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,303,15
Tue,16:13:31,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.72,290,16
Tue,16:13:31,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,301,17
Tue,16:13:31,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,302,18
Tue,16:13:31,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,295,19
Tue,16:13:31,japan,ghana,if-ge-4-0-0.core4.LDN-London.as6453.net,80.231.62.26,286,20
Tue,16:13:31,japan,ghana,*,*,*,21
Tue,16:13:31,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,450,22
Tue,16:13:31,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,452,23
Tue,16:13:31,japan,ghana,197.255.127.2,197.255.127.2,453,24
Tue,16:13:31,japan,ghana,197.255.127.35,197.255.127.35,472,25
Tue,16:13:31,japan,ghana,197.255.125.213,197.255.125.213,454,26
Tue,16:21:10,japan,ghana,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,12,1
Tue,16:21:10,japan,ghana,100.64.3.14,100.64.3.14,11,2
Tue,16:21:10,japan,ghana,100.64.0.69,100.64.0.69,15,3
Tue,16:21:10,japan,ghana,100.64.16.53,100.64.16.53,0,4
Tue,16:21:10,japan,ghana,52.95.30.207,52.95.30.207,2,5
Tue,16:21:10,japan,ghana,52.95.30.127,52.95.30.127,5,6
Tue,16:21:10,japan,ghana,52.95.30.170,52.95.30.170,1,7
Tue,16:21:10,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,4,8
Tue,16:21:10,japan,ghana,*,*,*,9
Tue,16:21:10,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,52,10
Tue,16:21:10,japan,ghana,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,56,11
Tue,16:21:10,japan,ghana,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,54,12
Tue,16:21:10,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,48,13
Tue,16:21:10,japan,ghana,*,*,*,14
Tue,16:21:10,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,298,15
Tue,16:21:10,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,301,16
Tue,16:21:10,japan,ghana,*,*,*,17
Tue,16:21:10,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,302,18
Tue,16:21:10,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,299,19
Tue,16:21:10,japan,ghana,if-ge-4-0-0.core4.LDN-London.as6453.net,80.231.62.26,295,20
Tue,16:21:10,japan,ghana,*,*,*,21
Tue,16:21:10,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,454,22
Tue,16:21:10,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,455,23
Tue,16:21:10,japan,ghana,197.255.127.2,197.255.127.2,465,24
Tue,16:21:10,japan,ghana,197.255.127.35,197.255.127.35,455,25
Tue,16:21:10,japan,ghana,197.255.125.213,197.255.125.213,473,26
Tue,16:29:04,japan,ghana,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,13,1
Tue,16:29:04,japan,ghana,100.64.3.200,100.64.3.200,18,2
Tue,16:29:04,japan,ghana,100.64.1.193,100.64.1.193,16,3
Tue,16:29:04,japan,ghana,100.64.17.51,100.64.17.51,4,4
Tue,16:29:04,japan,ghana,52.95.30.215,52.95.30.215,2,5
Tue,16:29:04,japan,ghana,52.95.30.133,52.95.30.133,9,6
Tue,16:29:04,japan,ghana,52.95.30.174,52.95.30.174,1,7
Tue,16:29:04,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,3,8
Tue,16:29:04,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,16:29:04,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,69,10
Tue,16:29:04,japan,ghana,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,48,11
Tue,16:29:04,japan,ghana,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,51,12
Tue,16:29:04,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,51,13
Tue,16:29:04,japan,ghana,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,67,14
Tue,16:29:04,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,309,15
Tue,16:29:04,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,307,16
Tue,16:29:04,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,312,17
Tue,16:29:04,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,304,18
Tue,16:29:04,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,297,19
Tue,16:29:04,japan,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,296,20
Tue,16:29:04,japan,ghana,195.219.195.42,195.219.195.42,406,21
Tue,16:29:04,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,395,22
Tue,16:29:04,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,414,23
Tue,16:29:04,japan,ghana,197.255.127.2,197.255.127.2,408,24
Tue,16:29:04,japan,ghana,*,*,*,25
Tue,16:29:04,japan,ghana,197.255.125.213,197.255.125.213,402,26
Tue,16:36:43,japan,ghana,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,18,1
Tue,16:36:43,japan,ghana,100.64.1.200,100.64.1.200,16,2
Tue,16:36:43,japan,ghana,100.64.1.135,100.64.1.135,14,3
Tue,16:36:43,japan,ghana,100.64.17.51,100.64.17.51,0,4
Tue,16:36:43,japan,ghana,52.95.30.207,52.95.30.207,2,5
Tue,16:36:43,japan,ghana,52.95.30.121,52.95.30.121,10,6
Tue,16:36:43,japan,ghana,52.95.30.168,52.95.30.168,1,7
Tue,16:36:43,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,16:36:43,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,16:36:43,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,50,10
Tue,16:36:43,japan,ghana,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,48,11
Tue,16:36:43,japan,ghana,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,69,12
