Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,15:57:58,japan,kenya,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,17,1
Tue,15:57:58,japan,kenya,100.64.3.142,100.64.3.142,12,2
Tue,15:57:58,japan,kenya,100.64.3.193,100.64.3.193,12,3
Tue,15:57:58,japan,kenya,100.64.16.65,100.64.16.65,1,4
Tue,15:57:58,japan,kenya,52.95.30.207,52.95.30.207,2,5
Tue,15:57:58,japan,kenya,52.95.30.129,52.95.30.129,3,6
Tue,15:57:58,japan,kenya,52.95.30.160,52.95.30.160,1,7
Tue,15:57:58,japan,kenya,63-216-242-77.static.pccwglobal.net,63.216.242.77,1,8
Tue,15:57:58,japan,kenya,ix-ae-16-0.tcore1.TV2-Tokyo.as6453.net,120.29.217.109,1,9
Tue,15:57:58,japan,kenya,if-ae-31-2.tcore2.SVW-Singapore.as6453.net,180.87.15.40,157,10
Tue,15:57:58,japan,kenya,if-ae-6-2.tcore2.CXR-Chennai.as6453.net,180.87.37.13,157,11
Tue,15:57:58,japan,kenya,if-ae-9-2.tcore2.MLV-Mumbai.as6453.net,180.87.37.10,119,12
Tue,15:57:58,japan,kenya,if-ge-3-0-0-2504.core1.N71-Fujairah.as6453.net,195.219.174.24,158,13
Tue,15:57:58,japan,kenya,195.219.174.134,195.219.174.134,202,14
Tue,15:57:58,japan,kenya,196.201.222.89,196.201.222.89,205,15
Tue,15:57:58,japan,kenya,196.201.222.166,196.201.222.166,217,16
Tue,15:57:58,japan,kenya,*,*,*,17
Tue,15:57:58,japan,kenya,*,*,*,18
Tue,15:57:58,japan,kenya,*,*,*,19
Tue,15:57:58,japan,kenya,*,*,*,20
Tue,15:57:58,japan,kenya,*,*,*,21
Tue,15:57:58,japan,kenya,*,*,*,22
Tue,15:57:58,japan,kenya,*,*,*,23
Tue,15:57:58,japan,kenya,*,*,*,24
Tue,15:57:58,japan,kenya,*,*,*,25
Tue,15:57:58,japan,kenya,*,*,*,26
Tue,15:57:58,japan,kenya,*,*,*,27
