Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,15:58:22,japan,oregon,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,17,1
Tue,15:58:22,japan,oregon,100.64.1.78,100.64.1.78,14,2
Tue,15:58:22,japan,oregon,100.64.1.1,100.64.1.1,5,3
Tue,15:58:22,japan,oregon,100.64.17.71,100.64.17.71,0,4
Tue,15:58:22,japan,oregon,52.95.30.207,52.95.30.207,2,5
Tue,15:58:22,japan,oregon,52.95.31.123,52.95.31.123,9,6
Tue,15:58:22,japan,oregon,52.95.31.10,52.95.31.10,3,7
Tue,15:58:22,japan,oregon,54.239.52.134,54.239.52.134,104,8
Tue,15:58:22,japan,oregon,54.239.41.161,54.239.41.161,103,9
Tue,15:58:22,japan,oregon,54.239.43.132,54.239.43.132,104,10
Tue,15:58:22,japan,oregon,52.93.12.230,52.93.12.230,117,11
Tue,15:58:22,japan,oregon,52.93.12.219,52.93.12.219,104,12
Tue,15:58:22,japan,oregon,52.93.13.30,52.93.13.30,110,13
Tue,15:58:22,japan,oregon,52.93.13.19,52.93.13.19,104,14
Tue,15:58:22,japan,oregon,52.93.15.217,52.93.15.217,105,15
Tue,15:58:22,japan,oregon,100.65.8.128,100.65.8.128,124,16
Tue,15:58:22,japan,oregon,100.66.4.136,100.66.4.136,126,17
Tue,15:58:22,japan,oregon,100.66.6.198,100.66.6.198,120,18
Tue,15:58:22,japan,oregon,100.66.10.99,100.66.10.99,119,19
Tue,15:58:22,japan,oregon,100.66.8.97,100.66.8.97,119,20
Tue,15:58:22,japan,oregon,ec2-54-187-25-77.us-west-2.compute.amazonaws.com,54.187.25.77,105,21
Tue,16:06:04,japan,oregon,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,14,1
Tue,16:06:04,japan,oregon,100.64.1.72,100.64.1.72,13,2
Tue,16:06:04,japan,oregon,100.64.1.135,100.64.1.135,21,3
Tue,16:06:04,japan,oregon,100.64.16.225,100.64.16.225,1,4
Tue,16:06:04,japan,oregon,52.95.30.221,52.95.30.221,3,5
Tue,16:06:04,japan,oregon,52.95.30.133,52.95.30.133,72,6
Tue,16:06:04,japan,oregon,52.95.30.10,52.95.30.10,7,7
Tue,16:06:04,japan,oregon,54.239.52.134,54.239.52.134,104,8
Tue,16:06:04,japan,oregon,54.239.41.161,54.239.41.161,111,9
Tue,16:06:04,japan,oregon,54.239.43.132,54.239.43.132,106,10
Tue,16:06:04,japan,oregon,52.93.12.86,52.93.12.86,109,11
Tue,16:06:04,japan,oregon,52.93.12.39,52.93.12.39,104,12
Tue,16:06:04,japan,oregon,52.93.12.214,52.93.12.214,126,13
Tue,16:06:04,japan,oregon,52.93.12.167,52.93.12.167,105,14
Tue,16:06:04,japan,oregon,52.93.13.75,52.93.13.75,105,15
Tue,16:06:04,japan,oregon,100.65.10.128,100.65.10.128,124,16
Tue,16:06:04,japan,oregon,100.66.4.174,100.66.4.174,117,17
Tue,16:06:04,japan,oregon,100.66.6.136,100.66.6.136,122,18
Tue,16:06:04,japan,oregon,100.66.10.233,100.66.10.233,117,19
Tue,16:06:04,japan,oregon,100.66.8.165,100.66.8.165,121,20
Tue,16:06:04,japan,oregon,ec2-54-187-25-77.us-west-2.compute.amazonaws.com,54.187.25.77,105,21
Tue,16:14:04,japan,oregon,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,17,1
Tue,16:14:04,japan,oregon,100.64.0.140,100.64.0.140,21,2
Tue,16:14:04,japan,oregon,100.64.0.129,100.64.0.129,14,3
Tue,16:14:04,japan,oregon,100.64.17.33,100.64.17.33,1,4
Tue,16:14:04,japan,oregon,52.95.30.219,52.95.30.219,2,5
Tue,16:14:04,japan,oregon,52.95.31.127,52.95.31.127,4,6
Tue,16:14:04,japan,oregon,52.95.31.14,52.95.31.14,3,7
Tue,16:14:04,japan,oregon,27.0.0.248,27.0.0.248,104,8
Tue,16:14:04,japan,oregon,54.239.41.161,54.239.41.161,104,9
Tue,16:14:04,japan,oregon,54.239.43.132,54.239.43.132,104,10
Tue,16:14:04,japan,oregon,52.93.12.86,52.93.12.86,105,11
Tue,16:14:04,japan,oregon,52.93.13.31,52.93.13.31,105,12
Tue,16:14:04,japan,oregon,52.93.12.146,52.93.12.146,107,13
Tue,16:14:04,japan,oregon,52.93.12.95,52.93.12.95,105,14
Tue,16:14:04,japan,oregon,52.93.15.223,52.93.15.223,105,15
Tue,16:14:04,japan,oregon,100.65.11.192,100.65.11.192,118,16
Tue,16:14:04,japan,oregon,100.66.4.244,100.66.4.244,125,17
Tue,16:14:04,japan,oregon,100.66.6.78,100.66.6.78,126,18
Tue,16:14:04,japan,oregon,100.66.11.165,100.66.11.165,122,19
Tue,16:14:04,japan,oregon,100.66.8.29,100.66.8.29,118,20
Tue,16:14:04,japan,oregon,ec2-54-187-25-77.us-west-2.compute.amazonaws.com,54.187.25.77,104,21
Tue,16:21:54,japan,oregon,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,15,1
Tue,16:21:54,japan,oregon,100.64.0.12,100.64.0.12,11,2
Tue,16:21:54,japan,oregon,100.64.3.197,100.64.3.197,16,3
Tue,16:21:54,japan,oregon,100.64.17.199,100.64.17.199,0,4
Tue,16:21:54,japan,oregon,52.95.30.217,52.95.30.217,3,5
Tue,16:21:54,japan,oregon,52.95.31.125,52.95.31.125,14,6
Tue,16:21:54,japan,oregon,52.95.31.14,52.95.31.14,3,7
Tue,16:21:54,japan,oregon,54.239.52.134,54.239.52.134,104,8
Tue,16:21:54,japan,oregon,54.239.41.161,54.239.41.161,105,9
Tue,16:21:54,japan,oregon,54.239.43.132,54.239.43.132,104,10
Tue,16:21:54,japan,oregon,52.93.12.158,52.93.12.158,130,11
Tue,16:21:54,japan,oregon,52.93.12.111,52.93.12.111,104,12
Tue,16:21:54,japan,oregon,52.93.13.30,52.93.13.30,118,13
Tue,16:21:54,japan,oregon,52.93.12.95,52.93.12.95,104,14
Tue,16:21:54,japan,oregon,52.93.15.221,52.93.15.221,106,15
Tue,16:21:54,japan,oregon,100.65.9.224,100.65.9.224,121,16
Tue,16:21:54,japan,oregon,100.66.4.56,100.66.4.56,117,17
Tue,16:21:54,japan,oregon,100.66.7.78,100.66.7.78,155,18
Tue,16:21:54,japan,oregon,100.66.10.41,100.66.10.41,117,19
Tue,16:21:54,japan,oregon,100.66.8.193,100.66.8.193,121,20
Tue,16:21:54,japan,oregon,ec2-54-187-25-77.us-west-2.compute.amazonaws.com,54.187.25.77,105,21
Tue,16:29:30,japan,oregon,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,12,1
Tue,16:29:30,japan,oregon,100.64.3.10,100.64.3.10,20,2
Tue,16:29:30,japan,oregon,100.64.1.1,100.64.1.1,12,3
Tue,16:29:30,japan,oregon,100.64.17.149,100.64.17.149,0,4
Tue,16:29:30,japan,oregon,52.95.30.213,52.95.30.213,3,5
Tue,16:29:30,japan,oregon,52.95.31.133,52.95.31.133,8,6
Tue,16:29:30,japan,oregon,52.95.30.14,52.95.30.14,4,7
Tue,16:29:30,japan,oregon,27.0.0.248,27.0.0.248,110,8
Tue,16:29:30,japan,oregon,54.239.41.161,54.239.41.161,104,9
Tue,16:29:30,japan,oregon,54.239.43.132,54.239.43.132,104,10
Tue,16:29:30,japan,oregon,52.93.12.86,52.93.12.86,105,11
Tue,16:29:30,japan,oregon,52.93.12.105,52.93.12.105,103,12
Tue,16:29:30,japan,oregon,52.93.12.36,52.93.12.36,106,13
Tue,16:29:30,japan,oregon,52.93.12.137,52.93.12.137,104,14
Tue,16:29:30,japan,oregon,52.93.15.217,52.93.15.217,105,15
Tue,16:29:30,japan,oregon,100.65.11.32,100.65.11.32,119,16
Tue,16:29:30,japan,oregon,100.66.4.80,100.66.4.80,116,17
Tue,16:29:30,japan,oregon,100.66.6.42,100.66.6.42,127,18
Tue,16:29:30,japan,oregon,100.66.10.33,100.66.10.33,122,19
Tue,16:29:30,japan,oregon,100.66.8.97,100.66.8.97,122,20
Tue,16:29:30,japan,oregon,ec2-54-187-25-77.us-west-2.compute.amazonaws.com,54.187.25.77,105,21
Tue,16:37:16,japan,oregon,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,19,1
Tue,16:37:16,japan,oregon,100.64.0.138,100.64.0.138,18,2
Tue,16:37:16,japan,oregon,100.64.3.195,100.64.3.195,12,3
Tue,16:37:16,japan,oregon,100.64.17.133,100.64.17.133,1,4
Tue,16:37:16,japan,oregon,52.95.30.209,52.95.30.209,5,5
Tue,16:37:16,japan,oregon,52.95.30.133,52.95.30.133,1221,6
Tue,16:37:16,japan,oregon,52.95.31.18,52.95.31.18,3,7
Tue,16:37:16,japan,oregon,54.239.52.134,54.239.52.134,104,8
Tue,16:37:16,japan,oregon,54.239.41.161,54.239.41.161,103,9
Tue,16:37:16,japan,oregon,54.239.43.132,54.239.43.132,104,10
Tue,16:37:16,japan,oregon,52.93.12.230,52.93.12.230,140,11
Tue,16:37:16,japan,oregon,52.93.12.33,52.93.12.33,103,12
Tue,16:37:16,japan,oregon,52.93.12.178,52.93.12.178,116,13
Tue,16:37:16,japan,oregon,52.93.12.239,52.93.12.239,104,14
Tue,16:37:16,japan,oregon,52.93.15.221,52.93.15.221,105,15
Tue,16:37:16,japan,oregon,100.65.11.192,100.65.11.192,118,16
Tue,16:37:16,japan,oregon,100.66.4.226,100.66.4.226,122,17
Tue,16:37:16,japan,oregon,100.66.7.66,100.66.7.66,125,18
Tue,16:37:16,japan,oregon,100.66.10.165,100.66.10.165,118,19
Tue,16:37:16,japan,oregon,100.66.8.37,100.66.8.37,125,20
Tue,16:37:16,japan,oregon,ec2-54-187-25-77.us-west-2.compute.amazonaws.com,54.187.25.77,104,21
