Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,15:58:29,japan,rwanda,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,17,1
Tue,15:58:29,japan,rwanda,100.64.1.140,100.64.1.140,18,2
Tue,15:58:29,japan,rwanda,100.64.3.133,100.64.3.133,8,3
Tue,15:58:29,japan,rwanda,100.64.16.55,100.64.16.55,0,4
Tue,15:58:29,japan,rwanda,52.95.30.219,52.95.30.219,2,5
Tue,15:58:29,japan,rwanda,52.95.30.121,52.95.30.121,7,6
Tue,15:58:29,japan,rwanda,52.95.30.170,52.95.30.170,6,7
Tue,15:58:29,japan,rwanda,gigabitethernet2-8.core1.tyo1.he.net,210.173.176.106,1,8
Tue,15:58:29,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,72,9
Tue,15:58:29,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,204,10
Tue,15:58:29,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,305,11
Tue,15:58:29,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,231,12
Tue,15:58:29,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,223,13
Tue,15:58:29,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,255,14
Tue,15:58:29,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,363,15
Tue,15:58:29,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,415,16
Tue,15:58:29,japan,rwanda,ten-0-2-1-0-p1-nbi.liquidtelecom.net,197.155.94.72,454,17
Tue,15:58:29,japan,rwanda,pos0-1-3-0.ltz-p1-dar.liquidtelecom.net,197.155.94.89,441,18
Tue,15:58:29,japan,rwanda,pos1-1-1-0.lrw-pe2-kgl.liquidtelecom.net,197.155.94.86,448,19
Tue,15:58:29,japan,rwanda,41.223.224.211,41.223.224.211,462,20
Tue,15:58:29,japan,rwanda,197.243.126.30,197.243.126.30,459,21
Tue,15:58:29,japan,rwanda,*,*,*,22
Tue,15:58:29,japan,rwanda,*,*,*,23
Tue,15:58:29,japan,rwanda,197.243.126.166,197.243.126.166,457,24
Tue,15:58:29,japan,rwanda,*,*,*,25
Tue,15:58:29,japan,rwanda,*,*,*,26
Tue,15:58:29,japan,rwanda,*,*,*,27
Tue,15:58:29,japan,rwanda,*,*,*,28
Tue,15:58:29,japan,rwanda,*,*,*,29
Tue,15:58:29,japan,rwanda,*,*,*,30
Tue,16:06:16,japan,rwanda,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,23,1
Tue,16:06:16,japan,rwanda,100.64.2.76,100.64.2.76,14,2
Tue,16:06:16,japan,rwanda,100.64.0.135,100.64.0.135,14,3
Tue,16:06:16,japan,rwanda,100.64.17.67,100.64.17.67,0,4
Tue,16:06:16,japan,rwanda,52.95.30.207,52.95.30.207,2,5
Tue,16:06:16,japan,rwanda,52.95.30.123,52.95.30.123,11,6
Tue,16:06:16,japan,rwanda,52.95.30.182,52.95.30.182,1,7
Tue,16:06:16,japan,rwanda,gigabitethernet2-8.core1.tyo1.he.net,210.173.176.106,9,8
Tue,16:06:16,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,67,9
Tue,16:06:16,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,204,10
Tue,16:06:16,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,277,11
Tue,16:06:16,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,222,12
Tue,16:06:16,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,234,13
Tue,16:06:16,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,239,14
Tue,16:06:16,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,352,15
Tue,16:06:16,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,414,16
Tue,16:06:16,japan,rwanda,ten-0-2-1-0-p1-nbi.liquidtelecom.net,197.155.94.72,459,17
Tue,16:06:16,japan,rwanda,pos0-1-3-0.ltz-p1-dar.liquidtelecom.net,197.155.94.89,451,18
Tue,16:06:16,japan,rwanda,pos1-1-1-0.lrw-pe2-kgl.liquidtelecom.net,197.155.94.86,463,19
Tue,16:06:16,japan,rwanda,41.223.224.211,41.223.224.211,458,20
Tue,16:06:16,japan,rwanda,197.243.126.30,197.243.126.30,454,21
Tue,16:06:16,japan,rwanda,*,*,*,22
Tue,16:06:16,japan,rwanda,*,*,*,23
Tue,16:06:16,japan,rwanda,197.243.126.166,197.243.126.166,464,24
Tue,16:06:16,japan,rwanda,*,*,*,25
Tue,16:06:16,japan,rwanda,*,*,*,26
Tue,16:06:16,japan,rwanda,*,*,*,27
Tue,16:06:16,japan,rwanda,*,*,*,28
Tue,16:06:16,japan,rwanda,*,*,*,29
Tue,16:06:16,japan,rwanda,*,*,*,30
Tue,16:14:15,japan,rwanda,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,19,1
Tue,16:14:15,japan,rwanda,100.64.1.14,100.64.1.14,21,2
Tue,16:14:15,japan,rwanda,100.64.3.3,100.64.3.3,20,3
Tue,16:14:15,japan,rwanda,100.64.17.229,100.64.17.229,0,4
Tue,16:14:15,japan,rwanda,52.95.30.219,52.95.30.219,2,5
Tue,16:14:15,japan,rwanda,52.95.30.129,52.95.30.129,257,6
Tue,16:14:15,japan,rwanda,52.95.30.166,52.95.30.166,1,7
Tue,16:14:15,japan,rwanda,as6939.ix.jpix.ad.jp,210.171.224.40,1,8
Tue,16:14:15,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,67,9
Tue,16:14:15,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,204,10
Tue,16:14:15,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,223,11
Tue,16:14:15,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,222,12
Tue,16:14:15,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,225,13
Tue,16:14:15,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,254,14
Tue,16:14:15,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,347,15
Tue,16:14:15,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,403,16
Tue,16:14:15,japan,rwanda,197.155.94.168.liquidtelecom.net,197.155.94.168,455,17
Tue,16:14:15,japan,rwanda,pos0-1-3-0.ltz-p1-dar.liquidtelecom.net,197.155.94.89,439,18
Tue,16:14:15,japan,rwanda,pos1-1-1-0.lrw-pe2-kgl.liquidtelecom.net,197.155.94.86,444,19
Tue,16:14:15,japan,rwanda,41.223.224.211,41.223.224.211,452,20
Tue,16:14:15,japan,rwanda,197.243.126.30,197.243.126.30,461,21
Tue,16:14:15,japan,rwanda,*,*,*,22
Tue,16:14:15,japan,rwanda,*,*,*,23
Tue,16:14:15,japan,rwanda,197.243.126.166,197.243.126.166,458,24
Tue,16:14:15,japan,rwanda,*,*,*,25
Tue,16:14:15,japan,rwanda,*,*,*,26
Tue,16:14:15,japan,rwanda,*,*,*,27
Tue,16:14:15,japan,rwanda,*,*,*,28
Tue,16:14:15,japan,rwanda,*,*,*,29
Tue,16:14:15,japan,rwanda,*,*,*,30
Tue,16:22:05,japan,rwanda,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,7,1
Tue,16:22:05,japan,rwanda,100.64.3.136,100.64.3.136,22,2
Tue,16:22:05,japan,rwanda,100.64.1.129,100.64.1.129,20,3
Tue,16:22:05,japan,rwanda,100.64.17.97,100.64.17.97,1,4
Tue,16:22:05,japan,rwanda,52.95.30.211,52.95.30.211,2,5
Tue,16:22:05,japan,rwanda,52.95.30.133,52.95.30.133,11,6
Tue,16:22:05,japan,rwanda,52.95.30.184,52.95.30.184,1,7
Tue,16:22:05,japan,rwanda,6939.tyo.equinix.com,203.190.230.40,1,8
Tue,16:22:05,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,67,9
Tue,16:22:05,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,204,10
Tue,16:22:05,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,223,11
Tue,16:22:05,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,240,12
Tue,16:22:05,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,222,13
Tue,16:22:05,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,255,14
Tue,16:22:05,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,360,15
Tue,16:22:05,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,411,16
Tue,16:22:05,japan,rwanda,197.155.94.168.liquidtelecom.net,197.155.94.168,462,17
Tue,16:22:05,japan,rwanda,pos0-1-3-0.ltz-p1-dar.liquidtelecom.net,197.155.94.89,445,18
Tue,16:22:05,japan,rwanda,pos1-1-1-0.lrw-pe2-kgl.liquidtelecom.net,197.155.94.86,452,19
