Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:27:10,japan,angola,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,12,1
Tue,16:27:10,japan,angola,100.64.0.204,100.64.0.204,17,2
Tue,16:27:10,japan,angola,100.64.1.133,100.64.1.133,13,3
Tue,16:27:10,japan,angola,100.64.17.43,100.64.17.43,1,4
Tue,16:27:10,japan,angola,52.95.30.207,52.95.30.207,2,5
Tue,16:27:10,japan,angola,52.95.30.127,52.95.30.127,6,6
Tue,16:27:10,japan,angola,52.95.30.142,52.95.30.142,1,7
Tue,16:27:10,japan,angola,63-216-242-77.static.pccwglobal.net,63.216.242.77,1,8
Tue,16:27:10,japan,angola,ge0-0-1-6.br01.jnb01.pccwbtn.net,63.218.150.106,425,9
Tue,16:27:10,japan,angola,angolacables.ixp.joburg,196.60.8.60,400,10
Tue,16:27:10,japan,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,409,11
Tue,16:27:10,japan,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,403,12
Tue,16:27:10,japan,angola,197.149.148.237,197.149.148.237,411,13
Tue,16:27:10,japan,angola,41.222.238.26,41.222.238.26,420,14
Tue,16:27:10,japan,angola,41.222.238.7,41.222.238.7,418,15
Tue,16:27:10,japan,angola,*,*,*,16
Tue,16:27:10,japan,angola,*,*,*,17
Tue,16:27:10,japan,angola,*,*,*,18
Tue,16:27:10,japan,angola,*,*,*,19
Tue,16:27:10,japan,angola,*,*,*,20
Tue,16:27:10,japan,angola,*,*,*,21
Tue,16:27:10,japan,angola,*,*,*,22
Tue,16:27:10,japan,angola,*,*,*,23
Tue,16:27:10,japan,angola,*,*,*,24
Tue,16:27:10,japan,angola,*,*,*,25
Tue,16:27:10,japan,angola,*,*,*,26
Tue,16:27:10,japan,angola,*,*,*,27
Tue,16:27:10,japan,angola,*,*,*,28
Tue,16:27:10,japan,angola,*,*,*,29
Tue,16:27:10,japan,angola,*,*,*,30
Tue,16:34:53,japan,angola,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,543,1
Tue,16:34:53,japan,angola,100.64.1.204,100.64.1.204,12,2
Tue,16:34:53,japan,angola,100.64.0.197,100.64.0.197,18,3
Tue,16:34:53,japan,angola,100.64.17.41,100.64.17.41,0,4
Tue,16:34:53,japan,angola,52.95.30.215,52.95.30.215,2,5
Tue,16:34:53,japan,angola,52.95.30.133,52.95.30.133,9,6
Tue,16:34:53,japan,angola,52.95.30.146,52.95.30.146,1,7
