Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:27:40,japan,congo_DR,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,14,1
Tue,16:27:40,japan,congo_DR,100.64.2.206,100.64.2.206,22,2
Tue,16:27:40,japan,congo_DR,100.64.1.199,100.64.1.199,18,3
Tue,16:27:40,japan,congo_DR,100.64.17.55,100.64.17.55,0,4
Tue,16:27:40,japan,congo_DR,52.95.30.219,52.95.30.219,1,5
Tue,16:27:40,japan,congo_DR,52.95.30.131,52.95.30.131,4,6
Tue,16:27:40,japan,congo_DR,52.95.30.152,52.95.30.152,1,7
Tue,16:27:40,japan,congo_DR,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,16:27:40,japan,congo_DR,ae-10.r31.tokyjp05.jp.bb.gin.ntt.net,129.250.3.252,1,9
Tue,16:27:40,japan,congo_DR,ae-4.r31.tokyjp05.jp.bb.gin.ntt.net,129.250.3.57,1,10
Tue,16:27:40,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,116,11
Tue,16:27:40,japan,congo_DR,ae-0.endurance.lsanca07.us.bb.gin.ntt.net,129.250.198.182,127,12
Tue,16:27:40,japan,congo_DR,162-144-240-149.unifiedlayer.com,162.144.240.149,128,13
Tue,16:27:40,japan,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,127,14
Tue,16:27:40,japan,congo_DR,just57.justhost.com,173.254.28.57,140,15
Tue,16:35:28,japan,congo_DR,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,14,1
Tue,16:35:28,japan,congo_DR,100.64.2.76,100.64.2.76,32,2
Tue,16:35:28,japan,congo_DR,100.64.2.65,100.64.2.65,13,3
Tue,16:35:28,japan,congo_DR,100.64.17.53,100.64.17.53,0,4
Tue,16:35:28,japan,congo_DR,52.95.30.207,52.95.30.207,2,5
Tue,16:35:28,japan,congo_DR,52.95.30.129,52.95.30.129,9,6
Tue,16:35:28,japan,congo_DR,52.95.30.170,52.95.30.170,1,7
Tue,16:35:28,japan,congo_DR,ae-21.r02.tokyjp03.jp.bb.gin.ntt.net,120.88.53.145,2,8
Tue,16:35:28,japan,congo_DR,*,*,*,9
Tue,16:35:28,japan,congo_DR,*,*,*,10
Tue,16:35:28,japan,congo_DR,ae-2.r01.lsanca07.us.bb.gin.ntt.net,129.250.4.107,112,11
