Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:27:55,japan,kenya,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,687,1
Tue,16:27:55,japan,kenya,100.64.1.8,100.64.1.8,17,2
Tue,16:27:55,japan,kenya,100.64.2.135,100.64.2.135,18,3
Tue,16:27:55,japan,kenya,100.64.17.9,100.64.17.9,1,4
Tue,16:27:55,japan,kenya,52.95.30.219,52.95.30.219,2,5
Tue,16:27:55,japan,kenya,52.95.30.131,52.95.30.131,5,6
Tue,16:27:55,japan,kenya,52.95.30.160,52.95.30.160,1,7
Tue,16:27:55,japan,kenya,63-218-251-237.static.pccwglobal.net,63.218.251.237,2,8
Tue,16:27:55,japan,kenya,ix-ae-16-0.tcore1.TV2-Tokyo.as6453.net,120.29.217.109,1,9
Tue,16:27:55,japan,kenya,if-ae-31-2.tcore2.SVW-Singapore.as6453.net,180.87.15.40,153,10
Tue,16:27:55,japan,kenya,if-ae-6-2.tcore2.CXR-Chennai.as6453.net,180.87.37.13,156,11
Tue,16:27:55,japan,kenya,if-ae-9-2.tcore2.MLV-Mumbai.as6453.net,180.87.37.10,123,12
Tue,16:27:55,japan,kenya,if-pos-9-0-1.core1.N71-Fujairah.as6453.net,180.87.39.50,158,13
Tue,16:27:55,japan,kenya,195.219.174.18,195.219.174.18,209,14
Tue,16:27:55,japan,kenya,196.201.222.89,196.201.222.89,209,15
Tue,16:27:55,japan,kenya,196.201.222.166,196.201.222.166,216,16
Tue,16:27:55,japan,kenya,*,*,*,17
Tue,16:27:55,japan,kenya,*,*,*,18
Tue,16:27:55,japan,kenya,*,*,*,19
Tue,16:27:55,japan,kenya,*,*,*,20
Tue,16:27:55,japan,kenya,*,*,*,21
Tue,16:27:55,japan,kenya,*,*,*,22
Tue,16:27:55,japan,kenya,*,*,*,23
Tue,16:27:55,japan,kenya,*,*,*,24
Tue,16:27:55,japan,kenya,*,*,*,25
Tue,16:27:55,japan,kenya,*,*,*,26
Tue,16:27:55,japan,kenya,*,*,*,27
Tue,16:27:55,japan,kenya,*,*,*,28
Tue,16:27:55,japan,kenya,*,*,*,29
Tue,16:27:55,japan,kenya,*,*,*,30
Tue,16:36:01,japan,kenya,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,18,1
Tue,16:36:01,japan,kenya,100.64.2.76,100.64.2.76,14,2
Tue,16:36:01,japan,kenya,100.64.3.199,100.64.3.199,13,3
Tue,16:36:01,japan,kenya,100.64.17.23,100.64.17.23,0,4
Tue,16:36:01,japan,kenya,52.95.30.211,52.95.30.211,1,5
Tue,16:36:01,japan,kenya,52.95.30.125,52.95.30.125,6,6
Tue,16:36:01,japan,kenya,52.95.30.142,52.95.30.142,1,7
Tue,16:36:01,japan,kenya,63-216-242-53.static.pccwglobal.net,63.216.242.53,1,8
Tue,16:36:01,japan,kenya,ix-ae-16-0.tcore1.TV2-Tokyo.as6453.net,120.29.217.109,1,9
Tue,16:36:01,japan,kenya,if-ae-31-2.tcore2.SVW-Singapore.as6453.net,180.87.15.40,153,10
Tue,16:36:01,japan,kenya,if-ae-6-2.tcore2.CXR-Chennai.as6453.net,180.87.37.13,156,11
Tue,16:36:01,japan,kenya,if-ae-9-2.tcore2.MLV-Mumbai.as6453.net,180.87.37.10,125,12
Tue,16:36:01,japan,kenya,if-pos-1-1-0.core1.N71-Fujairah.as6453.net,180.87.39.48,151,13
Tue,16:36:01,japan,kenya,195.219.174.18,195.219.174.18,211,14
Tue,16:36:01,japan,kenya,196.201.222.89,196.201.222.89,209,15
Tue,16:36:01,japan,kenya,196.201.222.166,196.201.222.166,214,16
Tue,16:36:01,japan,kenya,*,*,*,17
Tue,16:36:01,japan,kenya,*,*,*,18
Tue,16:36:01,japan,kenya,*,*,*,19
Tue,16:36:01,japan,kenya,*,*,*,20
Tue,16:36:01,japan,kenya,*,*,*,21
Tue,16:36:01,japan,kenya,*,*,*,22
Tue,16:36:01,japan,kenya,*,*,*,23
Tue,16:36:01,japan,kenya,*,*,*,24
Tue,16:36:01,japan,kenya,*,*,*,25
Tue,16:36:01,japan,kenya,*,*,*,26
Tue,16:36:01,japan,kenya,*,*,*,27
Tue,16:36:01,japan,kenya,*,*,*,28
Tue,16:36:01,japan,kenya,*,*,*,29
Tue,16:36:01,japan,kenya,*,*,*,30
