Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:28:24,japan,rwanda,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,16,1
Tue,16:28:24,japan,rwanda,100.64.3.8,100.64.3.8,20,2
Tue,16:28:24,japan,rwanda,100.64.0.71,100.64.0.71,13,3
Tue,16:28:24,japan,rwanda,100.64.17.71,100.64.17.71,1,4
Tue,16:28:24,japan,rwanda,52.95.30.215,52.95.30.215,2,5
Tue,16:28:24,japan,rwanda,52.95.30.125,52.95.30.125,8,6
Tue,16:28:24,japan,rwanda,52.95.30.196,52.95.30.196,1,7
Tue,16:28:24,japan,rwanda,6939.tyo.equinix.com,203.190.230.40,1,8
Tue,16:28:24,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,67,9
Tue,16:28:24,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,204,10
Tue,16:28:24,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,214,11
Tue,16:28:24,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,222,12
Tue,16:28:24,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,222,13
Tue,16:28:24,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,255,14
Tue,16:28:24,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,366,15
Tue,16:28:24,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,415,16
Tue,16:28:24,japan,rwanda,teng0-0-1-3-p1-nbi.liquidtelecom.net,197.155.94.10,440,17
Tue,16:28:24,japan,rwanda,teng0-1-1-0-p1-nbi.liquidtelecom.net,197.155.94.18,448,18
Tue,16:28:24,japan,rwanda,teng0-0-0-0.lug-p2-kgl.liquidtelecom.net,197.155.94.81,435,19
Tue,16:28:24,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,420,20
Tue,16:28:24,japan,rwanda,41.223.224.211,41.223.224.211,425,21
Tue,16:28:24,japan,rwanda,197.243.126.30,197.243.126.30,432,22
Tue,16:28:24,japan,rwanda,*,*,*,23
Tue,16:28:24,japan,rwanda,*,*,*,24
Tue,16:28:24,japan,rwanda,197.243.126.166,197.243.126.166,437,25
Tue,16:28:24,japan,rwanda,*,*,*,26
Tue,16:28:24,japan,rwanda,*,*,*,27
Tue,16:28:24,japan,rwanda,*,*,*,28
Tue,16:28:24,japan,rwanda,*,*,*,29
Tue,16:28:24,japan,rwanda,*,*,*,30
Tue,16:36:32,japan,rwanda,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,16,1
Tue,16:36:32,japan,rwanda,100.64.3.200,100.64.3.200,18,2
Tue,16:36:32,japan,rwanda,100.64.0.3,100.64.0.3,14,3
Tue,16:36:32,japan,rwanda,100.64.16.225,100.64.16.225,0,4
Tue,16:36:32,japan,rwanda,52.95.30.219,52.95.30.219,2,5
Tue,16:36:32,japan,rwanda,52.95.30.131,52.95.30.131,9,6
Tue,16:36:32,japan,rwanda,52.95.30.196,52.95.30.196,1,7
Tue,16:36:32,japan,rwanda,as6939.ix.jpix.ad.jp,210.171.224.40,9,8
Tue,16:36:32,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,70,9
Tue,16:36:32,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,208,10
Tue,16:36:32,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,214,11
Tue,16:36:32,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,222,12
Tue,16:36:32,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,223,13
Tue,16:36:32,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,248,14
Tue,16:36:32,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,352,15
Tue,16:36:32,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,403,16
Tue,16:36:32,japan,rwanda,ten-0-2-1-0-p1-nbi.liquidtelecom.net,197.155.94.72,427,17
Tue,16:36:32,japan,rwanda,teng0-0-1-2-p2-nbi.liquidtelecom.net,197.155.94.2,436,18
Tue,16:36:32,japan,rwanda,teng0-0-0-2.lug-p2-kpl.liquidtelecom.net,197.155.94.97,438,19
