Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:29:16,japan,uganda,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,21,1
Tue,16:29:16,japan,uganda,100.64.2.142,100.64.2.142,21,2
Tue,16:29:16,japan,uganda,100.64.0.69,100.64.0.69,42,3
Tue,16:29:16,japan,uganda,100.64.16.169,100.64.16.169,0,4
Tue,16:29:16,japan,uganda,52.95.30.211,52.95.30.211,2,5
Tue,16:29:16,japan,uganda,52.95.30.127,52.95.30.127,969,6
Tue,16:29:16,japan,uganda,52.95.30.178,52.95.30.178,1,7
Tue,16:29:16,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,1,8
Tue,16:29:16,japan,uganda,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,2,9
Tue,16:29:16,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,57,10
Tue,16:29:16,japan,uganda,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,60,11
Tue,16:29:16,japan,uganda,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,50,12
Tue,16:29:16,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,55,13
Tue,16:29:16,japan,uganda,if-et-17-2.hcore1.KV8-Chiba.as6453.net,116.0.67.62,63,14
Tue,16:29:16,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,230,15
Tue,16:29:16,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,220,16
Tue,16:29:16,japan,uganda,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,214,17
Tue,16:29:16,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,225,18
Tue,16:29:16,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,220,19
Tue,16:29:16,japan,uganda,216.6.90.70,216.6.90.70,301,20
Tue,16:29:16,japan,uganda,182.79.245.77,182.79.245.77,310,21
Tue,16:29:16,japan,uganda,61.246.168.114,61.246.168.114,573,22
Tue,16:29:16,japan,uganda,41.84.193.82,41.84.193.82,561,23
Tue,16:29:16,japan,uganda,41.84.196.194,41.84.196.194,563,24
Tue,16:29:16,japan,uganda,196.0.1.13,196.0.1.13,527,25
Tue,16:29:16,japan,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,525,26
Tue,16:29:16,japan,uganda,webhost2.utlonline.co.ug,196.0.3.3,531,27
Tue,16:37:12,japan,uganda,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,73,1
Tue,16:37:12,japan,uganda,100.64.2.14,100.64.2.14,54,2
Tue,16:37:12,japan,uganda,100.64.1.65,100.64.1.65,19,3
Tue,16:37:12,japan,uganda,100.64.16.3,100.64.16.3,0,4
Tue,16:37:12,japan,uganda,52.95.30.211,52.95.30.211,2,5
Tue,16:37:12,japan,uganda,52.95.30.125,52.95.30.125,11,6
Tue,16:37:12,japan,uganda,52.95.30.178,52.95.30.178,1,7
Tue,16:37:12,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,1,8
Tue,16:37:12,japan,uganda,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,16:37:12,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,57,10
Tue,16:37:12,japan,uganda,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,57,11
Tue,16:37:12,japan,uganda,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,49,12
Tue,16:37:12,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,55,13
Tue,16:37:12,japan,uganda,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,68,14
Tue,16:37:12,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,217,15
Tue,16:37:12,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.12,216,16
Tue,16:37:12,japan,uganda,*,*,*,17
Tue,16:37:12,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,216,18
Tue,16:37:12,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,225,19
Tue,16:37:12,japan,uganda,216.6.90.70,216.6.90.70,297,20
Tue,16:37:12,japan,uganda,125.62.187.189,125.62.187.189,348,21
Tue,16:37:12,japan,uganda,61.246.168.114,61.246.168.114,561,22
