Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:26:44,japan,algeria,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,12,1
Wed,15:26:44,japan,algeria,100.64.2.14,100.64.2.14,13,2
Wed,15:26:44,japan,algeria,100.64.2.71,100.64.2.71,12,3
Wed,15:26:44,japan,algeria,100.64.16.65,100.64.16.65,1,4
Wed,15:26:44,japan,algeria,52.95.30.219,52.95.30.219,2,5
Wed,15:26:44,japan,algeria,52.95.30.121,52.95.30.121,2,6
Wed,15:26:44,japan,algeria,52.95.30.174,52.95.30.174,1,7
Wed,15:26:44,japan,algeria,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Wed,15:26:44,japan,algeria,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Wed,15:26:44,japan,algeria,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,58,10
Wed,15:26:44,japan,algeria,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,56,11
Wed,15:26:44,japan,algeria,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,54,12
Wed,15:26:44,japan,algeria,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,56,13
Wed,15:26:44,japan,algeria,if-et-17-2.hcore1.KV8-Chiba.as6453.net,116.0.67.62,126,14
Wed,15:26:44,japan,algeria,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,291,15
Wed,15:26:44,japan,algeria,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.12,293,16
Wed,15:26:44,japan,algeria,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,293,17
Wed,15:26:44,japan,algeria,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,291,18
Wed,15:26:44,japan,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,295,19
Wed,15:26:44,japan,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,298,20
Wed,15:26:44,japan,algeria,195.219.83.30,195.219.83.30,272,21
Wed,15:26:44,japan,algeria,*,*,*,22
Wed,15:26:44,japan,algeria,*,*,*,23
Wed,15:26:44,japan,algeria,*,*,*,24
Wed,15:26:44,japan,algeria,*,*,*,25
Wed,15:26:44,japan,algeria,*,*,*,26
Wed,15:26:44,japan,algeria,*,*,*,27
Wed,15:26:44,japan,algeria,*,*,*,28
Wed,15:26:44,japan,algeria,*,*,*,29
Wed,15:26:44,japan,algeria,*,*,*,30
Wed,15:36:35,japan,algeria,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,18,1
Wed,15:36:35,japan,algeria,100.64.2.206,100.64.2.206,16,2
Wed,15:36:35,japan,algeria,100.64.1.129,100.64.1.129,18,3
Wed,15:36:35,japan,algeria,100.64.17.15,100.64.17.15,0,4
Wed,15:36:35,japan,algeria,52.95.30.207,52.95.30.207,2,5
Wed,15:36:35,japan,algeria,52.95.30.125,52.95.30.125,5,6
Wed,15:36:35,japan,algeria,52.95.30.170,52.95.30.170,1,7
Wed,15:36:35,japan,algeria,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Wed,15:36:35,japan,algeria,*,*,*,9
Wed,15:36:35,japan,algeria,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,50,10
Wed,15:36:35,japan,algeria,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,64,11
Wed,15:36:35,japan,algeria,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,51,12
Wed,15:36:35,japan,algeria,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,56,13
Wed,15:36:35,japan,algeria,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,63,14
Wed,15:36:35,japan,algeria,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,288,15
Wed,15:36:35,japan,algeria,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.72,292,16
Wed,15:36:35,japan,algeria,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,289,17
Wed,15:36:35,japan,algeria,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,284,18
Wed,15:36:35,japan,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,300,19
Wed,15:36:35,japan,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,288,20
Wed,15:36:35,japan,algeria,195.219.83.30,195.219.83.30,259,21
Wed,15:36:35,japan,algeria,*,*,*,22
Wed,15:36:35,japan,algeria,*,*,*,23
Wed,15:36:35,japan,algeria,*,*,*,24
Wed,15:36:35,japan,algeria,*,*,*,25
Wed,15:36:35,japan,algeria,*,*,*,26
Wed,15:36:35,japan,algeria,*,*,*,27
Wed,15:36:35,japan,algeria,*,*,*,28
Wed,15:36:35,japan,algeria,*,*,*,29
Wed,15:36:35,japan,algeria,*,*,*,30
Wed,15:45:08,japan,algeria,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,34,1
Wed,15:45:08,japan,algeria,100.64.2.14,100.64.2.14,21,2
Wed,15:45:08,japan,algeria,100.64.1.3,100.64.1.3,17,3
Wed,15:45:08,japan,algeria,100.64.16.137,100.64.16.137,0,4
Wed,15:45:08,japan,algeria,52.95.30.215,52.95.30.215,2,5
Wed,15:45:08,japan,algeria,52.95.30.135,52.95.30.135,6,6
Wed,15:45:08,japan,algeria,52.95.30.172,52.95.30.172,1,7
Wed,15:45:08,japan,algeria,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Wed,15:45:08,japan,algeria,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,2,9
Wed,15:45:08,japan,algeria,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,51,10
Wed,15:45:08,japan,algeria,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,53,11
Wed,15:45:08,japan,algeria,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,50,12
Wed,15:45:08,japan,algeria,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,56,13
Wed,15:45:08,japan,algeria,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,67,14
Wed,15:45:08,japan,algeria,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,298,15
Wed,15:45:08,japan,algeria,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,317,16
Wed,15:45:08,japan,algeria,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,296,17
Wed,15:45:08,japan,algeria,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,285,18
Wed,15:45:08,japan,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,295,19
Wed,15:45:08,japan,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,281,20
Wed,15:45:08,japan,algeria,195.219.83.30,195.219.83.30,258,21
Wed,15:45:08,japan,algeria,*,*,*,22
Wed,15:45:08,japan,algeria,*,*,*,23
Wed,15:45:08,japan,algeria,*,*,*,24
Wed,15:45:08,japan,algeria,*,*,*,25
Wed,15:45:08,japan,algeria,*,*,*,26
Wed,15:45:08,japan,algeria,*,*,*,27
Wed,15:45:08,japan,algeria,*,*,*,28
Wed,15:45:08,japan,algeria,*,*,*,29
Wed,15:45:08,japan,algeria,*,*,*,30
Wed,15:52:48,japan,algeria,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,20,1
Wed,15:52:48,japan,algeria,100.64.2.140,100.64.2.140,14,2
Wed,15:52:48,japan,algeria,100.64.2.5,100.64.2.5,20,3
Wed,15:52:48,japan,algeria,100.64.17.97,100.64.17.97,0,4
Wed,15:52:48,japan,algeria,52.95.30.207,52.95.30.207,2,5
Wed,15:52:48,japan,algeria,52.95.30.133,52.95.30.133,7,6
Wed,15:52:48,japan,algeria,52.95.30.136,52.95.30.136,1,7
Wed,15:52:48,japan,algeria,63-218-251-237.static.pccwglobal.net,63.218.251.237,1,8
Wed,15:52:48,japan,algeria,*,*,*,9
Wed,15:52:48,japan,algeria,HundredGE0-3-0-1.br04.dal01.pccwbtn.net,63.223.32.62,142,10
Wed,15:52:48,japan,algeria,*,*,*,11
Wed,15:52:48,japan,algeria,*,*,*,12
Wed,15:52:48,japan,algeria,*,*,*,13
