Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:27:04,japan,angola,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,17,1
Wed,15:27:04,japan,angola,100.64.3.204,100.64.3.204,21,2
Wed,15:27:04,japan,angola,100.64.2.65,100.64.2.65,14,3
Wed,15:27:04,japan,angola,100.64.17.135,100.64.17.135,1,4
Wed,15:27:04,japan,angola,52.95.30.211,52.95.30.211,2,5
Wed,15:27:04,japan,angola,52.95.30.133,52.95.30.133,7,6
Wed,15:27:04,japan,angola,52.95.30.150,52.95.30.150,1,7
Wed,15:27:04,japan,angola,63-218-251-237.static.pccwglobal.net,63.218.251.237,1,8
Wed,15:27:04,japan,angola,TenGE0-0-2-1.br01.jnb01.pccwbtn.net,63.223.48.70,419,9
Wed,15:27:04,japan,angola,TenGE0-0-2-1.br01.jnb01.pccwbtn.net,63.223.48.70,416,10
Wed,15:27:04,japan,angola,angolacables.ixp.joburg,196.60.8.60,410,11
Wed,15:27:04,japan,angola,197.149.151.19,197.149.151.19,412,12
Wed,15:27:04,japan,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,409,13
Wed,15:27:04,japan,angola,197.149.148.237,197.149.148.237,409,14
Wed,15:27:04,japan,angola,41.222.238.26,41.222.238.26,412,15
Wed,15:27:04,japan,angola,41.222.238.7,41.222.238.7,412,16
Wed,15:27:04,japan,angola,*,*,*,17
Wed,15:27:04,japan,angola,*,*,*,18
Wed,15:27:04,japan,angola,*,*,*,19
Wed,15:27:04,japan,angola,*,*,*,20
Wed,15:27:04,japan,angola,*,*,*,21
Wed,15:27:04,japan,angola,*,*,*,22
Wed,15:27:04,japan,angola,*,*,*,23
Wed,15:27:04,japan,angola,*,*,*,24
Wed,15:27:04,japan,angola,*,*,*,25
Wed,15:27:04,japan,angola,*,*,*,26
Wed,15:27:04,japan,angola,*,*,*,27
Wed,15:27:04,japan,angola,*,*,*,28
Wed,15:27:04,japan,angola,*,*,*,29
Wed,15:27:04,japan,angola,*,*,*,30
Wed,15:36:53,japan,angola,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,21,1
Wed,15:36:53,japan,angola,100.64.3.76,100.64.3.76,19,2
Wed,15:36:53,japan,angola,100.64.3.5,100.64.3.5,16,3
Wed,15:36:53,japan,angola,100.64.17.43,100.64.17.43,1,4
Wed,15:36:53,japan,angola,52.95.30.219,52.95.30.219,2,5
Wed,15:36:53,japan,angola,52.95.30.135,52.95.30.135,7,6
Wed,15:36:53,japan,angola,52.95.30.142,52.95.30.142,1,7
Wed,15:36:53,japan,angola,63-218-251-237.static.pccwglobal.net,63.218.251.237,1,8
Wed,15:36:53,japan,angola,TenGE0-0-2-1.br01.jnb01.pccwbtn.net,63.223.48.70,416,9
Wed,15:36:53,japan,angola,angolacables.ixp.joburg,196.60.8.60,413,10
Wed,15:36:53,japan,angola,angolacables.ixp.joburg,196.60.8.60,411,11
Wed,15:36:53,japan,angola,197.149.149.117,197.149.149.117,410,12
