Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:28:13,japan,congo_DR,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,21,1
Wed,15:28:13,japan,congo_DR,100.64.0.138,100.64.0.138,21,2
Wed,15:28:13,japan,congo_DR,100.64.1.193,100.64.1.193,12,3
Wed,15:28:13,japan,congo_DR,100.64.17.33,100.64.17.33,0,4
Wed,15:28:13,japan,congo_DR,52.95.30.207,52.95.30.207,2,5
Wed,15:28:13,japan,congo_DR,52.95.30.125,52.95.30.125,1197,6
Wed,15:28:13,japan,congo_DR,52.95.30.152,52.95.30.152,1,7
Wed,15:28:13,japan,congo_DR,ae-21.r02.tokyjp03.jp.bb.gin.ntt.net,120.88.53.145,2,8
Wed,15:28:13,japan,congo_DR,ae-14.r31.tokyjp05.jp.bb.gin.ntt.net,129.250.4.248,2,9
Wed,15:28:13,japan,congo_DR,ae-4.r23.snjsca04.us.bb.gin.ntt.net,129.250.5.78,121,10
Wed,15:28:13,japan,congo_DR,ae-2.r00.lsanca07.us.bb.gin.ntt.net,129.250.3.238,111,11
Wed,15:28:13,japan,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,109,12
Wed,15:28:13,japan,congo_DR,ae-0.endurance.lsanca07.us.bb.gin.ntt.net,129.250.198.182,127,13
Wed,15:28:13,japan,congo_DR,162-144-240-149.unifiedlayer.com,162.144.240.149,140,14
Wed,15:28:13,japan,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,131,15
Wed,15:28:13,japan,congo_DR,just57.justhost.com,173.254.28.57,140,16
Wed,15:37:49,japan,congo_DR,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,461,1
Wed,15:37:49,japan,congo_DR,100.64.2.72,100.64.2.72,11,2
Wed,15:37:49,japan,congo_DR,100.64.1.7,100.64.1.7,20,3
Wed,15:37:49,japan,congo_DR,100.64.17.3,100.64.17.3,0,4
Wed,15:37:49,japan,congo_DR,52.95.30.211,52.95.30.211,2,5
Wed,15:37:49,japan,congo_DR,52.95.30.129,52.95.30.129,3,6
Wed,15:37:49,japan,congo_DR,52.95.30.164,52.95.30.164,2,7
Wed,15:37:49,japan,congo_DR,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,3,8
Wed,15:37:49,japan,congo_DR,ae-15.r03.tokyjp05.jp.bb.gin.ntt.net,129.250.5.151,109,9
Wed,15:37:49,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,114,10
Wed,15:37:49,japan,congo_DR,ae-4.r23.snjsca04.us.bb.gin.ntt.net,129.250.5.78,121,11
Wed,15:37:49,japan,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,110,12
Wed,15:37:49,japan,congo_DR,ae-0.endurance.lsanca07.us.bb.gin.ntt.net,129.250.198.182,127,13
Wed,15:37:49,japan,congo_DR,162-144-240-145.unifiedlayer.com,162.144.240.145,140,14
Wed,15:37:49,japan,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,127,15
Wed,15:37:49,japan,congo_DR,just57.justhost.com,173.254.28.57,140,16
Wed,15:45:57,japan,congo_DR,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,19,1
Wed,15:45:57,japan,congo_DR,100.64.1.12,100.64.1.12,13,2
Wed,15:45:57,japan,congo_DR,100.64.0.199,100.64.0.199,34,3
Wed,15:45:57,japan,congo_DR,100.64.16.45,100.64.16.45,0,4
Wed,15:45:57,japan,congo_DR,52.95.30.211,52.95.30.211,2,5
Wed,15:45:57,japan,congo_DR,52.95.30.129,52.95.30.129,7,6
Wed,15:45:57,japan,congo_DR,52.95.30.172,52.95.30.172,1,7
Wed,15:45:57,japan,congo_DR,203.105.73.45,203.105.73.45,14,8
Wed,15:45:57,japan,congo_DR,ae-15.r02.tokyjp05.jp.bb.gin.ntt.net,129.250.5.149,109,9
Wed,15:45:57,japan,congo_DR,*,*,*,10
Wed,15:45:57,japan,congo_DR,ae-4.r23.snjsca04.us.bb.gin.ntt.net,129.250.5.78,110,11
Wed,15:45:57,japan,congo_DR,ae-2.r00.lsanca07.us.bb.gin.ntt.net,129.250.3.238,111,12
Wed,15:45:57,japan,congo_DR,ae-1.a01.lsanca07.us.bb.gin.ntt.net,129.250.2.160,112,13
Wed,15:45:57,japan,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,141,14
Wed,15:45:57,japan,congo_DR,162-144-240-161.unifiedlayer.com,162.144.240.161,140,15
Wed,15:45:57,japan,congo_DR,just57.justhost.com,173.254.28.57,140,16
Wed,15:53:34,japan,congo_DR,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,14,1
Wed,15:53:34,japan,congo_DR,100.64.1.12,100.64.1.12,16,2
Wed,15:53:34,japan,congo_DR,100.64.2.135,100.64.2.135,19,3
Wed,15:53:34,japan,congo_DR,100.64.17.67,100.64.17.67,0,4
Wed,15:53:34,japan,congo_DR,52.95.30.207,52.95.30.207,2,5
Wed,15:53:34,japan,congo_DR,52.95.30.131,52.95.30.131,3,6
Wed,15:53:34,japan,congo_DR,52.95.30.154,52.95.30.154,1,7
Wed,15:53:34,japan,congo_DR,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Wed,15:53:34,japan,congo_DR,*,*,*,9
Wed,15:53:34,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,113,10
Wed,15:53:34,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,112,11
Wed,15:53:34,japan,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,121,12
Wed,15:53:34,japan,congo_DR,ae-0.a01.lsanca07.us.bb.gin.ntt.net,129.250.2.16,112,13
Wed,15:53:34,japan,congo_DR,162-144-240-145.unifiedlayer.com,162.144.240.145,140,14
Wed,15:53:34,japan,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,140,15
Wed,15:53:34,japan,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,129,16
Wed,16:01:12,japan,congo_DR,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,14,1
Wed,16:01:12,japan,congo_DR,100.64.2.78,100.64.2.78,15,2
Wed,16:01:12,japan,congo_DR,100.64.0.199,100.64.0.199,17,3
Wed,16:01:12,japan,congo_DR,100.64.17.55,100.64.17.55,1,4
Wed,16:01:12,japan,congo_DR,52.95.30.219,52.95.30.219,2,5
Wed,16:01:12,japan,congo_DR,52.95.30.131,52.95.30.131,10,6
Wed,16:01:12,japan,congo_DR,52.95.30.170,52.95.30.170,1,7
Wed,16:01:12,japan,congo_DR,203.105.73.45,203.105.73.45,1,8
Wed,16:01:12,japan,congo_DR,ae-15.r03.tokyjp05.jp.bb.gin.ntt.net,129.250.5.151,109,9
Wed,16:01:12,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,112,10
Wed,16:01:12,japan,congo_DR,ae-2.r01.lsanca07.us.bb.gin.ntt.net,129.250.4.107,112,11
Wed,16:01:12,japan,congo_DR,ae-2.r00.lsanca07.us.bb.gin.ntt.net,129.250.3.238,111,12
