Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:31:04,japan,uganda,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,951,1
Wed,15:31:04,japan,uganda,100.64.0.140,100.64.0.140,22,2
Wed,15:31:04,japan,uganda,100.64.3.197,100.64.3.197,54,3
Wed,15:31:04,japan,uganda,100.64.17.163,100.64.17.163,1,4
Wed,15:31:04,japan,uganda,52.95.30.211,52.95.30.211,2,5
Wed,15:31:04,japan,uganda,52.95.30.133,52.95.30.133,12,6
Wed,15:31:04,japan,uganda,52.95.30.174,52.95.30.174,1,7
Wed,15:31:04,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,4,8
Wed,15:31:04,japan,uganda,*,*,*,9
Wed,15:31:04,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,50,10
Wed,15:31:04,japan,uganda,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,56,11
Wed,15:31:04,japan,uganda,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,51,12
Wed,15:31:04,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,49,13
Wed,15:31:04,japan,uganda,*,*,*,14
Wed,15:31:04,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,219,15
Wed,15:31:04,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.72,224,16
Wed,15:31:04,japan,uganda,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,215,17
Wed,15:31:04,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,224,18
Wed,15:31:04,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,223,19
Wed,15:31:04,japan,uganda,216.6.90.70,216.6.90.70,293,20
Wed,15:31:04,japan,uganda,125.62.187.189,125.62.187.189,295,21
Wed,15:31:04,japan,uganda,61.246.168.114,61.246.168.114,558,22
Wed,15:31:04,japan,uganda,41.84.192.17,41.84.192.17,555,23
