Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:01:37,japan,algeria,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,19,1
Wed,16:01:37,japan,algeria,100.64.0.78,100.64.0.78,12,2
Wed,16:01:37,japan,algeria,100.64.1.133,100.64.1.133,12,3
Wed,16:01:37,japan,algeria,100.64.16.71,100.64.16.71,1,4
Wed,16:01:37,japan,algeria,52.95.30.209,52.95.30.209,3,5
Wed,16:01:37,japan,algeria,52.95.31.123,52.95.31.123,5,6
Wed,16:01:37,japan,algeria,52.95.31.12,52.95.31.12,3,7
Wed,16:01:37,japan,algeria,54.239.52.156,54.239.52.156,5,8
Wed,16:01:37,japan,algeria,52.95.30.17,52.95.30.17,7,9
Wed,16:01:37,japan,algeria,52.95.30.182,52.95.30.182,5,10
Wed,16:01:37,japan,algeria,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,7,11
Wed,16:01:37,japan,algeria,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,4,12
Wed,16:01:37,japan,algeria,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,54,13
Wed,16:01:37,japan,algeria,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,54,14
Wed,16:01:37,japan,algeria,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,54,15
Wed,16:01:37,japan,algeria,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,53,16
Wed,16:01:37,japan,algeria,if-et-17-2.hcore1.KV8-Chiba.as6453.net,116.0.67.62,174,17
Wed,16:01:37,japan,algeria,*,*,*,18
Wed,16:01:37,japan,algeria,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,299,19
Wed,16:01:37,japan,algeria,*,*,*,20
Wed,16:01:37,japan,algeria,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,291,21
Wed,16:01:37,japan,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,298,22
Wed,16:01:37,japan,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,296,23
Wed,16:01:37,japan,algeria,195.219.83.30,195.219.83.30,266,24
Wed,16:01:37,japan,algeria,*,*,*,25
Wed,16:01:37,japan,algeria,*,*,*,26
Wed,16:01:37,japan,algeria,*,*,*,27
Wed,16:01:37,japan,algeria,*,*,*,28
Wed,16:01:37,japan,algeria,*,*,*,29
Wed,16:01:37,japan,algeria,*,*,*,30
Wed,16:11:08,japan,algeria,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,17,1
Wed,16:11:08,japan,algeria,100.64.2.200,100.64.2.200,15,2
Wed,16:11:08,japan,algeria,100.64.1.195,100.64.1.195,20,3
Wed,16:11:08,japan,algeria,100.64.17.229,100.64.17.229,1,4
Wed,16:11:08,japan,algeria,52.95.30.209,52.95.30.209,3,5
Wed,16:11:08,japan,algeria,52.95.31.121,52.95.31.121,9,6
Wed,16:11:08,japan,algeria,52.95.31.38,52.95.31.38,3,7
Wed,16:11:08,japan,algeria,54.239.52.110,54.239.52.110,5,8
