Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:02:02,japan,angola,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,626,1
Wed,16:02:02,japan,angola,100.64.2.78,100.64.2.78,16,2
Wed,16:02:02,japan,angola,100.64.0.3,100.64.0.3,16,3
Wed,16:02:02,japan,angola,100.64.16.199,100.64.16.199,2,4
Wed,16:02:02,japan,angola,52.95.30.213,52.95.30.213,3,5
Wed,16:02:02,japan,angola,52.95.31.131,52.95.31.131,12,6
Wed,16:02:02,japan,angola,52.95.31.30,52.95.31.30,2,7
Wed,16:02:02,japan,angola,54.239.52.140,54.239.52.140,11,8
Wed,16:02:02,japan,angola,54.239.53.13,54.239.53.13,10,9
Wed,16:02:02,japan,angola,54.239.53.72,54.239.53.72,9,10
Wed,16:02:02,japan,angola,63-222-51-13.static.pccwglobal.net,63.222.51.13,9,11
Wed,16:02:02,japan,angola,ge0-0-1-6.br01.jnb01.pccwbtn.net,63.218.150.106,425,12
Wed,16:02:02,japan,angola,angolacables.ixp.joburg,196.60.8.60,411,13
Wed,16:02:02,japan,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,413,14
Wed,16:02:02,japan,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,412,15
Wed,16:02:02,japan,angola,197.149.148.237,197.149.148.237,413,16
Wed,16:02:02,japan,angola,41.222.238.25,41.222.238.25,408,17
Wed,16:02:02,japan,angola,41.222.238.7,41.222.238.7,407,18
Wed,16:02:02,japan,angola,*,*,*,19
Wed,16:02:02,japan,angola,*,*,*,20
Wed,16:02:02,japan,angola,*,*,*,21
Wed,16:02:02,japan,angola,*,*,*,22
Wed,16:02:02,japan,angola,*,*,*,23
Wed,16:02:02,japan,angola,*,*,*,24
Wed,16:02:02,japan,angola,*,*,*,25
Wed,16:02:02,japan,angola,*,*,*,26
Wed,16:02:02,japan,angola,*,*,*,27
Wed,16:02:02,japan,angola,*,*,*,28
Wed,16:02:02,japan,angola,*,*,*,29
Wed,16:02:02,japan,angola,*,*,*,30
Wed,16:11:27,japan,angola,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,20,1
Wed,16:11:27,japan,angola,100.64.0.8,100.64.0.8,17,2
Wed,16:11:27,japan,angola,100.64.0.199,100.64.0.199,22,3
Wed,16:11:27,japan,angola,100.64.16.49,100.64.16.49,0,4
Wed,16:11:27,japan,angola,52.95.30.213,52.95.30.213,4,5
Wed,16:11:27,japan,angola,52.95.31.133,52.95.31.133,9,6
Wed,16:11:27,japan,angola,52.95.31.12,52.95.31.12,2,7
Wed,16:11:27,japan,angola,27.0.0.248,27.0.0.248,9,8
Wed,16:11:27,japan,angola,54.239.53.23,54.239.53.23,18,9
Wed,16:11:27,japan,angola,54.239.53.78,54.239.53.78,9,10
Wed,16:11:27,japan,angola,63-222-51-13.static.pccwglobal.net,63.222.51.13,9,11
Wed,16:11:27,japan,angola,ge0-0-1-6.br01.jnb01.pccwbtn.net,63.218.150.106,421,12
Wed,16:11:27,japan,angola,angolacables.ixp.joburg,196.60.8.60,411,13
Wed,16:11:27,japan,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,414,14
Wed,16:11:27,japan,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,417,15
Wed,16:11:27,japan,angola,197.149.148.237,197.149.148.237,423,16
Wed,16:11:27,japan,angola,41.222.238.25,41.222.238.25,408,17
Wed,16:11:27,japan,angola,41.222.238.7,41.222.238.7,411,18
Wed,16:11:27,japan,angola,*,*,*,19
Wed,16:11:27,japan,angola,*,*,*,20
Wed,16:11:27,japan,angola,*,*,*,21
Wed,16:11:27,japan,angola,*,*,*,22
Wed,16:11:27,japan,angola,*,*,*,23
Wed,16:11:27,japan,angola,*,*,*,24
Wed,16:11:27,japan,angola,*,*,*,25
Wed,16:11:27,japan,angola,*,*,*,26
Wed,16:11:27,japan,angola,*,*,*,27
Wed,16:11:27,japan,angola,*,*,*,28
Wed,16:11:27,japan,angola,*,*,*,29
Wed,16:11:27,japan,angola,*,*,*,30
Wed,16:19:43,japan,angola,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,17,1
Wed,16:19:43,japan,angola,100.64.1.140,100.64.1.140,15,2
Wed,16:19:43,japan,angola,100.64.1.197,100.64.1.197,22,3
Wed,16:19:43,japan,angola,100.64.16.69,100.64.16.69,0,4
Wed,16:19:43,japan,angola,52.95.30.217,52.95.30.217,3,5
Wed,16:19:43,japan,angola,52.95.31.123,52.95.31.123,8,6
Wed,16:19:43,japan,angola,52.95.31.24,52.95.31.24,2,7
Wed,16:19:43,japan,angola,54.239.52.140,54.239.52.140,11,8
Wed,16:19:43,japan,angola,54.239.53.17,54.239.53.17,16,9
Wed,16:19:43,japan,angola,54.239.53.110,54.239.53.110,9,10
Wed,16:19:43,japan,angola,63-222-51-9.static.pccwglobal.net,63.222.51.9,9,11
Wed,16:19:43,japan,angola,ge0-0-1-6.br01.jnb01.pccwbtn.net,63.218.150.106,420,12
Wed,16:19:43,japan,angola,angolacables.ixp.joburg,196.60.8.60,411,13
Wed,16:19:43,japan,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,413,14
Wed,16:19:43,japan,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,407,15
Wed,16:19:43,japan,angola,197.149.148.237,197.149.148.237,414,16
Wed,16:19:43,japan,angola,41.222.238.25,41.222.238.25,415,17
Wed,16:19:43,japan,angola,41.222.238.7,41.222.238.7,407,18
Wed,16:19:43,japan,angola,*,*,*,19
Wed,16:19:43,japan,angola,*,*,*,20
Wed,16:19:43,japan,angola,*,*,*,21
Wed,16:19:43,japan,angola,*,*,*,22
Wed,16:19:43,japan,angola,*,*,*,23
Wed,16:19:43,japan,angola,*,*,*,24
Wed,16:19:43,japan,angola,*,*,*,25
Wed,16:19:43,japan,angola,*,*,*,26
Wed,16:19:43,japan,angola,*,*,*,27
Wed,16:19:43,japan,angola,*,*,*,28
Wed,16:19:43,japan,angola,*,*,*,29
Wed,16:19:43,japan,angola,*,*,*,30
Wed,16:28:21,japan,angola,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,14,1
Wed,16:28:21,japan,angola,100.64.3.200,100.64.3.200,17,2
Wed,16:28:21,japan,angola,100.64.0.133,100.64.0.133,12,3
Wed,16:28:21,japan,angola,100.64.17.99,100.64.17.99,0,4
Wed,16:28:21,japan,angola,52.95.30.209,52.95.30.209,3,5
Wed,16:28:21,japan,angola,52.95.31.131,52.95.31.131,10,6
Wed,16:28:21,japan,angola,52.95.31.16,52.95.31.16,3,7
Wed,16:28:21,japan,angola,27.0.0.248,27.0.0.248,9,8
Wed,16:28:21,japan,angola,54.239.53.17,54.239.53.17,19,9
Wed,16:28:21,japan,angola,54.239.53.118,54.239.53.118,9,10
Wed,16:28:21,japan,angola,63-222-51-9.static.pccwglobal.net,63.222.51.9,9,11
Wed,16:28:21,japan,angola,ge0-0-1-6.br01.jnb01.pccwbtn.net,63.218.150.106,428,12
Wed,16:28:21,japan,angola,angolacables.ixp.joburg,196.60.8.60,423,13
Wed,16:28:21,japan,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,413,14
Wed,16:28:21,japan,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,417,15
Wed,16:28:21,japan,angola,197.149.148.237,197.149.148.237,414,16
Wed,16:28:21,japan,angola,41.222.238.25,41.222.238.25,418,17
Wed,16:28:21,japan,angola,41.222.238.7,41.222.238.7,417,18
Wed,16:28:21,japan,angola,*,*,*,19
Wed,16:28:21,japan,angola,*,*,*,20
Wed,16:28:21,japan,angola,*,*,*,21
Wed,16:28:21,japan,angola,*,*,*,22
Wed,16:28:21,japan,angola,*,*,*,23
Wed,16:28:21,japan,angola,*,*,*,24
Wed,16:28:21,japan,angola,*,*,*,25
Wed,16:28:21,japan,angola,*,*,*,26
Wed,16:28:21,japan,angola,*,*,*,27
Wed,16:28:21,japan,angola,*,*,*,28
Wed,16:28:21,japan,angola,*,*,*,29
Wed,16:28:21,japan,angola,*,*,*,30
Wed,16:35:59,japan,angola,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,16,1
Wed,16:35:59,japan,angola,100.64.2.76,100.64.2.76,13,2
Wed,16:35:59,japan,angola,100.64.0.129,100.64.0.129,19,3
Wed,16:35:59,japan,angola,100.64.17.195,100.64.17.195,1,4
Wed,16:35:59,japan,angola,52.95.30.213,52.95.30.213,3,5
Wed,16:35:59,japan,angola,52.95.31.127,52.95.31.127,8,6
Wed,16:35:59,japan,angola,52.95.31.22,52.95.31.22,6,7
Wed,16:35:59,japan,angola,27.0.0.248,27.0.0.248,12,8
Wed,16:35:59,japan,angola,54.239.53.17,54.239.53.17,10,9
Wed,16:35:59,japan,angola,54.239.53.78,54.239.53.78,9,10
Wed,16:35:59,japan,angola,63-222-51-9.static.pccwglobal.net,63.222.51.9,9,11
Wed,16:35:59,japan,angola,ge0-0-1-6.br01.jnb01.pccwbtn.net,63.218.150.106,428,12
Wed,16:35:59,japan,angola,angolacables.ixp.joburg,196.60.8.60,452,13
Wed,16:35:59,japan,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,429,14
Wed,16:35:59,japan,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,419,15
Wed,16:35:59,japan,angola,197.149.148.237,197.149.148.237,408,16
Wed,16:35:59,japan,angola,41.222.238.25,41.222.238.25,408,17
Wed,16:35:59,japan,angola,41.222.238.7,41.222.238.7,418,18
Wed,16:35:59,japan,angola,*,*,*,19
Wed,16:35:59,japan,angola,*,*,*,20
Wed,16:35:59,japan,angola,*,*,*,21
Wed,16:35:59,japan,angola,*,*,*,22
Wed,16:35:59,japan,angola,*,*,*,23
Wed,16:35:59,japan,angola,*,*,*,24
Wed,16:35:59,japan,angola,*,*,*,25
Wed,16:35:59,japan,angola,*,*,*,26
Wed,16:35:59,japan,angola,*,*,*,27
Wed,16:35:59,japan,angola,*,*,*,28
Wed,16:35:59,japan,angola,*,*,*,29
Wed,16:35:59,japan,angola,*,*,*,30
Wed,16:43:43,japan,angola,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,19,1
Wed,16:43:43,japan,angola,100.64.0.206,100.64.0.206,10,2
Wed,16:43:43,japan,angola,100.64.0.197,100.64.0.197,14,3
Wed,16:43:43,japan,angola,100.64.17.177,100.64.17.177,1,4
Wed,16:43:43,japan,angola,52.95.30.217,52.95.30.217,3,5
Wed,16:43:43,japan,angola,52.95.31.133,52.95.31.133,8,6
Wed,16:43:43,japan,angola,52.95.31.30,52.95.31.30,2,7
Wed,16:43:43,japan,angola,27.0.0.248,27.0.0.248,11,8
Wed,16:43:43,japan,angola,54.239.53.17,54.239.53.17,15,9
Wed,16:43:43,japan,angola,54.239.53.116,54.239.53.116,9,10
Wed,16:43:43,japan,angola,63-222-51-9.static.pccwglobal.net,63.222.51.9,9,11
Wed,16:43:43,japan,angola,ge0-0-1-6.br01.jnb01.pccwbtn.net,63.218.150.106,419,12
Wed,16:43:43,japan,angola,angolacables.ixp.joburg,196.60.8.60,418,13
Wed,16:43:43,japan,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,409,14
Wed,16:43:43,japan,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,407,15
Wed,16:43:43,japan,angola,197.149.148.237,197.149.148.237,408,16
Wed,16:43:43,japan,angola,41.222.238.25,41.222.238.25,415,17
