Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:03:20,japan,ghana,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,76,1
Wed,16:03:20,japan,ghana,100.64.2.142,100.64.2.142,13,2
Wed,16:03:20,japan,ghana,100.64.3.133,100.64.3.133,16,3
Wed,16:03:20,japan,ghana,100.64.17.133,100.64.17.133,0,4
Wed,16:03:20,japan,ghana,52.95.30.213,52.95.30.213,3,5
Wed,16:03:20,japan,ghana,52.95.31.125,52.95.31.125,10,6
Wed,16:03:20,japan,ghana,52.95.31.34,52.95.31.34,5,7
Wed,16:03:20,japan,ghana,54.239.52.112,54.239.52.112,4,8
Wed,16:03:20,japan,ghana,52.95.30.13,52.95.30.13,4,9
Wed,16:03:20,japan,ghana,52.95.30.172,52.95.30.172,5,10
Wed,16:03:20,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,5,11
Wed,16:03:20,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,4,12
Wed,16:03:20,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,54,13
Wed,16:03:20,japan,ghana,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,54,14
Wed,16:03:20,japan,ghana,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,54,15
Wed,16:03:20,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,53,16
Wed,16:03:20,japan,ghana,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,61,17
Wed,16:03:20,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,291,18
Wed,16:03:20,japan,ghana,if-ae-38-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.74,299,19
Wed,16:03:20,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,285,20
Wed,16:03:20,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,304,21
Wed,16:03:20,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,299,22
Wed,16:03:20,japan,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,292,23
Wed,16:03:20,japan,ghana,195.219.195.42,195.219.195.42,570,24
Wed,16:03:20,japan,ghana,*,*,*,25
Wed,16:03:20,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,576,26
Wed,16:03:20,japan,ghana,197.255.127.2,197.255.127.2,563,27
Wed,16:03:20,japan,ghana,197.255.127.35,197.255.127.35,589,28
Wed,16:03:20,japan,ghana,197.255.125.213,197.255.125.213,571,29
Wed,16:12:39,japan,ghana,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,12,1
Wed,16:12:39,japan,ghana,100.64.0.14,100.64.0.14,18,2
Wed,16:12:39,japan,ghana,100.64.2.129,100.64.2.129,14,3
Wed,16:12:39,japan,ghana,100.64.17.171,100.64.17.171,1,4
Wed,16:12:39,japan,ghana,52.95.30.221,52.95.30.221,3,5
Wed,16:12:39,japan,ghana,52.95.31.129,52.95.31.129,7,6
Wed,16:12:39,japan,ghana,52.95.31.26,52.95.31.26,2,7
Wed,16:12:39,japan,ghana,54.239.52.160,54.239.52.160,6,8
Wed,16:12:39,japan,ghana,52.95.30.15,52.95.30.15,9,9
Wed,16:12:39,japan,ghana,52.95.30.180,52.95.30.180,5,10
Wed,16:12:39,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,4,11
Wed,16:12:39,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,5,12
Wed,16:12:39,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,66,13
Wed,16:12:39,japan,ghana,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,54,14
Wed,16:12:39,japan,ghana,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,62,15
Wed,16:12:39,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,56,16
Wed,16:12:39,japan,ghana,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,75,17
Wed,16:12:39,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,291,18
Wed,16:12:39,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,306,19
Wed,16:12:39,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,283,20
Wed,16:12:39,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,292,21
Wed,16:12:39,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,302,22
Wed,16:12:39,japan,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,283,23
Wed,16:12:39,japan,ghana,195.219.195.42,195.219.195.42,534,24
Wed,16:12:39,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,539,25
Wed,16:12:39,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,544,26
Wed,16:12:39,japan,ghana,197.255.127.2,197.255.127.2,524,27
Wed,16:12:39,japan,ghana,197.255.127.35,197.255.127.35,541,28
Wed,16:12:39,japan,ghana,197.255.125.213,197.255.125.213,552,29
Wed,16:20:34,japan,ghana,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,20,1
Wed,16:20:34,japan,ghana,100.64.2.74,100.64.2.74,18,2
Wed,16:20:34,japan,ghana,100.64.2.67,100.64.2.67,11,3
Wed,16:20:34,japan,ghana,100.64.16.23,100.64.16.23,0,4
Wed,16:20:34,japan,ghana,52.95.30.217,52.95.30.217,3,5
Wed,16:20:34,japan,ghana,52.95.31.131,52.95.31.131,3,6
Wed,16:20:34,japan,ghana,52.95.31.20,52.95.31.20,2,7
Wed,16:20:34,japan,ghana,54.239.52.112,54.239.52.112,7,8
Wed,16:20:34,japan,ghana,52.95.30.33,52.95.30.33,9,9
Wed,16:20:34,japan,ghana,52.95.30.168,52.95.30.168,5,10
