Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:05:30,japan,uganda,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,16,1
Wed,16:05:30,japan,uganda,100.64.2.74,100.64.2.74,7,2
Wed,16:05:30,japan,uganda,100.64.2.7,100.64.2.7,20,3
Wed,16:05:30,japan,uganda,100.64.17.163,100.64.17.163,0,4
Wed,16:05:30,japan,uganda,52.95.30.221,52.95.30.221,3,5
Wed,16:05:30,japan,uganda,52.95.31.125,52.95.31.125,7,6
Wed,16:05:30,japan,uganda,52.95.31.28,52.95.31.28,3,7
Wed,16:05:30,japan,uganda,54.239.52.160,54.239.52.160,5,8
Wed,16:05:30,japan,uganda,52.95.30.11,52.95.30.11,8,9
Wed,16:05:30,japan,uganda,52.95.30.176,52.95.30.176,5,10
Wed,16:05:30,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,4,11
Wed,16:05:30,japan,uganda,*,*,*,12
Wed,16:05:30,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,55,13
Wed,16:05:30,japan,uganda,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,55,14
Wed,16:05:30,japan,uganda,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,54,15
Wed,16:05:30,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,54,16
Wed,16:05:30,japan,uganda,if-et-17-2.hcore1.KV8-Chiba.as6453.net,116.0.67.62,59,17
Wed,16:05:30,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,227,18
Wed,16:05:30,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.12,226,19
Wed,16:05:30,japan,uganda,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,222,20
Wed,16:05:30,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,219,21
Wed,16:05:30,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,217,22
Wed,16:05:30,japan,uganda,216.6.90.70,216.6.90.70,304,23
Wed,16:05:30,japan,uganda,182.79.245.77,182.79.245.77,310,24
Wed,16:05:30,japan,uganda,61.246.168.114,61.246.168.114,574,25
Wed,16:05:30,japan,uganda,41.84.192.17,41.84.192.17,577,26
Wed,16:05:30,japan,uganda,41.84.196.194,41.84.196.194,581,27
Wed,16:05:30,japan,uganda,196.0.1.13,196.0.1.13,539,28
Wed,16:05:30,japan,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,547,29
Wed,16:05:30,japan,uganda,webhost2.utlonline.co.ug,196.0.3.3,536,30
Wed,16:14:12,japan,uganda,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,670,1
Wed,16:14:12,japan,uganda,100.64.3.140,100.64.3.140,14,2
Wed,16:14:12,japan,uganda,100.64.1.135,100.64.1.135,15,3
Wed,16:14:12,japan,uganda,100.64.16.55,100.64.16.55,0,4
Wed,16:14:12,japan,uganda,52.95.30.221,52.95.30.221,4,5
Wed,16:14:12,japan,uganda,52.95.31.121,52.95.31.121,10,6
Wed,16:14:12,japan,uganda,52.95.31.30,52.95.31.30,2,7
Wed,16:14:12,japan,uganda,54.239.52.110,54.239.52.110,5,8
Wed,16:14:12,japan,uganda,52.95.30.15,52.95.30.15,15,9
Wed,16:14:12,japan,uganda,52.95.30.182,52.95.30.182,6,10
Wed,16:14:12,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,5,11
Wed,16:14:12,japan,uganda,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,5,12
Wed,16:14:12,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,54,13
Wed,16:14:12,japan,uganda,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,53,14
Wed,16:14:12,japan,uganda,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,62,15
Wed,16:14:12,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,53,16
Wed,16:14:12,japan,uganda,if-et-17-3.hcore1.KV8-Chiba.as6453.net,180.87.112.46,58,17
Wed,16:14:12,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,221,18
Wed,16:14:12,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.12,219,19
Wed,16:14:12,japan,uganda,*,*,*,20
Wed,16:14:12,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,224,21
Wed,16:14:12,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,225,22
Wed,16:14:12,japan,uganda,216.6.90.70,216.6.90.70,325,23
Wed,16:14:12,japan,uganda,125.62.187.189,125.62.187.189,318,24
Wed,16:14:12,japan,uganda,61.246.168.114,61.246.168.114,576,25
Wed,16:14:12,japan,uganda,41.84.192.17,41.84.192.17,598,26
Wed,16:14:12,japan,uganda,41.84.196.194,41.84.196.194,588,27
Wed,16:14:12,japan,uganda,196.0.1.13,196.0.1.13,535,28
Wed,16:14:12,japan,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,549,29
Wed,16:14:12,japan,uganda,webhost2.utlonline.co.ug,196.0.3.3,548,30
Wed,16:22:54,japan,uganda,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,13,1
Wed,16:22:54,japan,uganda,100.64.2.200,100.64.2.200,21,2
Wed,16:22:54,japan,uganda,100.64.1.7,100.64.1.7,20,3
Wed,16:22:54,japan,uganda,100.64.17.19,100.64.17.19,0,4
Wed,16:22:54,japan,uganda,52.95.30.221,52.95.30.221,3,5
Wed,16:22:54,japan,uganda,52.95.31.121,52.95.31.121,8,6
Wed,16:22:54,japan,uganda,52.95.31.28,52.95.31.28,2,7
Wed,16:22:54,japan,uganda,54.239.52.110,54.239.52.110,4,8
Wed,16:22:54,japan,uganda,52.95.30.9,52.95.30.9,7,9
Wed,16:22:54,japan,uganda,52.95.30.172,52.95.30.172,5,10
Wed,16:22:54,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,6,11
Wed,16:22:54,japan,uganda,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,5,12
Wed,16:22:54,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,56,13
Wed,16:22:54,japan,uganda,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,59,14
Wed,16:22:54,japan,uganda,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,56,15
Wed,16:22:54,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,54,16
Wed,16:22:54,japan,uganda,if-et-17-3.hcore1.KV8-Chiba.as6453.net,180.87.112.46,68,17
Wed,16:22:54,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,237,18
Wed,16:22:54,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.12,232,19
Wed,16:22:54,japan,uganda,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,225,20
Wed,16:22:54,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,223,21
Wed,16:22:54,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,223,22
Wed,16:22:54,japan,uganda,216.6.90.70,216.6.90.70,305,23
Wed,16:22:54,japan,uganda,125.62.187.189,125.62.187.189,315,24
Wed,16:22:54,japan,uganda,61.246.168.114,61.246.168.114,573,25
Wed,16:22:54,japan,uganda,41.84.192.17,41.84.192.17,588,26
Wed,16:22:54,japan,uganda,41.84.196.194,41.84.196.194,593,27
Wed,16:22:54,japan,uganda,196.0.1.13,196.0.1.13,539,28
Wed,16:22:54,japan,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,544,29
Wed,16:22:54,japan,uganda,webhost2.utlonline.co.ug,196.0.3.3,552,30
Wed,16:30:29,japan,uganda,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,20,1
Wed,16:30:29,japan,uganda,100.64.3.142,100.64.3.142,16,2
Wed,16:30:29,japan,uganda,100.64.1.199,100.64.1.199,19,3
Wed,16:30:29,japan,uganda,100.64.17.179,100.64.17.179,0,4
Wed,16:30:29,japan,uganda,52.95.30.209,52.95.30.209,3,5
Wed,16:30:29,japan,uganda,52.95.31.123,52.95.31.123,8,6
Wed,16:30:29,japan,uganda,52.95.31.28,52.95.31.28,2,7
Wed,16:30:29,japan,uganda,54.239.52.112,54.239.52.112,4,8
Wed,16:30:29,japan,uganda,52.95.30.35,52.95.30.35,6,9
Wed,16:30:29,japan,uganda,52.95.30.172,52.95.30.172,5,10
Wed,16:30:29,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,4,11
Wed,16:30:29,japan,uganda,*,*,*,12
Wed,16:30:29,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,63,13
Wed,16:30:29,japan,uganda,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,56,14
Wed,16:30:29,japan,uganda,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,61,15
Wed,16:30:29,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,59,16
Wed,16:30:29,japan,uganda,if-et-17-3.hcore1.KV8-Chiba.as6453.net,180.87.112.46,57,17
Wed,16:30:29,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,222,18
Wed,16:30:29,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.72,218,19
Wed,16:30:29,japan,uganda,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,228,20
Wed,16:30:29,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,221,21
Wed,16:30:29,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,225,22
Wed,16:30:29,japan,uganda,216.6.90.70,216.6.90.70,308,23
Wed,16:30:29,japan,uganda,182.79.245.77,182.79.245.77,300,24
Wed,16:30:29,japan,uganda,61.246.168.114,61.246.168.114,580,25
Wed,16:30:29,japan,uganda,41.84.192.17,41.84.192.17,589,26
Wed,16:30:29,japan,uganda,41.84.196.194,41.84.196.194,590,27
