Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,20:02:13,oregon,congo_DR,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,15,1
Fri,20:02:13,oregon,congo_DR,100.66.8.168,100.66.8.168,15,2
Fri,20:02:13,oregon,congo_DR,100.66.10.192,100.66.10.192,20,3
Fri,20:02:13,oregon,congo_DR,100.66.6.37,100.66.6.37,12,4
Fri,20:02:13,oregon,congo_DR,100.66.4.9,100.66.4.9,13,5
Fri,20:02:13,oregon,congo_DR,100.65.9.97,100.65.9.97,0,6
Fri,20:02:13,oregon,congo_DR,52.93.13.72,52.93.13.72,1,7
Fri,20:02:13,oregon,congo_DR,52.93.13.18,52.93.13.18,3,8
Fri,20:02:13,oregon,congo_DR,52.93.13.9,52.93.13.9,1,9
Fri,20:02:13,oregon,congo_DR,54.239.43.131,54.239.43.131,8,10
Fri,20:02:13,oregon,congo_DR,54.239.42.234,54.239.42.234,8,11
Fri,20:02:13,oregon,congo_DR,52.95.52.255,52.95.52.255,7,12
Fri,20:02:13,oregon,congo_DR,52.95.52.51,52.95.52.51,8,13
Fri,20:02:13,oregon,congo_DR,52.95.216.109,52.95.216.109,7,14
Fri,20:02:13,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,32,15
Fri,20:02:13,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,33,16
Fri,20:02:13,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,32,17
Fri,20:02:13,oregon,congo_DR,216.51.74.158,216.51.74.158,33,18
Fri,20:02:13,oregon,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,32,19
Fri,20:02:13,oregon,congo_DR,just57.justhost.com,173.254.28.57,32,20
Fri,20:08:30,oregon,congo_DR,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,21,1
Fri,20:08:30,oregon,congo_DR,100.66.8.8,100.66.8.8,21,2
Fri,20:08:30,oregon,congo_DR,100.66.10.42,100.66.10.42,19,3
Fri,20:08:30,oregon,congo_DR,100.66.6.15,100.66.6.15,17,4
Fri,20:08:30,oregon,congo_DR,100.66.4.225,100.66.4.225,17,5
Fri,20:08:30,oregon,congo_DR,100.65.9.161,100.65.9.161,0,6
Fri,20:08:30,oregon,congo_DR,52.93.15.218,52.93.15.218,1,7
Fri,20:08:30,oregon,congo_DR,52.93.12.244,52.93.12.244,35,8
