Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,20:02:33,oregon,japan,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,21,1
Fri,20:02:33,oregon,japan,100.66.8.220,100.66.8.220,14,2
Fri,20:02:33,oregon,japan,100.66.11.238,100.66.11.238,20,3
Fri,20:02:33,oregon,japan,100.66.7.165,100.66.7.165,16,4
Fri,20:02:33,oregon,japan,100.66.4.189,100.66.4.189,16,5
Fri,20:02:33,oregon,japan,100.65.8.225,100.65.8.225,0,6
Fri,20:02:33,oregon,japan,52.93.13.74,52.93.13.74,96,7
Fri,20:02:33,oregon,japan,52.93.12.166,52.93.12.166,99,8
Fri,20:02:33,oregon,japan,52.93.12.51,52.93.12.51,96,9
Fri,20:02:33,oregon,japan,54.239.43.133,54.239.43.133,106,10
Fri,20:02:33,oregon,japan,54.239.41.160,54.239.41.160,97,11
Fri,20:02:33,oregon,japan,54.239.53.11,54.239.53.11,104,12
Fri,20:02:33,oregon,japan,54.239.53.108,54.239.53.108,96,13
Fri,20:02:33,oregon,japan,54.239.53.93,54.239.53.93,112,14
Fri,20:02:33,oregon,japan,54.239.53.28,54.239.53.28,104,15
Fri,20:02:33,oregon,japan,27.0.0.249,27.0.0.249,104,16
Fri,20:02:33,oregon,japan,52.95.30.37,52.95.30.37,113,17
Fri,20:02:33,oregon,japan,52.95.31.124,52.95.31.124,105,18
Fri,20:02:33,oregon,japan,52.95.30.214,52.95.30.214,104,19
Fri,20:02:33,oregon,japan,100.64.16.194,100.64.16.194,123,20
Fri,20:02:33,oregon,japan,100.64.0.132,100.64.0.132,122,21
Fri,20:02:33,oregon,japan,100.64.2.11,100.64.2.11,120,22
Fri,20:02:33,oregon,japan,ec2-13-112-67-36.ap-northeast-1.compute.amazonaws.com,13.112.67.36,105,23
Fri,20:08:50,oregon,japan,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,15,1
Fri,20:08:50,oregon,japan,100.66.8.196,100.66.8.196,19,2
Fri,20:08:50,oregon,japan,100.66.10.72,100.66.10.72,50,3
Fri,20:08:50,oregon,japan,100.66.7.207,100.66.7.207,14,4
Fri,20:08:50,oregon,japan,100.66.4.217,100.66.4.217,19,5
Fri,20:08:50,oregon,japan,100.65.9.1,100.65.9.1,0,6
Fri,20:08:50,oregon,japan,54.239.48.178,54.239.48.178,96,7
Fri,20:08:50,oregon,japan,52.93.13.18,52.93.13.18,97,8
Fri,20:08:50,oregon,japan,52.93.12.231,52.93.12.231,96,9
Fri,20:08:50,oregon,japan,54.239.43.133,54.239.43.133,96,10
Fri,20:08:50,oregon,japan,54.239.41.160,54.239.41.160,96,11
Fri,20:08:50,oregon,japan,54.239.53.19,54.239.53.19,97,12
Fri,20:08:50,oregon,japan,54.239.53.80,54.239.53.80,96,13
Fri,20:08:50,oregon,japan,54.239.53.109,54.239.53.109,111,14
Fri,20:08:50,oregon,japan,54.239.53.8,54.239.53.8,104,15
Fri,20:08:50,oregon,japan,54.239.52.141,54.239.52.141,107,16
Fri,20:08:50,oregon,japan,52.95.30.35,52.95.30.35,110,17
Fri,20:08:50,oregon,japan,52.95.31.124,52.95.31.124,104,18
Fri,20:08:50,oregon,japan,52.95.30.216,52.95.30.216,104,19
Fri,20:08:50,oregon,japan,100.64.16.150,100.64.16.150,116,20
Fri,20:08:50,oregon,japan,100.64.1.128,100.64.1.128,122,21
Fri,20:08:50,oregon,japan,100.64.2.11,100.64.2.11,117,22
Fri,20:08:50,oregon,japan,ec2-13-112-67-36.ap-northeast-1.compute.amazonaws.com,13.112.67.36,104,23
Fri,20:14:46,oregon,japan,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,19,1
Fri,20:14:46,oregon,japan,100.66.8.146,100.66.8.146,15,2
Fri,20:14:46,oregon,japan,100.66.10.2,100.66.10.2,13,3
Fri,20:14:46,oregon,japan,100.66.6.237,100.66.6.237,15,4
Fri,20:14:46,oregon,japan,100.66.4.215,100.66.4.215,20,5
Fri,20:14:46,oregon,japan,100.65.10.161,100.65.10.161,0,6
Fri,20:14:46,oregon,japan,52.93.15.220,52.93.15.220,97,7
Fri,20:14:46,oregon,japan,52.93.12.94,52.93.12.94,102,8
Fri,20:14:46,oregon,japan,52.93.12.159,52.93.12.159,96,9
Fri,20:14:46,oregon,japan,54.239.43.133,54.239.43.133,96,10
Fri,20:14:46,oregon,japan,54.239.41.160,54.239.41.160,96,11
Fri,20:14:46,oregon,japan,54.239.53.11,54.239.53.11,97,12
Fri,20:14:46,oregon,japan,54.239.53.132,54.239.53.132,96,13
Fri,20:14:46,oregon,japan,54.239.53.79,54.239.53.79,110,14
Fri,20:14:46,oregon,japan,54.239.53.16,54.239.53.16,106,15
Fri,20:14:46,oregon,japan,27.0.0.249,27.0.0.249,105,16
Fri,20:14:46,oregon,japan,52.95.30.21,52.95.30.21,115,17
Fri,20:14:46,oregon,japan,52.95.30.126,52.95.30.126,105,18
Fri,20:14:46,oregon,japan,52.95.30.212,52.95.30.212,105,19
Fri,20:14:46,oregon,japan,100.64.16.4,100.64.16.4,125,20
Fri,20:14:46,oregon,japan,100.64.2.130,100.64.2.130,123,21
Fri,20:14:46,oregon,japan,100.64.1.141,100.64.1.141,116,22
Fri,20:14:46,oregon,japan,ec2-13-112-67-36.ap-northeast-1.compute.amazonaws.com,13.112.67.36,104,23
Fri,20:20:53,oregon,japan,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,14,1
Fri,20:20:53,oregon,japan,100.66.8.0,100.66.8.0,13,2
Fri,20:20:53,oregon,japan,100.66.11.142,100.66.11.142,14,3
Fri,20:20:53,oregon,japan,100.66.7.79,100.66.7.79,18,4
Fri,20:20:53,oregon,japan,100.66.4.57,100.66.4.57,18,5
Fri,20:20:53,oregon,japan,100.65.9.97,100.65.9.97,0,6
Fri,20:20:53,oregon,japan,52.93.13.74,52.93.13.74,96,7
Fri,20:20:53,oregon,japan,52.93.12.64,52.93.12.64,104,8
Fri,20:20:53,oregon,japan,52.93.12.51,52.93.12.51,96,9
Fri,20:20:53,oregon,japan,54.239.43.133,54.239.43.133,96,10
Fri,20:20:53,oregon,japan,54.239.41.160,54.239.41.160,97,11
Fri,20:20:53,oregon,japan,54.239.53.15,54.239.53.15,105,12
Fri,20:20:53,oregon,japan,54.239.53.86,54.239.53.86,96,13
Fri,20:20:53,oregon,japan,54.239.53.133,54.239.53.133,106,14
Fri,20:20:53,oregon,japan,54.239.53.22,54.239.53.22,105,15
Fri,20:20:53,oregon,japan,27.0.0.249,27.0.0.249,106,16
Fri,20:20:53,oregon,japan,52.95.31.19,52.95.31.19,115,17
Fri,20:20:53,oregon,japan,52.95.31.126,52.95.31.126,104,18
Fri,20:20:53,oregon,japan,52.95.30.220,52.95.30.220,104,19
Fri,20:20:53,oregon,japan,100.64.17.2,100.64.17.2,123,20
Fri,20:20:53,oregon,japan,100.64.2.132,100.64.2.132,118,21
Fri,20:20:53,oregon,japan,100.64.0.9,100.64.0.9,121,22
Fri,20:20:53,oregon,japan,ec2-13-112-67-36.ap-northeast-1.compute.amazonaws.com,13.112.67.36,105,23
Fri,20:27:01,oregon,japan,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,11,1
Fri,20:27:01,oregon,japan,100.66.8.162,100.66.8.162,16,2
Fri,20:27:01,oregon,japan,100.66.10.130,100.66.10.130,16,3
Fri,20:27:01,oregon,japan,100.66.7.3,100.66.7.3,53,4
Fri,20:27:01,oregon,japan,100.66.4.215,100.66.4.215,24,5
Fri,20:27:01,oregon,japan,100.65.9.129,100.65.9.129,4,6
Fri,20:27:01,oregon,japan,205.251.232.254,205.251.232.254,98,7
Fri,20:27:01,oregon,japan,52.93.12.208,52.93.12.208,127,8
Fri,20:27:01,oregon,japan,52.93.12.87,52.93.12.87,98,9
Fri,20:27:01,oregon,japan,54.239.43.133,54.239.43.133,96,10
Fri,20:27:01,oregon,japan,54.239.41.160,54.239.41.160,100,11
Fri,20:27:01,oregon,japan,54.239.53.17,54.239.53.17,102,12
Fri,20:27:01,oregon,japan,54.239.53.124,54.239.53.124,96,13
Fri,20:27:01,oregon,japan,54.239.53.105,54.239.53.105,115,14
Fri,20:27:01,oregon,japan,54.239.53.20,54.239.53.20,107,15
Fri,20:27:01,oregon,japan,54.239.52.149,54.239.52.149,105,16
Fri,20:27:01,oregon,japan,52.95.31.37,52.95.31.37,106,17
Fri,20:27:01,oregon,japan,52.95.31.132,52.95.31.132,105,18
Fri,20:27:01,oregon,japan,52.95.30.210,52.95.30.210,105,19
Fri,20:27:01,oregon,japan,100.64.16.8,100.64.16.8,119,20
Fri,20:27:01,oregon,japan,100.64.1.194,100.64.1.194,120,21
Fri,20:27:01,oregon,japan,100.64.1.137,100.64.1.137,112,22
Fri,20:27:01,oregon,japan,ec2-13-112-67-36.ap-northeast-1.compute.amazonaws.com,13.112.67.36,104,23
Fri,20:32:52,oregon,japan,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,12,1
Fri,20:32:52,oregon,japan,100.66.8.156,100.66.8.156,14,2
Fri,20:32:52,oregon,japan,100.66.10.0,100.66.10.0,43,3
Fri,20:32:52,oregon,japan,100.66.6.97,100.66.6.97,16,4
Fri,20:32:52,oregon,japan,100.66.4.59,100.66.4.59,21,5
