Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,20:02:43,oregon,uganda,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,12,1
Fri,20:02:43,oregon,uganda,100.66.8.74,100.66.8.74,9,2
Fri,20:02:43,oregon,uganda,100.66.10.6,100.66.10.6,23,3
Fri,20:02:43,oregon,uganda,100.66.6.111,100.66.6.111,14,4
Fri,20:02:43,oregon,uganda,100.66.4.253,100.66.4.253,20,5
Fri,20:02:43,oregon,uganda,100.65.10.193,100.65.10.193,0,6
Fri,20:02:43,oregon,uganda,52.93.15.222,52.93.15.222,1,7
Fri,20:02:43,oregon,uganda,52.93.12.136,52.93.12.136,7,8
Fri,20:02:43,oregon,uganda,52.93.13.11,52.93.13.11,1,9
Fri,20:02:43,oregon,uganda,54.239.42.195,54.239.42.195,8,10
Fri,20:02:43,oregon,uganda,54.239.42.218,54.239.42.218,8,11
Fri,20:02:43,oregon,uganda,52.95.52.192,52.95.52.192,11,12
Fri,20:02:43,oregon,uganda,52.95.52.251,52.95.52.251,8,13
Fri,20:02:43,oregon,uganda,sea-b1-link.telia.net,62.115.47.197,8,14
Fri,20:02:43,oregon,uganda,sea-b2-link.telia.net,62.115.115.3,8,15
Fri,20:02:43,oregon,uganda,nyk-bb3-link.telia.net,62.115.124.240,71,16
Fri,20:02:43,oregon,uganda,ldn-bb2-link.telia.net,62.115.135.109,142,17
Fri,20:02:43,oregon,uganda,ldn-b1-link.telia.net,62.115.115.15,142,18
Fri,20:02:43,oregon,uganda,ldn-b1-link.telia.net,62.115.115.17,143,19
Fri,20:02:43,oregon,uganda,182.79.222.165,182.79.222.165,143,20
Fri,20:02:43,oregon,uganda,182.79.179.154,182.79.179.154,143,21
Fri,20:02:43,oregon,uganda,125.62.187.189,125.62.187.189,143,22
Fri,20:02:43,oregon,uganda,61.246.168.114,61.246.168.114,427,23
Fri,20:02:43,oregon,uganda,41.84.193.82,41.84.193.82,434,24
Fri,20:02:43,oregon,uganda,41.84.196.194,41.84.196.194,434,25
Fri,20:02:43,oregon,uganda,196.0.1.13,196.0.1.13,384,26
Fri,20:02:43,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,383,27
Fri,20:02:43,oregon,uganda,webhost2.utlonline.co.ug,196.0.3.3,365,28
Fri,20:08:51,oregon,uganda,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,21,1
Fri,20:08:51,oregon,uganda,100.66.8.38,100.66.8.38,13,2
Fri,20:08:51,oregon,uganda,100.66.10.110,100.66.10.110,20,3
Fri,20:08:51,oregon,uganda,100.66.7.131,100.66.7.131,15,4
Fri,20:08:51,oregon,uganda,100.66.4.197,100.66.4.197,31,5
Fri,20:08:51,oregon,uganda,100.65.11.33,100.65.11.33,0,6
Fri,20:08:51,oregon,uganda,52.93.15.216,52.93.15.216,1,7
Fri,20:08:51,oregon,uganda,52.93.12.58,52.93.12.58,40,8
Fri,20:08:51,oregon,uganda,52.93.13.51,52.93.13.51,1,9
Fri,20:08:51,oregon,uganda,54.239.43.133,54.239.43.133,7,10
Fri,20:08:51,oregon,uganda,54.239.42.216,54.239.42.216,7,11
Fri,20:08:51,oregon,uganda,52.95.52.58,52.95.52.58,14,12
Fri,20:08:51,oregon,uganda,52.95.52.249,52.95.52.249,8,13
Fri,20:08:51,oregon,uganda,sea-b2-link.telia.net,62.115.115.3,7,14
Fri,20:08:51,oregon,uganda,sea-b2-link.telia.net,62.115.115.3,8,15
