Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:34:48,oregon,angola,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,19,1
Thu,17:34:48,oregon,angola,100.66.8.98,100.66.8.98,12,2
Thu,17:34:48,oregon,angola,100.66.11.164,100.66.11.164,11,3
Thu,17:34:48,oregon,angola,100.66.6.35,100.66.6.35,11,4
Thu,17:34:48,oregon,angola,100.66.4.155,100.66.4.155,14,5
Thu,17:34:48,oregon,angola,100.65.10.33,100.65.10.33,0,6
Thu,17:34:48,oregon,angola,52.93.15.218,52.93.15.218,1,7
Thu,17:34:48,oregon,angola,52.93.12.130,52.93.12.130,16,8
Thu,17:34:48,oregon,angola,52.93.12.125,52.93.12.125,1,9
Thu,17:34:48,oregon,angola,54.239.43.119,54.239.43.119,6,10
Thu,17:34:48,oregon,angola,54.239.42.216,54.239.42.216,8,11
Thu,17:34:48,oregon,angola,52.95.52.232,52.95.52.232,18,12
Thu,17:34:48,oregon,angola,52.95.52.181,52.95.52.181,7,13
Thu,17:34:48,oregon,angola,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,10,14
Thu,17:34:48,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Thu,17:34:48,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,182,16
Thu,17:34:48,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,180,17
Thu,17:34:48,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,181,18
Thu,17:34:48,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,173,19
Thu,17:34:48,oregon,angola,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,174,20
Thu,17:34:48,oregon,angola,if-ae-17-2.tcore1.L78-London.as6453.net,80.231.130.129,182,21
Thu,17:34:48,oregon,angola,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,189,22
Thu,17:34:48,oregon,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,184,23
Thu,17:34:48,oregon,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,174,24
Thu,17:34:48,oregon,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,286,25
Thu,17:34:48,oregon,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,285,26
Thu,17:34:48,oregon,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,278,27
Thu,17:34:48,oregon,angola,197.149.148.237,197.149.148.237,272,28
Thu,17:34:48,oregon,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,271,29
Thu,17:34:48,oregon,angola,41.222.238.26,41.222.238.26,287,30
Thu,17:41:26,oregon,angola,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,18,1
Thu,17:41:26,oregon,angola,100.66.8.152,100.66.8.152,22,2
Thu,17:41:26,oregon,angola,100.66.11.136,100.66.11.136,21,3
Thu,17:41:26,oregon,angola,100.66.6.229,100.66.6.229,19,4
Thu,17:41:26,oregon,angola,100.66.4.121,100.66.4.121,19,5
Thu,17:41:26,oregon,angola,100.65.11.1,100.65.11.1,0,6
Thu,17:41:26,oregon,angola,52.93.15.222,52.93.15.222,1,7
Thu,17:41:26,oregon,angola,52.93.12.100,52.93.12.100,3,8
Thu,17:41:26,oregon,angola,52.93.12.121,52.93.12.121,1,9
Thu,17:41:26,oregon,angola,54.239.43.127,54.239.43.127,6,10
Thu,17:41:26,oregon,angola,52.95.52.192,52.95.52.192,12,11
Thu,17:41:26,oregon,angola,52.95.52.198,52.95.52.198,11,12
Thu,17:41:26,oregon,angola,52.95.52.251,52.95.52.251,8,13
Thu,17:41:26,oregon,angola,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,9,14
Thu,17:41:26,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,180,15
Thu,17:41:26,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,181,16
Thu,17:41:26,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,180,17
Thu,17:41:26,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,184,18
Thu,17:41:26,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,184,19
Thu,17:41:26,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,175,20
Thu,17:41:26,oregon,angola,if-ae-17-2.tcore1.L78-London.as6453.net,80.231.130.129,182,21
Thu,17:41:26,oregon,angola,if-ae-17-2.tcore1.L78-London.as6453.net,80.231.130.129,183,22
Thu,17:41:26,oregon,angola,if-ae-11-2.tcore2.SV8-Highbridge.as6453.net,80.231.139.41,173,23
Thu,17:41:26,oregon,angola,if-ae-2-2.tcore1.SV8-Highbridge.as6453.net,80.231.139.2,175,24
Thu,17:41:26,oregon,angola,p2-nc023.ang.lad.as37468.angolacables.ao,185.148.112.17,271,25
Thu,17:41:26,oregon,angola,if-ae-7-2.tcore2.PV9-Lisbon.as6453.net,80.231.159.29,179,26
Thu,17:41:26,oregon,angola,p2-nc023.ang.lad.as37468.angolacables.ao,185.148.112.17,278,27
Thu,17:41:26,oregon,angola,41.222.238.26,41.222.238.26,295,28
Thu,17:41:26,oregon,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,276,29
Thu,17:41:26,oregon,angola,197.149.148.237,197.149.148.237,286,30
Thu,17:48:15,oregon,angola,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,15,1
Thu,17:48:15,oregon,angola,100.66.8.164,100.66.8.164,16,2
Thu,17:48:15,oregon,angola,100.66.10.96,100.66.10.96,22,3
Thu,17:48:15,oregon,angola,100.66.7.3,100.66.7.3,12,4
Thu,17:48:15,oregon,angola,100.66.4.119,100.66.4.119,15,5
Thu,17:48:15,oregon,angola,100.65.10.65,100.65.10.65,0,6
Thu,17:48:15,oregon,angola,52.93.15.222,52.93.15.222,2,7
Thu,17:48:15,oregon,angola,52.93.12.94,52.93.12.94,14,8
Thu,17:48:15,oregon,angola,52.93.12.157,52.93.12.157,1,9
Thu,17:48:15,oregon,angola,54.239.43.127,54.239.43.127,8,10
Thu,17:48:15,oregon,angola,54.239.42.222,54.239.42.222,8,11
Thu,17:48:15,oregon,angola,52.95.52.221,52.95.52.221,7,12
Thu,17:48:15,oregon,angola,52.95.52.17,52.95.52.17,8,13
Thu,17:48:15,oregon,angola,52.95.52.183,52.95.52.183,10,14
Thu,17:48:15,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Thu,17:48:15,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,179,16
Thu,17:48:15,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,182,17
Thu,17:48:15,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,182,18
Thu,17:48:15,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,174,19
Thu,17:48:15,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,175,20
Thu,17:48:15,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,175,21
Thu,17:48:15,oregon,angola,if-ae-11-2.tcore2.SV8-Highbridge.as6453.net,80.231.139.41,178,22
Thu,17:48:15,oregon,angola,if-ae-2-2.tcore2.PV9-Lisbon.as6453.net,80.231.158.6,173,23
Thu,17:48:15,oregon,angola,if-ae-2-2.tcore1.SV8-Highbridge.as6453.net,80.231.139.2,175,24
Thu,17:48:15,oregon,angola,p2-nc023.ang.lad.as37468.angolacables.ao,185.148.112.17,270,25
Thu,17:48:15,oregon,angola,if-ae-2-2.tcore2.PV9-Lisbon.as6453.net,80.231.158.6,174,26
Thu,17:48:15,oregon,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,271,27
Thu,17:48:15,oregon,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,300,28
Thu,17:48:15,oregon,angola,41.222.238.7,41.222.238.7,271,29
Thu,17:48:15,oregon,angola,41.222.238.7,41.222.238.7,272,30
Thu,17:54:58,oregon,angola,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,16,1
Thu,17:54:58,oregon,angola,100.66.8.88,100.66.8.88,17,2
Thu,17:54:58,oregon,angola,100.66.11.68,100.66.11.68,20,3
Thu,17:54:58,oregon,angola,100.66.7.169,100.66.7.169,16,4
Thu,17:54:58,oregon,angola,100.66.4.157,100.66.4.157,22,5
Thu,17:54:58,oregon,angola,100.65.10.33,100.65.10.33,0,6
Thu,17:54:58,oregon,angola,52.93.15.216,52.93.15.216,1,7
Thu,17:54:58,oregon,angola,52.93.12.136,52.93.12.136,4,8
Thu,17:54:58,oregon,angola,52.93.12.189,52.93.12.189,1,9
Thu,17:54:58,oregon,angola,54.239.42.195,54.239.42.195,8,10
Thu,17:54:58,oregon,angola,54.239.42.230,54.239.42.230,9,11
Thu,17:54:58,oregon,angola,52.95.53.140,52.95.53.140,13,12
Thu,17:54:58,oregon,angola,52.95.52.119,52.95.52.119,8,13
Thu,17:54:58,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,14
Thu,17:54:58,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Thu,17:54:58,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,181,16
