Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:35:07,oregon,congo_DR,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,21,1
Thu,17:35:07,oregon,congo_DR,100.66.8.78,100.66.8.78,68,2
Thu,17:35:07,oregon,congo_DR,100.66.10.8,100.66.10.8,18,3
Thu,17:35:07,oregon,congo_DR,100.66.7.107,100.66.7.107,14,4
Thu,17:35:07,oregon,congo_DR,100.66.4.251,100.66.4.251,16,5
Thu,17:35:07,oregon,congo_DR,100.65.10.65,100.65.10.65,0,6
Thu,17:35:07,oregon,congo_DR,54.239.48.176,54.239.48.176,2,7
Thu,17:35:07,oregon,congo_DR,52.93.12.238,52.93.12.238,26,8
Thu,17:35:07,oregon,congo_DR,52.93.12.127,52.93.12.127,1,9
Thu,17:35:07,oregon,congo_DR,54.239.43.137,54.239.43.137,8,10
Thu,17:35:07,oregon,congo_DR,54.239.43.137,54.239.43.137,8,11
Thu,17:35:07,oregon,congo_DR,52.95.52.60,52.95.52.60,8,12
Thu,17:35:07,oregon,congo_DR,52.95.52.255,52.95.52.255,7,13
Thu,17:35:07,oregon,congo_DR,52.95.216.109,52.95.216.109,8,14
Thu,17:35:07,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,31,15
Thu,17:35:07,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,31,16
Thu,17:35:07,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,33,17
Thu,17:35:07,oregon,congo_DR,162-144-240-157.unifiedlayer.com,162.144.240.157,32,18
Thu,17:35:07,oregon,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,32,19
Thu,17:35:07,oregon,congo_DR,just57.justhost.com,173.254.28.57,32,20
Thu,17:41:40,oregon,congo_DR,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,18,1
Thu,17:41:40,oregon,congo_DR,100.66.8.204,100.66.8.204,22,2
Thu,17:41:40,oregon,congo_DR,100.66.11.98,100.66.11.98,21,3
Thu,17:41:40,oregon,congo_DR,100.66.7.73,100.66.7.73,12,4
Thu,17:41:40,oregon,congo_DR,100.66.4.113,100.66.4.113,12,5
Thu,17:41:40,oregon,congo_DR,100.65.9.129,100.65.9.129,0,6
Thu,17:41:40,oregon,congo_DR,52.93.15.218,52.93.15.218,1,7
Thu,17:41:40,oregon,congo_DR,52.93.12.58,52.93.12.58,10,8
Thu,17:41:40,oregon,congo_DR,52.93.12.163,52.93.12.163,3,9
Thu,17:41:40,oregon,congo_DR,54.239.43.137,54.239.43.137,8,10
Thu,17:41:40,oregon,congo_DR,52.95.52.226,52.95.52.226,17,11
Thu,17:41:40,oregon,congo_DR,52.95.52.187,52.95.52.187,8,12
Thu,17:41:40,oregon,congo_DR,52.95.52.119,52.95.52.119,8,13
Thu,17:41:40,oregon,congo_DR,52.95.216.109,52.95.216.109,10,14
Thu,17:41:40,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,32,15
Thu,17:41:40,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,31,16
Thu,17:41:40,oregon,congo_DR,216.51.74.158,216.51.74.158,32,17
Thu,17:41:40,oregon,congo_DR,216.51.74.158,216.51.74.158,33,18
Thu,17:41:40,oregon,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,32,19
Thu,17:41:40,oregon,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,33,20
Thu,17:41:40,oregon,congo_DR,just57.justhost.com,173.254.28.57,33,21
Thu,17:48:25,oregon,congo_DR,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,28,1
Thu,17:48:25,oregon,congo_DR,100.66.8.208,100.66.8.208,20,2
Thu,17:48:25,oregon,congo_DR,100.66.10.192,100.66.10.192,20,3
Thu,17:48:25,oregon,congo_DR,100.66.6.111,100.66.6.111,20,4
Thu,17:48:25,oregon,congo_DR,100.66.4.45,100.66.4.45,21,5
Thu,17:48:25,oregon,congo_DR,100.65.11.225,100.65.11.225,0,6
Thu,17:48:25,oregon,congo_DR,52.93.15.220,52.93.15.220,1,7
Thu,17:48:25,oregon,congo_DR,52.93.12.130,52.93.12.130,4,8
Thu,17:48:25,oregon,congo_DR,52.93.13.41,52.93.13.41,1,9
Thu,17:48:25,oregon,congo_DR,54.239.43.127,54.239.43.127,7,10
Thu,17:48:25,oregon,congo_DR,54.239.42.230,54.239.42.230,8,11
Thu,17:48:25,oregon,congo_DR,52.95.53.8,52.95.53.8,8,12
Thu,17:48:25,oregon,congo_DR,52.95.52.51,52.95.52.51,7,13
Thu,17:48:25,oregon,congo_DR,52.95.216.109,52.95.216.109,9,14
Thu,17:48:25,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,32,15
Thu,17:48:25,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,39,16
Thu,17:48:25,oregon,congo_DR,216.51.74.158,216.51.74.158,32,17
Thu,17:48:25,oregon,congo_DR,216.51.74.158,216.51.74.158,33,18
Thu,17:48:25,oregon,congo_DR,162-144-240-157.unifiedlayer.com,162.144.240.157,32,19
Thu,17:48:25,oregon,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,32,20
Thu,17:55:09,oregon,congo_DR,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,16,1
Thu,17:55:09,oregon,congo_DR,100.66.8.160,100.66.8.160,19,2
Thu,17:55:09,oregon,congo_DR,100.66.11.224,100.66.11.224,18,3
Thu,17:55:09,oregon,congo_DR,100.66.6.11,100.66.6.11,17,4
Thu,17:55:09,oregon,congo_DR,100.66.4.161,100.66.4.161,15,5
Thu,17:55:09,oregon,congo_DR,100.65.10.193,100.65.10.193,0,6
Thu,17:55:09,oregon,congo_DR,54.239.48.176,54.239.48.176,1,7
Thu,17:55:09,oregon,congo_DR,52.93.13.60,52.93.13.60,3,8
Thu,17:55:09,oregon,congo_DR,52.93.12.193,52.93.12.193,4,9
Thu,17:55:09,oregon,congo_DR,54.239.43.127,54.239.43.127,7,10
Thu,17:55:09,oregon,congo_DR,52.95.53.4,52.95.53.4,18,11
Thu,17:55:09,oregon,congo_DR,52.95.52.232,52.95.52.232,18,12
Thu,17:55:09,oregon,congo_DR,52.95.52.153,52.95.52.153,8,13
Thu,17:55:09,oregon,congo_DR,52.95.216.109,52.95.216.109,21,14
Thu,17:55:09,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,33,15
