Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:35:09,oregon,ghana,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,23,1
Thu,17:35:09,oregon,ghana,100.66.8.182,100.66.8.182,17,2
Thu,17:35:09,oregon,ghana,100.66.11.238,100.66.11.238,20,3
Thu,17:35:09,oregon,ghana,100.66.6.111,100.66.6.111,55,4
Thu,17:35:09,oregon,ghana,100.66.4.145,100.66.4.145,16,5
Thu,17:35:09,oregon,ghana,100.65.8.97,100.65.8.97,0,6
Thu,17:35:09,oregon,ghana,52.93.13.72,52.93.13.72,1,7
Thu,17:35:09,oregon,ghana,52.93.12.136,52.93.12.136,30,8
Thu,17:35:09,oregon,ghana,52.93.12.153,52.93.12.153,1,9
Thu,17:35:09,oregon,ghana,54.239.43.137,54.239.43.137,8,10
Thu,17:35:09,oregon,ghana,52.95.53.10,52.95.53.10,15,11
Thu,17:35:09,oregon,ghana,52.95.52.90,52.95.52.90,17,12
Thu,17:35:09,oregon,ghana,ae-14.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.169,8,13
Thu,17:35:09,oregon,ghana,ae-13.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.165,9,14
Thu,17:35:09,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,146,15
Thu,17:35:09,oregon,ghana,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,16
Thu,17:35:09,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,139,17
Thu,17:35:09,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,148,18
Thu,17:35:09,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,140,19
Thu,17:35:09,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,148,20
Thu,17:35:09,oregon,ghana,if-ge-4-0-0.core4.LDN-London.as6453.net,80.231.62.26,140,21
Thu,17:35:09,oregon,ghana,if-ge-4-0-0.core4.LDN-London.as6453.net,80.231.62.26,148,22
Thu,17:35:09,oregon,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,236,23
Thu,17:35:09,oregon,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,245,24
Thu,17:35:09,oregon,ghana,197.255.127.35,197.255.127.35,249,25
Thu,17:35:09,oregon,ghana,197.255.127.2,197.255.127.2,240,26
Thu,17:35:09,oregon,ghana,197.255.125.213,197.255.125.213,254,27
Thu,17:41:42,oregon,ghana,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,19,1
Thu,17:41:42,oregon,ghana,100.66.8.222,100.66.8.222,19,2
Thu,17:41:42,oregon,ghana,100.66.10.96,100.66.10.96,14,3
Thu,17:41:42,oregon,ghana,100.66.6.9,100.66.6.9,16,4
Thu,17:41:42,oregon,ghana,100.66.4.175,100.66.4.175,17,5
Thu,17:41:42,oregon,ghana,100.65.11.129,100.65.11.129,0,6
Thu,17:41:42,oregon,ghana,205.251.232.166,205.251.232.166,1,7
Thu,17:41:42,oregon,ghana,52.93.12.64,52.93.12.64,24,8
Thu,17:41:42,oregon,ghana,52.93.12.45,52.93.12.45,2,9
Thu,17:41:42,oregon,ghana,54.239.43.133,54.239.43.133,7,10
Thu,17:41:42,oregon,ghana,52.95.53.152,52.95.53.152,25,11
Thu,17:41:42,oregon,ghana,54.239.42.230,54.239.42.230,8,12
Thu,17:41:42,oregon,ghana,52.95.52.124,52.95.52.124,16,13
Thu,17:41:42,oregon,ghana,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,7,14
Thu,17:41:42,oregon,ghana,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Thu,17:41:42,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,147,16
Thu,17:41:42,oregon,ghana,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,139,17
Thu,17:41:42,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,147,18
Thu,17:41:42,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,148,19
Thu,17:41:42,oregon,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,146,20
Thu,17:41:42,oregon,ghana,195.219.195.42,195.219.195.42,243,21
Thu,17:41:42,oregon,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,148,22
Thu,17:41:42,oregon,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,245,23
Thu,17:41:42,oregon,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,246,24
Thu,17:41:42,oregon,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,245,25
Thu,17:41:42,oregon,ghana,197.255.127.35,197.255.127.35,252,26
Thu,17:41:42,oregon,ghana,197.255.127.35,197.255.127.35,241,27
Thu,17:41:42,oregon,ghana,197.255.125.213,197.255.125.213,249,28
Thu,17:48:27,oregon,ghana,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,19,1
Thu,17:48:27,oregon,ghana,100.66.8.126,100.66.8.126,13,2
Thu,17:48:27,oregon,ghana,100.66.11.134,100.66.11.134,16,3
Thu,17:48:27,oregon,ghana,100.66.7.133,100.66.7.133,12,4
Thu,17:48:27,oregon,ghana,100.66.4.89,100.66.4.89,21,5
Thu,17:48:27,oregon,ghana,100.65.8.129,100.65.8.129,0,6
Thu,17:48:27,oregon,ghana,52.93.15.222,52.93.15.222,1,7
Thu,17:48:27,oregon,ghana,52.93.12.136,52.93.12.136,24,8
Thu,17:48:27,oregon,ghana,52.93.12.117,52.93.12.117,1,9
Thu,17:48:27,oregon,ghana,54.239.43.125,54.239.43.125,8,10
Thu,17:48:27,oregon,ghana,54.239.42.230,54.239.42.230,8,11
Thu,17:48:27,oregon,ghana,52.95.52.89,52.95.52.89,7,12
Thu,17:48:27,oregon,ghana,ae-8.r04.sttlwa01.us.bb.gin.ntt.net,198.104.202.189,7,13
Thu,17:48:27,oregon,ghana,ae-8.r04.sttlwa01.us.bb.gin.ntt.net,198.104.202.189,8,14
Thu,17:48:27,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,147,15
Thu,17:48:27,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,148,16
Thu,17:48:27,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,149,17
Thu,17:48:27,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,148,18
Thu,17:48:27,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,149,19
Thu,17:48:27,oregon,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,147,20
Thu,17:48:27,oregon,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,147,21
Thu,17:48:27,oregon,ghana,195.219.195.42,195.219.195.42,242,22
Thu,17:48:27,oregon,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,238,23
Thu,17:48:27,oregon,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,246,24
Thu,17:48:27,oregon,ghana,197.255.127.2,197.255.127.2,249,25
Thu,17:48:27,oregon,ghana,197.255.127.2,197.255.127.2,248,26
Thu,17:48:27,oregon,ghana,197.255.125.213,197.255.125.213,249,27
Thu,17:55:11,oregon,ghana,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,18,1
