Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:36:01,oregon,uganda,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,12,1
Thu,17:36:01,oregon,uganda,100.66.8.96,100.66.8.96,20,2
Thu,17:36:01,oregon,uganda,100.66.10.102,100.66.10.102,16,3
Thu,17:36:01,oregon,uganda,100.66.6.163,100.66.6.163,13,4
Thu,17:36:01,oregon,uganda,100.66.4.71,100.66.4.71,18,5
Thu,17:36:01,oregon,uganda,100.65.8.1,100.65.8.1,0,6
Thu,17:36:01,oregon,uganda,54.239.48.176,54.239.48.176,1,7
Thu,17:36:01,oregon,uganda,52.93.12.100,52.93.12.100,38,8
Thu,17:36:01,oregon,uganda,52.93.12.229,52.93.12.229,1,9
Thu,17:36:01,oregon,uganda,54.239.43.131,54.239.43.131,8,10
Thu,17:36:01,oregon,uganda,52.95.53.132,52.95.53.132,17,11
Thu,17:36:01,oregon,uganda,52.95.53.154,52.95.53.154,15,12
Thu,17:36:01,oregon,uganda,sea-b1-link.telia.net,213.248.84.189,7,13
Thu,17:36:01,oregon,uganda,sea-b1-link.telia.net,62.115.34.105,8,14
Thu,17:36:01,oregon,uganda,chi-b21-link.telia.net,62.115.117.49,51,15
Thu,17:36:01,oregon,uganda,chi-b21-link.telia.net,62.115.116.141,51,16
Thu,17:36:01,oregon,uganda,ldn-bb2-link.telia.net,213.155.133.6,142,17
Thu,17:36:01,oregon,uganda,ldn-bb3-link.telia.net,62.115.124.119,143,18
Thu,17:36:01,oregon,uganda,bhartiairtel-ic-316563-ldn-b1.c.telia.net,213.248.72.110,182,19
Thu,17:36:01,oregon,uganda,bhartiairtel-ic-316563-ldn-b1.c.telia.net,213.248.72.110,189,20
Thu,17:36:01,oregon,uganda,182.79.222.206,182.79.222.206,189,21
Thu,17:36:01,oregon,uganda,125.62.187.189,125.62.187.189,189,22
Thu,17:36:01,oregon,uganda,61.246.168.114,61.246.168.114,461,23
