Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:03:51,oregon,algeria,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,18,1
Tue,16:03:51,oregon,algeria,100.66.8.130,100.66.8.130,15,2
Tue,16:03:51,oregon,algeria,100.66.11.6,100.66.11.6,13,3
Tue,16:03:51,oregon,algeria,100.66.6.37,100.66.6.37,19,4
Tue,16:03:51,oregon,algeria,100.66.4.131,100.66.4.131,12,5
Tue,16:03:51,oregon,algeria,100.65.8.65,100.65.8.65,0,6
Tue,16:03:51,oregon,algeria,54.239.48.178,54.239.48.178,1,7
Tue,16:03:51,oregon,algeria,52.93.12.202,52.93.12.202,23,8
Tue,16:03:51,oregon,algeria,52.93.13.41,52.93.13.41,1,9
Tue,16:03:51,oregon,algeria,54.239.43.131,54.239.43.131,8,10
Tue,16:03:51,oregon,algeria,54.239.43.129,54.239.43.129,7,11
Tue,16:03:51,oregon,algeria,52.95.53.140,52.95.53.140,10,12
Tue,16:03:51,oregon,algeria,52.95.52.191,52.95.52.191,7,13
Tue,16:03:51,oregon,algeria,ae-14.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.169,8,14
Tue,16:03:51,oregon,algeria,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,15
Tue,16:03:51,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,16
Tue,16:03:51,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,150,17
Tue,16:03:51,oregon,algeria,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,149,18
Tue,16:03:51,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,149,19
Tue,16:03:51,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,139,20
Tue,16:03:51,oregon,algeria,195.219.83.30,195.219.83.30,143,21
Tue,16:03:51,oregon,algeria,195.219.83.30,195.219.83.30,144,22
Tue,16:03:51,oregon,algeria,*,*,*,23
Tue,16:03:51,oregon,algeria,*,*,*,24
Tue,16:03:51,oregon,algeria,*,*,*,25
Tue,16:03:51,oregon,algeria,*,*,*,26
Tue,16:03:51,oregon,algeria,*,*,*,27
Tue,16:03:51,oregon,algeria,*,*,*,28
Tue,16:03:51,oregon,algeria,*,*,*,29
Tue,16:03:51,oregon,algeria,*,*,*,30
Tue,16:10:24,oregon,algeria,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,14,1
Tue,16:10:24,oregon,algeria,100.66.8.4,100.66.8.4,5,2
Tue,16:10:24,oregon,algeria,100.66.11.204,100.66.11.204,12,3
Tue,16:10:24,oregon,algeria,100.66.6.235,100.66.6.235,11,4
Tue,16:10:24,oregon,algeria,100.66.4.237,100.66.4.237,13,5
Tue,16:10:24,oregon,algeria,100.65.8.225,100.65.8.225,0,6
Tue,16:10:24,oregon,algeria,52.93.15.218,52.93.15.218,1,7
Tue,16:10:24,oregon,algeria,52.93.12.244,52.93.12.244,31,8
Tue,16:10:24,oregon,algeria,52.93.12.121,52.93.12.121,1,9
Tue,16:10:24,oregon,algeria,54.239.43.119,54.239.43.119,6,10
Tue,16:10:24,oregon,algeria,54.239.42.218,54.239.42.218,7,11
Tue,16:10:24,oregon,algeria,52.95.52.96,52.95.52.96,14,12
Tue,16:10:24,oregon,algeria,52.95.52.83,52.95.52.83,8,13
Tue,16:10:24,oregon,algeria,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,9,14
