Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:04:05,oregon,angola,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,13,1
Tue,16:04:05,oregon,angola,100.66.8.26,100.66.8.26,19,2
Tue,16:04:05,oregon,angola,100.66.11.36,100.66.11.36,19,3
Tue,16:04:05,oregon,angola,100.66.7.237,100.66.7.237,19,4
Tue,16:04:05,oregon,angola,100.66.4.25,100.66.4.25,18,5
Tue,16:04:05,oregon,angola,100.65.8.161,100.65.8.161,2,6
Tue,16:04:05,oregon,angola,52.93.13.72,52.93.13.72,1,7
Tue,16:04:05,oregon,angola,52.93.12.136,52.93.12.136,37,8
Tue,16:04:05,oregon,angola,52.93.12.161,52.93.12.161,1,9
Tue,16:04:05,oregon,angola,54.239.43.129,54.239.43.129,8,10
Tue,16:04:05,oregon,angola,54.239.42.222,54.239.42.222,8,11
Tue,16:04:05,oregon,angola,52.95.52.28,52.95.52.28,17,12
Tue,16:04:05,oregon,angola,52.95.52.149,52.95.52.149,8,13
Tue,16:04:05,oregon,angola,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,9,14
Tue,16:04:05,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Tue,16:04:05,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,174,16
Tue,16:04:05,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,175,17
Tue,16:04:05,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,174,18
Tue,16:04:05,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,190,19
Tue,16:04:05,oregon,angola,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,182,20
Tue,16:04:05,oregon,angola,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,182,21
Tue,16:04:05,oregon,angola,if-ae-19-2.tcore1.SV8-Highbridge.as6453.net,80.231.138.21,183,22
Tue,16:04:05,oregon,angola,if-ae-2-2.tcore1.SV8-Highbridge.as6453.net,80.231.139.2,173,23
Tue,16:04:05,oregon,angola,if-ae-2-2.tcore2.PV9-Lisbon.as6453.net,80.231.158.6,182,24
Tue,16:04:05,oregon,angola,80.231.159.26,80.231.159.26,170,25
Tue,16:04:05,oregon,angola,80.231.159.26,80.231.159.26,169,26
Tue,16:04:05,oregon,angola,if-ae-7-2.tcore2.PV9-Lisbon.as6453.net,80.231.159.29,188,27
Tue,16:04:05,oregon,angola,197.149.148.237,197.149.148.237,288,28
Tue,16:04:05,oregon,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,287,29
Tue,16:04:05,oregon,angola,41.222.238.7,41.222.238.7,273,30
Tue,16:10:37,oregon,angola,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,24,1
Tue,16:10:37,oregon,angola,100.66.8.102,100.66.8.102,20,2
Tue,16:10:37,oregon,angola,100.66.11.236,100.66.11.236,14,3
Tue,16:10:37,oregon,angola,100.66.6.165,100.66.6.165,21,4
Tue,16:10:37,oregon,angola,100.66.4.79,100.66.4.79,23,5
Tue,16:10:37,oregon,angola,100.65.11.225,100.65.11.225,1,6
Tue,16:10:37,oregon,angola,52.93.15.218,52.93.15.218,3,7
Tue,16:10:37,oregon,angola,52.93.12.208,52.93.12.208,18,8
Tue,16:10:37,oregon,angola,52.93.12.233,52.93.12.233,1,9
Tue,16:10:37,oregon,angola,52.93.15.87,52.93.15.87,7,10
Tue,16:10:37,oregon,angola,54.239.42.220,54.239.42.220,8,11
Tue,16:10:37,oregon,angola,52.95.52.119,52.95.52.119,7,12
Tue,16:10:37,oregon,angola,52.95.52.215,52.95.52.215,9,13
Tue,16:10:37,oregon,angola,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,9,14
Tue,16:10:37,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Tue,16:10:37,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,175,16
Tue,16:10:37,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,175,17
Tue,16:10:37,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,182,18
Tue,16:10:37,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,184,19
Tue,16:10:37,oregon,angola,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,187,20
Tue,16:10:37,oregon,angola,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,188,21
Tue,16:10:37,oregon,angola,if-ae-19-2.tcore1.SV8-Highbridge.as6453.net,80.231.138.21,174,22
Tue,16:10:37,oregon,angola,if-ae-11-2.tcore2.SV8-Highbridge.as6453.net,80.231.139.41,180,23
Tue,16:10:37,oregon,angola,if-ae-14-2.tcore1.DVS-Bilbao.as6453.net,80.231.139.66,188,24
Tue,16:10:37,oregon,angola,if-ae-2-2.tcore2.PV9-Lisbon.as6453.net,80.231.158.6,175,25
Tue,16:10:37,oregon,angola,if-ae-11-2.tcore2.WV6-Madrid.as6453.net,80.231.91.66,180,26
Tue,16:10:37,oregon,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,287,27
Tue,16:10:37,oregon,angola,p2-nc023.ang.lad.as37468.angolacables.ao,185.148.112.17,271,28
Tue,16:10:37,oregon,angola,41.222.238.7,41.222.238.7,272,29
Tue,16:10:37,oregon,angola,*,*,*,30
Tue,16:17:20,oregon,angola,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,11,1
Tue,16:17:20,oregon,angola,100.66.8.34,100.66.8.34,13,2
Tue,16:17:20,oregon,angola,100.66.10.34,100.66.10.34,16,3
Tue,16:17:20,oregon,angola,100.66.6.65,100.66.6.65,14,4
Tue,16:17:20,oregon,angola,100.66.4.219,100.66.4.219,17,5
Tue,16:17:20,oregon,angola,100.65.8.97,100.65.8.97,0,6
Tue,16:17:20,oregon,angola,52.93.13.72,52.93.13.72,4,7
Tue,16:17:20,oregon,angola,52.93.13.24,52.93.13.24,2,8
Tue,16:17:20,oregon,angola,52.93.12.189,52.93.12.189,1,9
Tue,16:17:20,oregon,angola,54.239.43.131,54.239.43.131,8,10
Tue,16:17:20,oregon,angola,54.239.42.216,54.239.42.216,8,11
Tue,16:17:20,oregon,angola,52.95.53.4,52.95.53.4,10,12
Tue,16:17:20,oregon,angola,52.95.52.11,52.95.52.11,7,13
Tue,16:17:20,oregon,angola,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,9,14
Tue,16:17:20,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Tue,16:17:20,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,175,16
Tue,16:17:20,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,187,17
Tue,16:17:20,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,188,18
Tue,16:17:20,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,183,19
Tue,16:17:20,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,181,20
Tue,16:17:20,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,179,21
Tue,16:17:20,oregon,angola,if-ae-17-2.tcore1.L78-London.as6453.net,80.231.130.129,182,22
Tue,16:17:20,oregon,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,183,23
Tue,16:17:20,oregon,angola,if-ae-14-2.tcore1.DVS-Bilbao.as6453.net,80.231.139.66,180,24
Tue,16:17:20,oregon,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,286,25
Tue,16:17:20,oregon,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,287,26
Tue,16:17:20,oregon,angola,p2-nc023.ang.lad.as37468.angolacables.ao,185.148.112.17,279,27
Tue,16:17:20,oregon,angola,80.231.159.26,80.231.159.26,183,28
Tue,16:17:20,oregon,angola,41.222.238.26,41.222.238.26,287,29
Tue,16:17:20,oregon,angola,197.149.148.237,197.149.148.237,287,30
Tue,16:24:00,oregon,angola,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,19,1
Tue,16:24:00,oregon,angola,100.66.8.214,100.66.8.214,21,2
Tue,16:24:00,oregon,angola,100.66.11.134,100.66.11.134,15,3
Tue,16:24:00,oregon,angola,100.66.7.231,100.66.7.231,15,4
Tue,16:24:00,oregon,angola,100.66.4.193,100.66.4.193,22,5
Tue,16:24:00,oregon,angola,100.65.11.161,100.65.11.161,0,6
Tue,16:24:00,oregon,angola,52.93.15.218,52.93.15.218,1,7
Tue,16:24:00,oregon,angola,52.93.13.24,52.93.13.24,3,8
Tue,16:24:00,oregon,angola,52.93.13.41,52.93.13.41,1,9
Tue,16:24:00,oregon,angola,54.239.43.123,54.239.43.123,6,10
Tue,16:24:00,oregon,angola,54.239.42.230,54.239.42.230,23,11
Tue,16:24:00,oregon,angola,52.95.52.47,52.95.52.47,7,12
Tue,16:24:00,oregon,angola,52.95.52.183,52.95.52.183,8,13
Tue,16:24:00,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,6,14
Tue,16:24:00,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,15
Tue,16:24:00,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,174,16
Tue,16:24:00,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,188,17
Tue,16:24:00,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,208,18
Tue,16:24:00,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,187,19
Tue,16:24:00,oregon,angola,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,179,20
Tue,16:24:00,oregon,angola,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,173,21
Tue,16:24:00,oregon,angola,if-ae-19-2.tcore1.SV8-Highbridge.as6453.net,80.231.138.21,182,22
Tue,16:24:00,oregon,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,183,23
Tue,16:24:00,oregon,angola,80.231.159.26,80.231.159.26,169,24
Tue,16:24:00,oregon,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,175,25
Tue,16:24:00,oregon,angola,p2-nc023.ang.lad.as37468.angolacables.ao,185.148.112.17,279,26
Tue,16:24:00,oregon,angola,if-ae-2-2.tcore2.PV9-Lisbon.as6453.net,80.231.158.6,175,27
Tue,16:24:00,oregon,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,296,28
Tue,16:24:00,oregon,angola,41.222.238.7,41.222.238.7,272,29
Tue,16:24:00,oregon,angola,197.149.148.237,197.149.148.237,296,30
Tue,16:30:15,oregon,angola,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,15,1
Tue,16:30:15,oregon,angola,100.66.8.90,100.66.8.90,16,2
Tue,16:30:15,oregon,angola,100.66.11.6,100.66.11.6,17,3
Tue,16:30:15,oregon,angola,100.66.6.109,100.66.6.109,20,4
