Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:04:11,oregon,congo_DR,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,16,1
Tue,16:04:11,oregon,congo_DR,100.66.8.156,100.66.8.156,15,2
Tue,16:04:11,oregon,congo_DR,100.66.11.6,100.66.11.6,17,3
Tue,16:04:11,oregon,congo_DR,100.66.6.141,100.66.6.141,12,4
Tue,16:04:11,oregon,congo_DR,100.66.4.85,100.66.4.85,17,5
Tue,16:04:11,oregon,congo_DR,100.65.11.193,100.65.11.193,0,6
Tue,16:04:11,oregon,congo_DR,205.251.232.166,205.251.232.166,0,7
Tue,16:04:11,oregon,congo_DR,52.93.13.18,52.93.13.18,11,8
Tue,16:04:11,oregon,congo_DR,52.93.13.49,52.93.13.49,2,9
Tue,16:04:11,oregon,congo_DR,54.239.42.195,54.239.42.195,8,10
Tue,16:04:11,oregon,congo_DR,54.239.42.214,54.239.42.214,10,11
Tue,16:04:11,oregon,congo_DR,52.95.52.126,52.95.52.126,9,12
Tue,16:04:11,oregon,congo_DR,52.95.52.115,52.95.52.115,8,13
Tue,16:04:11,oregon,congo_DR,52.95.52.147,52.95.52.147,7,14
Tue,16:04:11,oregon,congo_DR,ae-1.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.88,8,15
Tue,16:04:11,oregon,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,25,16
Tue,16:04:11,oregon,congo_DR,ae-7.r23.dllstx09.us.bb.gin.ntt.net,129.250.4.155,62,17
Tue,16:04:11,oregon,congo_DR,ce-0-16-0-3.r10.dllstx09.us.ce.gin.ntt.net,128.242.179.18,66,18
Tue,16:04:11,oregon,congo_DR,ce-0-16-0-3.r10.dllstx09.us.ce.gin.ntt.net,128.242.179.18,64,19
Tue,16:04:11,oregon,congo_DR,162-215-243-5.unifiedlayer.com,162.215.243.5,59,20
Tue,16:04:11,oregon,congo_DR,162-215-243-235.unifiedlayer.com,162.215.243.235,81,21
Tue,16:04:11,oregon,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,66,22
Tue,16:04:11,oregon,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,80,23
Tue,16:04:11,oregon,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,80,24
Tue,16:04:11,oregon,congo_DR,just57.justhost.com,173.254.28.57,67,25
Tue,16:10:49,oregon,congo_DR,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,18,1
Tue,16:10:49,oregon,congo_DR,100.66.8.36,100.66.8.36,17,2
