Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:04:32,oregon,japan,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,14,1
Tue,16:04:32,oregon,japan,100.66.8.136,100.66.8.136,11,2
Tue,16:04:32,oregon,japan,100.66.11.12,100.66.11.12,21,3
Tue,16:04:32,oregon,japan,100.66.7.171,100.66.7.171,15,4
Tue,16:04:32,oregon,japan,100.66.4.231,100.66.4.231,18,5
Tue,16:04:32,oregon,japan,100.65.9.161,100.65.9.161,0,6
Tue,16:04:32,oregon,japan,52.93.13.74,52.93.13.74,96,7
Tue,16:04:32,oregon,japan,52.93.12.208,52.93.12.208,130,8
Tue,16:04:32,oregon,japan,52.93.12.195,52.93.12.195,96,9
Tue,16:04:32,oregon,japan,54.239.43.133,54.239.43.133,96,10
Tue,16:04:32,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,16:04:32,oregon,japan,54.239.53.23,54.239.53.23,103,12
Tue,16:04:32,oregon,japan,54.239.53.124,54.239.53.124,96,13
Tue,16:04:32,oregon,japan,54.239.53.111,54.239.53.111,113,14
Tue,16:04:32,oregon,japan,54.239.53.24,54.239.53.24,104,15
Tue,16:04:32,oregon,japan,54.239.52.149,54.239.52.149,105,16
Tue,16:04:32,oregon,japan,52.95.31.17,52.95.31.17,114,17
Tue,16:04:32,oregon,japan,52.95.31.132,52.95.31.132,104,18
Tue,16:04:32,oregon,japan,52.95.30.216,52.95.30.216,104,19
Tue,16:04:32,oregon,japan,100.64.17.170,100.64.17.170,117,20
Tue,16:04:32,oregon,japan,100.64.2.192,100.64.2.192,119,21
Tue,16:04:32,oregon,japan,100.64.1.15,100.64.1.15,126,22
Tue,16:04:32,oregon,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,104,23
Tue,16:11:10,oregon,japan,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,14,1
Tue,16:11:10,oregon,japan,100.66.8.252,100.66.8.252,12,2
Tue,16:11:10,oregon,japan,100.66.11.162,100.66.11.162,12,3
Tue,16:11:10,oregon,japan,100.66.7.1,100.66.7.1,50,4
Tue,16:11:10,oregon,japan,100.66.4.173,100.66.4.173,20,5
Tue,16:11:10,oregon,japan,100.65.10.225,100.65.10.225,0,6
Tue,16:11:10,oregon,japan,52.93.15.220,52.93.15.220,96,7
Tue,16:11:10,oregon,japan,52.93.13.18,52.93.13.18,99,8
Tue,16:11:10,oregon,japan,52.93.13.47,52.93.13.47,96,9
Tue,16:11:10,oregon,japan,54.239.43.133,54.239.43.133,101,10
Tue,16:11:10,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,16:11:10,oregon,japan,54.239.53.11,54.239.53.11,106,12
Tue,16:11:10,oregon,japan,54.239.53.80,54.239.53.80,96,13
Tue,16:11:10,oregon,japan,54.239.53.87,54.239.53.87,109,14
Tue,16:11:10,oregon,japan,54.239.53.18,54.239.53.18,104,15
Tue,16:11:10,oregon,japan,27.0.0.249,27.0.0.249,104,16
Tue,16:11:10,oregon,japan,52.95.30.25,52.95.30.25,115,17
Tue,16:11:10,oregon,japan,52.95.31.120,52.95.31.120,105,18
Tue,16:11:10,oregon,japan,52.95.30.210,52.95.30.210,104,19
Tue,16:11:10,oregon,japan,100.64.17.42,100.64.17.42,123,20
Tue,16:11:10,oregon,japan,100.64.3.134,100.64.3.134,118,21
Tue,16:11:10,oregon,japan,100.64.2.79,100.64.2.79,126,22
Tue,16:11:10,oregon,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,104,23
Tue,16:18:05,oregon,japan,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,19,1
Tue,16:18:05,oregon,japan,100.66.8.4,100.66.8.4,11,2
Tue,16:18:05,oregon,japan,100.66.10.234,100.66.10.234,16,3
Tue,16:18:05,oregon,japan,100.66.6.103,100.66.6.103,15,4
Tue,16:18:05,oregon,japan,100.66.4.167,100.66.4.167,17,5
Tue,16:18:05,oregon,japan,100.65.11.193,100.65.11.193,0,6
Tue,16:18:05,oregon,japan,52.93.15.216,52.93.15.216,97,7
Tue,16:18:05,oregon,japan,52.93.13.54,52.93.13.54,111,8
Tue,16:18:05,oregon,japan,52.93.12.195,52.93.12.195,96,9
Tue,16:18:05,oregon,japan,54.239.43.133,54.239.43.133,104,10
Tue,16:18:05,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,16:18:05,oregon,japan,54.239.53.9,54.239.53.9,102,12
Tue,16:18:05,oregon,japan,54.239.53.106,54.239.53.106,96,13
Tue,16:18:05,oregon,japan,54.239.53.93,54.239.53.93,112,14
Tue,16:18:05,oregon,japan,54.239.53.38,54.239.53.38,105,15
Tue,16:18:05,oregon,japan,54.239.52.141,54.239.52.141,105,16
Tue,16:18:05,oregon,japan,52.95.30.31,52.95.30.31,109,17
Tue,16:18:05,oregon,japan,52.95.30.128,52.95.30.128,105,18
Tue,16:18:05,oregon,japan,52.95.30.218,52.95.30.218,104,19
Tue,16:18:05,oregon,japan,100.64.16.66,100.64.16.66,112,20
Tue,16:18:05,oregon,japan,100.64.0.2,100.64.0.2,116,21
Tue,16:18:05,oregon,japan,100.64.0.143,100.64.0.143,124,22
Tue,16:18:05,oregon,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,105,23
Tue,16:24:37,oregon,japan,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,20,1
Tue,16:24:37,oregon,japan,100.66.8.132,100.66.8.132,25,2
Tue,16:24:37,oregon,japan,100.66.11.10,100.66.11.10,16,3
Tue,16:24:37,oregon,japan,100.66.6.99,100.66.6.99,16,4
Tue,16:24:37,oregon,japan,100.66.4.81,100.66.4.81,12,5
Tue,16:24:37,oregon,japan,100.65.9.65,100.65.9.65,0,6
Tue,16:24:37,oregon,japan,205.251.232.254,205.251.232.254,96,7
Tue,16:24:37,oregon,japan,52.93.13.18,52.93.13.18,111,8
Tue,16:24:37,oregon,japan,52.93.12.87,52.93.12.87,96,9
Tue,16:24:37,oregon,japan,54.239.43.133,54.239.43.133,100,10
Tue,16:24:37,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,16:24:37,oregon,japan,54.239.53.19,54.239.53.19,97,12
Tue,16:24:37,oregon,japan,54.239.53.120,54.239.53.120,96,13
Tue,16:24:37,oregon,japan,54.239.53.83,54.239.53.83,108,14
Tue,16:24:37,oregon,japan,54.239.53.18,54.239.53.18,105,15
Tue,16:24:37,oregon,japan,54.239.52.135,54.239.52.135,104,16
Tue,16:24:37,oregon,japan,52.95.30.17,52.95.30.17,113,17
Tue,16:24:37,oregon,japan,52.95.31.132,52.95.31.132,105,18
Tue,16:24:37,oregon,japan,52.95.30.210,52.95.30.210,105,19
Tue,16:24:37,oregon,japan,100.64.16.10,100.64.16.10,123,20
Tue,16:24:37,oregon,japan,100.64.3.0,100.64.3.0,124,21
Tue,16:24:37,oregon,japan,100.64.0.9,100.64.0.9,123,22
Tue,16:24:37,oregon,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,105,23
Tue,16:30:45,oregon,japan,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,20,1
Tue,16:30:45,oregon,japan,100.66.8.174,100.66.8.174,14,2
Tue,16:30:45,oregon,japan,100.66.11.6,100.66.11.6,18,3
Tue,16:30:45,oregon,japan,100.66.7.139,100.66.7.139,22,4
Tue,16:30:45,oregon,japan,100.66.4.13,100.66.4.13,12,5
Tue,16:30:45,oregon,japan,100.65.9.1,100.65.9.1,0,6
Tue,16:30:45,oregon,japan,52.93.13.74,52.93.13.74,96,7
Tue,16:30:45,oregon,japan,52.93.12.166,52.93.12.166,127,8
Tue,16:30:45,oregon,japan,52.93.12.123,52.93.12.123,96,9
Tue,16:30:45,oregon,japan,54.239.43.133,54.239.43.133,96,10
Tue,16:30:45,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,16:30:45,oregon,japan,54.239.53.19,54.239.53.19,144,12
Tue,16:30:45,oregon,japan,54.239.53.128,54.239.53.128,96,13
Tue,16:30:45,oregon,japan,54.239.53.105,54.239.53.105,108,14
Tue,16:30:45,oregon,japan,54.239.53.32,54.239.53.32,104,15
Tue,16:30:45,oregon,japan,54.239.52.135,54.239.52.135,104,16
Tue,16:30:45,oregon,japan,52.95.30.39,52.95.30.39,108,17
Tue,16:30:45,oregon,japan,52.95.31.120,52.95.31.120,105,18
Tue,16:30:45,oregon,japan,52.95.30.210,52.95.30.210,104,19
Tue,16:30:45,oregon,japan,100.64.16.146,100.64.16.146,123,20
Tue,16:30:45,oregon,japan,100.64.0.0,100.64.0.0,125,21
Tue,16:30:45,oregon,japan,100.64.0.143,100.64.0.143,119,22
Tue,16:30:45,oregon,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,104,23
Tue,16:37:02,oregon,japan,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,21,1
Tue,16:37:02,oregon,japan,100.66.8.160,100.66.8.160,14,2
Tue,16:37:02,oregon,japan,100.66.10.206,100.66.10.206,13,3
Tue,16:37:02,oregon,japan,100.66.7.143,100.66.7.143,18,4
Tue,16:37:02,oregon,japan,100.66.4.43,100.66.4.43,15,5
Tue,16:37:02,oregon,japan,100.65.8.33,100.65.8.33,0,6
Tue,16:37:02,oregon,japan,52.93.15.222,52.93.15.222,96,7
Tue,16:37:02,oregon,japan,52.93.13.24,52.93.13.24,118,8
Tue,16:37:02,oregon,japan,52.93.13.47,52.93.13.47,96,9
Tue,16:37:02,oregon,japan,54.239.43.133,54.239.43.133,96,10
Tue,16:37:02,oregon,japan,54.239.41.160,54.239.41.160,97,11
Tue,16:37:02,oregon,japan,54.239.53.9,54.239.53.9,105,12
Tue,16:37:02,oregon,japan,54.239.53.94,54.239.53.94,96,13
Tue,16:37:02,oregon,japan,54.239.53.93,54.239.53.93,111,14
Tue,16:37:02,oregon,japan,54.239.53.20,54.239.53.20,104,15
Tue,16:37:02,oregon,japan,27.0.0.249,27.0.0.249,105,16
Tue,16:37:02,oregon,japan,52.95.30.29,52.95.30.29,106,17
Tue,16:37:02,oregon,japan,52.95.30.122,52.95.30.122,104,18
Tue,16:37:02,oregon,japan,52.95.30.220,52.95.30.220,104,19
Tue,16:37:02,oregon,japan,100.64.16.176,100.64.16.176,115,20
Tue,16:37:02,oregon,japan,100.64.1.198,100.64.1.198,124,21
Tue,16:37:02,oregon,japan,100.64.0.75,100.64.0.75,121,22
