Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:04:32,oregon,rwanda,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,13,1
Tue,16:04:32,oregon,rwanda,100.66.8.122,100.66.8.122,18,2
Tue,16:04:32,oregon,rwanda,100.66.10.44,100.66.10.44,14,3
Tue,16:04:32,oregon,rwanda,100.66.7.39,100.66.7.39,14,4
Tue,16:04:32,oregon,rwanda,100.66.4.145,100.66.4.145,12,5
Tue,16:04:32,oregon,rwanda,100.65.9.129,100.65.9.129,0,6
Tue,16:04:32,oregon,rwanda,52.93.13.72,52.93.13.72,1,7
Tue,16:04:32,oregon,rwanda,52.93.13.18,52.93.13.18,2,8
Tue,16:04:32,oregon,rwanda,52.93.12.49,52.93.12.49,1,9
Tue,16:04:32,oregon,rwanda,54.239.43.119,54.239.43.119,7,10
Tue,16:04:32,oregon,rwanda,54.239.42.220,54.239.42.220,8,11
Tue,16:04:32,oregon,rwanda,52.95.53.138,52.95.53.138,17,12
Tue,16:04:32,oregon,rwanda,10ge1-12.core1.sea1.he.net,216.218.230.133,7,13
Tue,16:04:32,oregon,rwanda,10ge1-12.core1.sea1.he.net,216.218.230.133,8,14
Tue,16:04:32,oregon,rwanda,100ge13-1.core2.chi1.he.net,184.105.223.177,53,15
Tue,16:04:32,oregon,rwanda,100ge16-1.core1.nyc4.he.net,184.105.223.162,64,16
Tue,16:04:32,oregon,rwanda,100ge7-2.core1.lon2.he.net,72.52.92.165,130,17
Tue,16:04:32,oregon,rwanda,100ge7-2.core1.lon2.he.net,72.52.92.165,131,18
Tue,16:04:32,oregon,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,135,19
Tue,16:04:32,oregon,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,136,20
Tue,16:04:32,oregon,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,242,21
Tue,16:04:32,oregon,rwanda,ten-0-2-1-0-p1-nbi.liquidtelecom.net,197.155.94.72,333,22
Tue,16:04:32,oregon,rwanda,ten-0-2-1-0-p1-nbi.liquidtelecom.net,197.155.94.72,336,23
Tue,16:04:32,oregon,rwanda,pos0-1-3-0.ltz-p1-dar.liquidtelecom.net,197.155.94.89,341,24
Tue,16:04:32,oregon,rwanda,pos1-1-1-0.lrw-pe2-kgl.liquidtelecom.net,197.155.94.86,334,25
Tue,16:04:32,oregon,rwanda,41.223.224.211,41.223.224.211,342,26
Tue,16:04:32,oregon,rwanda,41.223.224.211,41.223.224.211,342,27
Tue,16:04:32,oregon,rwanda,*,*,*,28
Tue,16:04:32,oregon,rwanda,*,*,*,29
Tue,16:04:32,oregon,rwanda,*,*,*,30
Tue,16:11:20,oregon,rwanda,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,32,1
Tue,16:11:20,oregon,rwanda,100.66.8.78,100.66.8.78,21,2
Tue,16:11:20,oregon,rwanda,100.66.11.44,100.66.11.44,16,3
Tue,16:11:20,oregon,rwanda,100.66.7.129,100.66.7.129,254,4
Tue,16:11:20,oregon,rwanda,100.66.4.57,100.66.4.57,22,5
Tue,16:11:20,oregon,rwanda,100.65.11.225,100.65.11.225,0,6
Tue,16:11:20,oregon,rwanda,52.93.15.218,52.93.15.218,3,7
Tue,16:11:20,oregon,rwanda,52.93.12.166,52.93.12.166,2,8
Tue,16:11:20,oregon,rwanda,52.93.12.199,52.93.12.199,1,9
Tue,16:11:20,oregon,rwanda,54.239.43.135,54.239.43.135,9,10
Tue,16:11:20,oregon,rwanda,52.95.52.194,52.95.52.194,15,11
Tue,16:11:20,oregon,rwanda,54.239.42.228,54.239.42.228,9,12
Tue,16:11:20,oregon,rwanda,52.95.52.113,52.95.52.113,7,13
Tue,16:11:20,oregon,rwanda,100ge4-2.core1.msp1.he.net,184.105.223.194,40,14
Tue,16:11:20,oregon,rwanda,100ge13-1.core2.chi1.he.net,184.105.223.177,48,15
Tue,16:11:20,oregon,rwanda,100ge13-1.core2.chi1.he.net,184.105.223.177,49,16
Tue,16:11:20,oregon,rwanda,100ge7-2.core1.lon2.he.net,72.52.92.165,153,17
Tue,16:11:20,oregon,rwanda,100ge7-2.core1.lon2.he.net,72.52.92.165,132,18
Tue,16:11:20,oregon,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,143,19
Tue,16:11:20,oregon,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,136,20
Tue,16:11:20,oregon,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,292,21
Tue,16:11:20,oregon,rwanda,ten-0-2-1-0-p1-nbi.liquidtelecom.net,197.155.94.72,335,22
Tue,16:11:20,oregon,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,291,23
Tue,16:11:20,oregon,rwanda,pos1-1-1-0.lrw-pe2-kgl.liquidtelecom.net,197.155.94.86,336,24
Tue,16:11:20,oregon,rwanda,41.223.224.211,41.223.224.211,343,25
Tue,16:11:20,oregon,rwanda,41.223.224.211,41.223.224.211,347,26
Tue,16:11:20,oregon,rwanda,197.243.126.30,197.243.126.30,332,27
Tue,16:11:20,oregon,rwanda,*,*,*,28
Tue,16:11:20,oregon,rwanda,*,*,*,29
Tue,16:11:20,oregon,rwanda,197.243.126.166,197.243.126.166,338,30
Tue,16:18:15,oregon,rwanda,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,22,1
Tue,16:18:15,oregon,rwanda,100.66.8.222,100.66.8.222,14,2
Tue,16:18:15,oregon,rwanda,100.66.11.236,100.66.11.236,20,3
Tue,16:18:15,oregon,rwanda,100.66.6.1,100.66.6.1,13,4
Tue,16:18:15,oregon,rwanda,100.66.4.135,100.66.4.135,18,5
