Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:19:02,oregon,ghana,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,19,1
Tue,16:19:02,oregon,ghana,100.66.8.170,100.66.8.170,22,2
Tue,16:19:02,oregon,ghana,100.66.11.108,100.66.11.108,12,3
Tue,16:19:02,oregon,ghana,100.66.6.225,100.66.6.225,46,4
Tue,16:19:02,oregon,ghana,100.66.4.95,100.66.4.95,22,5
Tue,16:19:02,oregon,ghana,100.65.8.193,100.65.8.193,1,6
Tue,16:19:02,oregon,ghana,205.251.232.166,205.251.232.166,1,7
Tue,16:19:02,oregon,ghana,52.93.13.60,52.93.13.60,31,8
Tue,16:19:02,oregon,ghana,52.93.12.49,52.93.12.49,1,9
Tue,16:19:02,oregon,ghana,54.239.43.137,54.239.43.137,9,10
Tue,16:19:02,oregon,ghana,52.95.53.150,52.95.53.150,9,11
Tue,16:19:02,oregon,ghana,52.95.52.90,52.95.52.90,8,12
Tue,16:19:02,oregon,ghana,52.95.52.113,52.95.52.113,8,13
Tue,16:19:02,oregon,ghana,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,9,14
Tue,16:19:02,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,147,15
Tue,16:19:02,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,149,16
Tue,16:19:02,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,148,17
Tue,16:19:02,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,138,18
Tue,16:19:02,oregon,ghana,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,139,19
Tue,16:19:02,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,148,20
Tue,16:19:02,oregon,ghana,if-ge-4-0-0.core4.LDN-London.as6453.net,80.231.62.26,148,21
Tue,16:19:02,oregon,ghana,*,*,*,22
Tue,16:19:02,oregon,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,246,23
Tue,16:19:02,oregon,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,247,24
