Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:19:11,oregon,kenya,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,90,1
Tue,16:19:11,oregon,kenya,100.66.8.8,100.66.8.8,21,2
Tue,16:19:11,oregon,kenya,100.66.11.42,100.66.11.42,15,3
Tue,16:19:11,oregon,kenya,100.66.7.97,100.66.7.97,180,4
Tue,16:19:11,oregon,kenya,100.66.4.89,100.66.4.89,20,5
Tue,16:19:11,oregon,kenya,100.65.11.65,100.65.11.65,1,6
Tue,16:19:11,oregon,kenya,205.251.232.166,205.251.232.166,1,7
Tue,16:19:11,oregon,kenya,52.93.12.172,52.93.12.172,3,8
Tue,16:19:11,oregon,kenya,52.93.13.13,52.93.13.13,3,9
Tue,16:19:11,oregon,kenya,54.239.42.195,54.239.42.195,7,10
Tue,16:19:11,oregon,kenya,52.95.53.4,52.95.53.4,13,11
Tue,16:19:11,oregon,kenya,52.95.52.196,52.95.52.196,13,12
Tue,16:19:11,oregon,kenya,52.95.52.183,52.95.52.183,7,13
Tue,16:19:11,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,14
Tue,16:19:11,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,15
Tue,16:19:11,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,258,16
Tue,16:19:11,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,260,17
Tue,16:19:11,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,266,18
Tue,16:19:11,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,265,19
Tue,16:19:11,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,258,20
Tue,16:19:11,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,267,21
Tue,16:19:11,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,269,22
Tue,16:19:11,oregon,kenya,if-ge-10-0-0.core1.N71-Fujairah.as6453.net,195.219.174.128,257,23
Tue,16:19:11,oregon,kenya,if-ge-10-0-0.core1.N71-Fujairah.as6453.net,195.219.174.128,257,24
Tue,16:19:11,oregon,kenya,if-ge-2-0-0.core1.N71-Fujairah.as6453.net,195.219.174.26,259,25
Tue,16:19:11,oregon,kenya,196.201.222.89,196.201.222.89,310,26
Tue,16:19:11,oregon,kenya,196.201.222.89,196.201.222.89,319,27
Tue,16:19:11,oregon,kenya,*,*,*,28
Tue,16:19:11,oregon,kenya,*,*,*,29
Tue,16:19:11,oregon,kenya,*,*,*,30
Tue,16:25:54,oregon,kenya,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,13,1
Tue,16:25:54,oregon,kenya,100.66.8.8,100.66.8.8,20,2
Tue,16:25:54,oregon,kenya,100.66.11.230,100.66.11.230,21,3
Tue,16:25:54,oregon,kenya,100.66.7.199,100.66.7.199,17,4
Tue,16:25:54,oregon,kenya,100.66.4.67,100.66.4.67,20,5
Tue,16:25:54,oregon,kenya,100.65.9.33,100.65.9.33,1,6
Tue,16:25:54,oregon,kenya,52.93.15.216,52.93.15.216,1,7
Tue,16:25:54,oregon,kenya,52.93.12.58,52.93.12.58,13,8
Tue,16:25:54,oregon,kenya,52.93.12.163,52.93.12.163,1,9
Tue,16:25:54,oregon,kenya,54.239.43.123,54.239.43.123,7,10
Tue,16:25:54,oregon,kenya,54.239.42.232,54.239.42.232,8,11
Tue,16:25:54,oregon,kenya,52.95.52.21,52.95.52.21,9,12
Tue,16:25:54,oregon,kenya,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,10,13
Tue,16:25:54,oregon,kenya,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,9,14
Tue,16:25:54,oregon,kenya,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Tue,16:25:54,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,259,16
Tue,16:25:54,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,259,17
Tue,16:25:54,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,274,18
Tue,16:25:54,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,265,19
Tue,16:25:54,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,266,20
Tue,16:25:54,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,267,21
Tue,16:25:54,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,268,22
Tue,16:25:54,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,260,23
Tue,16:25:54,oregon,kenya,if-ge-2-0-0.core1.N71-Fujairah.as6453.net,195.219.174.26,267,24
Tue,16:25:54,oregon,kenya,if-ge-10-0-0.core1.N71-Fujairah.as6453.net,195.219.174.128,257,25
Tue,16:25:54,oregon,kenya,195.219.174.18,195.219.174.18,309,26
Tue,16:25:54,oregon,kenya,196.201.222.166,196.201.222.166,315,27
Tue,16:25:54,oregon,kenya,*,*,*,28
Tue,16:25:54,oregon,kenya,*,*,*,29
Tue,16:25:54,oregon,kenya,*,*,*,30
Tue,16:32:38,oregon,kenya,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,37,1
Tue,16:32:38,oregon,kenya,100.66.8.10,100.66.8.10,15,2
Tue,16:32:38,oregon,kenya,100.66.10.34,100.66.10.34,16,3
Tue,16:32:38,oregon,kenya,100.66.7.11,100.66.7.11,19,4
Tue,16:32:38,oregon,kenya,100.66.4.31,100.66.4.31,19,5
Tue,16:32:38,oregon,kenya,100.65.8.97,100.65.8.97,1,6
Tue,16:32:38,oregon,kenya,52.93.13.74,52.93.13.74,1,7
Tue,16:32:38,oregon,kenya,52.93.12.244,52.93.12.244,16,8
Tue,16:32:38,oregon,kenya,52.93.12.235,52.93.12.235,1,9
Tue,16:32:38,oregon,kenya,54.239.43.137,54.239.43.137,7,10
Tue,16:32:38,oregon,kenya,54.239.42.230,54.239.42.230,9,11
Tue,16:32:38,oregon,kenya,52.95.52.56,52.95.52.56,8,12
Tue,16:32:38,oregon,kenya,52.95.53.1,52.95.53.1,8,13
Tue,16:32:38,oregon,kenya,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,18,14
Tue,16:32:38,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,258,15
Tue,16:32:38,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,259,16
Tue,16:32:38,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,265,17
Tue,16:32:38,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,265,18
Tue,16:32:38,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,266,19
Tue,16:32:38,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,258,20
Tue,16:32:38,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,268,21
Tue,16:32:38,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,174,22
Tue,16:32:38,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,260,23
Tue,16:32:38,oregon,kenya,if-ge-2-0-0.core1.N71-Fujairah.as6453.net,195.219.174.26,258,24
Tue,16:32:38,oregon,kenya,195.219.174.18,195.219.174.18,318,25
Tue,16:32:38,oregon,kenya,195.219.174.18,195.219.174.18,309,26
Tue,16:32:38,oregon,kenya,196.201.222.166,196.201.222.166,322,27
Tue,16:32:38,oregon,kenya,*,*,*,28
Tue,16:32:38,oregon,kenya,*,*,*,29
Tue,16:32:38,oregon,kenya,*,*,*,30
Tue,16:39:26,oregon,kenya,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,16,1
Tue,16:39:26,oregon,kenya,100.66.8.30,100.66.8.30,18,2
Tue,16:39:26,oregon,kenya,100.66.10.110,100.66.10.110,21,3
Tue,16:39:26,oregon,kenya,100.66.7.15,100.66.7.15,14,4
Tue,16:39:26,oregon,kenya,100.66.4.95,100.66.4.95,18,5
Tue,16:39:26,oregon,kenya,100.65.10.161,100.65.10.161,1,6
Tue,16:39:26,oregon,kenya,52.93.13.74,52.93.13.74,1,7
Tue,16:39:26,oregon,kenya,52.93.12.58,52.93.12.58,3,8
Tue,16:39:26,oregon,kenya,52.93.12.91,52.93.12.91,1,9
Tue,16:39:26,oregon,kenya,54.239.43.127,54.239.43.127,8,10
Tue,16:39:26,oregon,kenya,52.95.52.128,52.95.52.128,13,11
Tue,16:39:26,oregon,kenya,52.95.52.192,52.95.52.192,11,12
Tue,16:39:26,oregon,kenya,ae-13.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.165,8,13
Tue,16:39:26,oregon,kenya,ae-8.r04.sttlwa01.us.bb.gin.ntt.net,198.104.202.189,9,14
Tue,16:39:26,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,258,15
Tue,16:39:26,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,258,16
Tue,16:39:26,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,258,17
Tue,16:39:26,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,259,18
Tue,16:39:26,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,260,19
Tue,16:39:26,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,266,20
Tue,16:39:26,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,267,21
Tue,16:39:26,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,260,22
Tue,16:39:26,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,176,23
Tue,16:39:26,oregon,kenya,if-ge-10-0-0.core1.N71-Fujairah.as6453.net,195.219.174.128,256,24
Tue,16:39:26,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,168,25
Tue,16:39:26,oregon,kenya,195.219.174.18,195.219.174.18,311,26
Tue,16:39:26,oregon,kenya,*,*,*,27
Tue,16:39:26,oregon,kenya,*,*,*,28
Tue,16:39:26,oregon,kenya,*,*,*,29
Tue,16:39:26,oregon,kenya,*,*,*,30
Tue,16:46:00,oregon,kenya,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,16,1
Tue,16:46:00,oregon,kenya,100.66.8.254,100.66.8.254,20,2
Tue,16:46:00,oregon,kenya,100.66.11.6,100.66.11.6,19,3
Tue,16:46:00,oregon,kenya,100.66.7.233,100.66.7.233,20,4
Tue,16:46:00,oregon,kenya,100.66.4.15,100.66.4.15,12,5
Tue,16:46:00,oregon,kenya,100.65.10.161,100.65.10.161,1,6
Tue,16:46:00,oregon,kenya,52.93.15.216,52.93.15.216,1,7
Tue,16:46:00,oregon,kenya,52.93.12.100,52.93.12.100,3,8
Tue,16:46:00,oregon,kenya,52.93.12.125,52.93.12.125,2,9
Tue,16:46:00,oregon,kenya,54.239.43.127,54.239.43.127,7,10
Tue,16:46:00,oregon,kenya,54.239.42.228,54.239.42.228,8,11
Tue,16:46:00,oregon,kenya,52.95.52.22,52.95.52.22,12,12
Tue,16:46:00,oregon,kenya,52.95.52.191,52.95.52.191,7,13
Tue,16:46:00,oregon,kenya,ae-14.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.169,9,14
Tue,16:46:00,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,9,15
Tue,16:46:00,oregon,kenya,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,16
Tue,16:46:00,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,261,17
Tue,16:46:00,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,277,18
Tue,16:46:00,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,267,19
Tue,16:46:00,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,259,20
Tue,16:46:00,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,268,21
Tue,16:46:00,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,268,22
Tue,16:46:00,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,167,23
Tue,16:46:00,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,167,24
Tue,16:46:00,oregon,kenya,if-ge-10-0-0.core1.N71-Fujairah.as6453.net,195.219.174.128,258,25
