Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:19:27,oregon,rwanda,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,15,1
Tue,16:19:27,oregon,rwanda,100.66.8.116,100.66.8.116,31,2
Tue,16:19:27,oregon,rwanda,100.66.10.132,100.66.10.132,20,3
Tue,16:19:27,oregon,rwanda,100.66.6.65,100.66.6.65,13,4
Tue,16:19:27,oregon,rwanda,100.66.4.219,100.66.4.219,21,5
Tue,16:19:27,oregon,rwanda,100.65.10.1,100.65.10.1,1,6
Tue,16:19:27,oregon,rwanda,52.93.13.74,52.93.13.74,1,7
Tue,16:19:27,oregon,rwanda,52.93.13.24,52.93.13.24,31,8
Tue,16:19:27,oregon,rwanda,52.93.12.233,52.93.12.233,1,9
Tue,16:19:27,oregon,rwanda,54.239.43.123,54.239.43.123,7,10
Tue,16:19:27,oregon,rwanda,54.239.43.133,54.239.43.133,8,11
Tue,16:19:27,oregon,rwanda,52.95.53.130,52.95.53.130,14,12
Tue,16:19:27,oregon,rwanda,52.95.52.45,52.95.52.45,8,13
Tue,16:19:27,oregon,rwanda,100ge4-2.core1.msp1.he.net,184.105.223.194,49,14
Tue,16:19:27,oregon,rwanda,100ge4-2.core1.msp1.he.net,184.105.223.194,50,15
Tue,16:19:27,oregon,rwanda,100ge13-1.core2.chi1.he.net,184.105.223.177,122,16
Tue,16:19:27,oregon,rwanda,100ge16-1.core1.nyc4.he.net,184.105.223.162,74,17
Tue,16:19:27,oregon,rwanda,100ge7-2.core1.lon2.he.net,72.52.92.165,171,18
Tue,16:19:27,oregon,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,144,19
Tue,16:19:27,oregon,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,136,20
Tue,16:19:27,oregon,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,293,21
Tue,16:19:27,oregon,rwanda,197.155.94.168.liquidtelecom.net,197.155.94.168,316,22
Tue,16:19:27,oregon,rwanda,197.155.94.168.liquidtelecom.net,197.155.94.168,315,23
Tue,16:19:27,oregon,rwanda,teng0-1-1-0-p1-nbi.liquidtelecom.net,197.155.94.18,316,24
Tue,16:19:27,oregon,rwanda,teng0-1-1-0-p1-nbi.liquidtelecom.net,197.155.94.18,314,25
Tue,16:19:27,oregon,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,313,26
Tue,16:19:27,oregon,rwanda,197.243.126.30,197.243.126.30,317,27
Tue,16:19:27,oregon,rwanda,*,*,*,28
Tue,16:19:27,oregon,rwanda,*,*,*,29
Tue,16:19:27,oregon,rwanda,197.243.126.166,197.243.126.166,311,30
Tue,16:26:04,oregon,rwanda,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,17,1
Tue,16:26:04,oregon,rwanda,100.66.8.194,100.66.8.194,15,2
Tue,16:26:04,oregon,rwanda,100.66.10.194,100.66.10.194,20,3
Tue,16:26:04,oregon,rwanda,100.66.6.103,100.66.6.103,20,4
Tue,16:26:04,oregon,rwanda,100.66.4.195,100.66.4.195,21,5
Tue,16:26:04,oregon,rwanda,100.65.8.1,100.65.8.1,1,6
