Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:19:51,oregon,uganda,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,19,1
Tue,16:19:51,oregon,uganda,100.66.8.88,100.66.8.88,16,2
Tue,16:19:51,oregon,uganda,100.66.10.166,100.66.10.166,18,3
Tue,16:19:51,oregon,uganda,100.66.6.143,100.66.6.143,21,4
Tue,16:19:51,oregon,uganda,100.66.4.213,100.66.4.213,18,5
Tue,16:19:51,oregon,uganda,100.65.10.1,100.65.10.1,3,6
Tue,16:19:51,oregon,uganda,52.93.15.220,52.93.15.220,1,7
Tue,16:19:51,oregon,uganda,52.93.13.24,52.93.13.24,32,8
Tue,16:19:51,oregon,uganda,52.93.12.91,52.93.12.91,2,9
Tue,16:19:51,oregon,uganda,54.239.43.133,54.239.43.133,8,10
Tue,16:19:51,oregon,uganda,54.239.42.230,54.239.42.230,9,11
Tue,16:19:51,oregon,uganda,52.95.52.226,52.95.52.226,14,12
Tue,16:19:51,oregon,uganda,52.95.52.51,52.95.52.51,7,13
Tue,16:19:51,oregon,uganda,sea-b2-link.telia.net,62.115.115.3,7,14
Tue,16:19:51,oregon,uganda,sea-b2-link.telia.net,62.115.115.3,9,15
Tue,16:19:51,oregon,uganda,nyk-bb3-link.telia.net,62.115.124.244,73,16
Tue,16:19:51,oregon,uganda,ldn-bb2-link.telia.net,62.115.124.167,142,17
Tue,16:19:51,oregon,uganda,ldn-bb2-link.telia.net,80.91.248.253,144,18
Tue,16:19:51,oregon,uganda,ldn-b1-link.telia.net,62.115.115.11,142,19
Tue,16:19:51,oregon,uganda,ldn-b1-link.telia.net,62.115.115.11,142,20
Tue,16:19:51,oregon,uganda,182.79.179.150,182.79.179.150,186,21
Tue,16:19:51,oregon,uganda,61.246.168.114,61.246.168.114,455,22
Tue,16:19:51,oregon,uganda,41.84.193.82,41.84.193.82,459,23
Tue,16:19:51,oregon,uganda,41.84.193.82,41.84.193.82,461,24
Tue,16:19:51,oregon,uganda,41.84.196.194,41.84.196.194,463,25
Tue,16:19:51,oregon,uganda,196.0.1.13,196.0.1.13,417,26
Tue,16:19:51,oregon,uganda,webhost2.utlonline.co.ug,196.0.3.3,554,27
Tue,16:26:39,oregon,uganda,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,17,1
Tue,16:26:39,oregon,uganda,100.66.8.210,100.66.8.210,12,2
Tue,16:26:39,oregon,uganda,100.66.11.36,100.66.11.36,16,3
Tue,16:26:39,oregon,uganda,100.66.6.169,100.66.6.169,19,4
Tue,16:26:39,oregon,uganda,100.66.4.103,100.66.4.103,22,5
Tue,16:26:39,oregon,uganda,100.65.8.65,100.65.8.65,1,6
Tue,16:26:39,oregon,uganda,52.93.15.220,52.93.15.220,1,7
Tue,16:26:39,oregon,uganda,52.93.12.94,52.93.12.94,6,8
Tue,16:26:39,oregon,uganda,52.93.12.117,52.93.12.117,1,9
Tue,16:26:39,oregon,uganda,54.239.43.133,54.239.43.133,8,10
Tue,16:26:39,oregon,uganda,54.239.42.255,54.239.42.255,9,11
Tue,16:26:39,oregon,uganda,52.95.52.230,52.95.52.230,9,12
Tue,16:26:39,oregon,uganda,52.95.52.55,52.95.52.55,8,13
Tue,16:26:39,oregon,uganda,sea-b1-link.telia.net,62.115.34.105,7,14
Tue,16:26:39,oregon,uganda,sea-b2-link.telia.net,62.115.115.3,9,15
Tue,16:26:39,oregon,uganda,nyk-bb3-link.telia.net,62.115.124.242,73,16
Tue,16:26:39,oregon,uganda,nyk-bb4-link.telia.net,62.115.124.252,74,17
Tue,16:26:39,oregon,uganda,ldn-b1-link.telia.net,62.115.143.27,143,18
Tue,16:26:39,oregon,uganda,bhartiairtel-ic-316564-ldn-b1.c.telia.net,213.248.72.138,180,19
Tue,16:26:39,oregon,uganda,bhartiairtel-ic-316564-ldn-b1.c.telia.net,213.248.72.138,181,20
Tue,16:26:39,oregon,uganda,*,*,*,21
Tue,16:26:39,oregon,uganda,61.246.168.114,61.246.168.114,455,22
Tue,16:26:39,oregon,uganda,61.246.168.114,61.246.168.114,457,23
Tue,16:26:39,oregon,uganda,41.84.193.82,41.84.193.82,462,24
Tue,16:26:39,oregon,uganda,41.84.193.82,41.84.193.82,461,25
Tue,16:26:39,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,559,26
Tue,16:26:39,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,559,27
Tue,16:26:39,oregon,uganda,webhost2.utlonline.co.ug,196.0.3.3,554,28
Tue,16:33:34,oregon,uganda,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,13,1
Tue,16:33:34,oregon,uganda,100.66.8.50,100.66.8.50,13,2
Tue,16:33:34,oregon,uganda,100.66.11.40,100.66.11.40,14,3
Tue,16:33:34,oregon,uganda,100.66.7.13,100.66.7.13,18,4
Tue,16:33:34,oregon,uganda,100.66.4.95,100.66.4.95,16,5
Tue,16:33:34,oregon,uganda,100.65.9.225,100.65.9.225,1,6
Tue,16:33:34,oregon,uganda,52.93.15.216,52.93.15.216,1,7
Tue,16:33:34,oregon,uganda,52.93.12.58,52.93.12.58,3,8
Tue,16:33:34,oregon,uganda,52.93.12.87,52.93.12.87,1,9
Tue,16:33:34,oregon,uganda,52.93.15.83,52.93.15.83,8,10
Tue,16:33:34,oregon,uganda,52.95.53.130,52.95.53.130,17,11
Tue,16:33:34,oregon,uganda,52.95.52.117,52.95.52.117,8,12
Tue,16:33:34,oregon,uganda,52.95.53.8,52.95.53.8,18,13
Tue,16:33:34,oregon,uganda,sea-b1-link.telia.net,213.248.84.189,8,14
Tue,16:33:34,oregon,uganda,chi-b21-link.telia.net,62.115.117.49,51,15
Tue,16:33:34,oregon,uganda,nyk-bb3-link.telia.net,62.115.124.244,72,16
Tue,16:33:34,oregon,uganda,nyk-bb3-link.telia.net,62.115.124.240,73,17
Tue,16:33:34,oregon,uganda,ldn-bb2-link.telia.net,62.115.124.165,143,18
Tue,16:33:34,oregon,uganda,ldn-b1-link.telia.net,62.115.115.13,143,19
Tue,16:33:34,oregon,uganda,ldn-b1-link.telia.net,62.115.115.13,142,20
Tue,16:33:34,oregon,uganda,*,*,*,21
Tue,16:33:34,oregon,uganda,61.246.168.114,61.246.168.114,455,22
Tue,16:33:34,oregon,uganda,61.246.168.114,61.246.168.114,457,23
Tue,16:33:34,oregon,uganda,41.84.193.82,41.84.193.82,461,24
Tue,16:33:34,oregon,uganda,41.84.196.194,41.84.196.194,463,25
Tue,16:33:34,oregon,uganda,196.0.1.13,196.0.1.13,419,26
Tue,16:33:34,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,555,27
Tue,16:40:09,oregon,uganda,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,18,1
Tue,16:40:09,oregon,uganda,100.66.8.168,100.66.8.168,3,2
Tue,16:40:09,oregon,uganda,100.66.10.142,100.66.10.142,21,3
Tue,16:40:09,oregon,uganda,100.66.6.69,100.66.6.69,16,4
Tue,16:40:09,oregon,uganda,100.66.4.149,100.66.4.149,13,5
Tue,16:40:09,oregon,uganda,100.65.11.65,100.65.11.65,2,6
Tue,16:40:09,oregon,uganda,52.93.15.218,52.93.15.218,1,7
Tue,16:40:09,oregon,uganda,52.93.12.166,52.93.12.166,10,8
Tue,16:40:09,oregon,uganda,52.93.12.189,52.93.12.189,1,9
Tue,16:40:09,oregon,uganda,54.239.43.131,54.239.43.131,9,10
Tue,16:40:09,oregon,uganda,52.95.53.152,52.95.53.152,14,11
Tue,16:40:09,oregon,uganda,52.95.53.148,52.95.53.148,10,12
Tue,16:40:09,oregon,uganda,52.95.52.155,52.95.52.155,9,13
Tue,16:40:09,oregon,uganda,52.95.52.121,52.95.52.121,9,14
Tue,16:40:09,oregon,uganda,sea-b2-link.telia.net,62.115.115.3,8,15
Tue,16:40:09,oregon,uganda,chi-b21-link.telia.net,62.115.116.141,51,16
Tue,16:40:09,oregon,uganda,nyk-bb3-link.telia.net,62.115.124.232,73,17
Tue,16:40:09,oregon,uganda,ldn-b1-link.telia.net,62.115.143.27,143,18
Tue,16:40:09,oregon,uganda,ldn-b1-link.telia.net,62.115.143.27,144,19
Tue,16:40:09,oregon,uganda,bhartiairtel-ic-316564-ldn-b1.c.telia.net,213.248.72.138,182,20
Tue,16:40:09,oregon,uganda,125.62.187.189,125.62.187.189,182,21
Tue,16:40:09,oregon,uganda,61.246.168.114,61.246.168.114,456,22
Tue,16:40:09,oregon,uganda,61.246.168.114,61.246.168.114,457,23
Tue,16:40:09,oregon,uganda,41.84.193.82,41.84.193.82,462,24
Tue,16:40:09,oregon,uganda,41.84.196.194,41.84.196.194,463,25
Tue,16:40:09,oregon,uganda,196.0.1.13,196.0.1.13,420,26
Tue,16:40:09,oregon,uganda,webhost2.utlonline.co.ug,196.0.3.3,555,27
Tue,16:46:48,oregon,uganda,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,17,1
Tue,16:46:48,oregon,uganda,100.66.8.164,100.66.8.164,58,2
Tue,16:46:48,oregon,uganda,100.66.10.140,100.66.10.140,13,3
Tue,16:46:48,oregon,uganda,100.66.6.139,100.66.6.139,18,4
Tue,16:46:48,oregon,uganda,100.66.4.185,100.66.4.185,19,5
Tue,16:46:48,oregon,uganda,100.65.10.193,100.65.10.193,1,6
Tue,16:46:48,oregon,uganda,54.239.48.176,54.239.48.176,1,7
Tue,16:46:48,oregon,uganda,52.93.12.208,52.93.12.208,2,8
Tue,16:46:48,oregon,uganda,52.93.12.161,52.93.12.161,4,9
Tue,16:46:48,oregon,uganda,54.239.42.195,54.239.42.195,8,10
Tue,16:46:48,oregon,uganda,52.95.53.152,52.95.53.152,14,11
Tue,16:46:48,oregon,uganda,52.95.52.60,52.95.52.60,18,12
Tue,16:46:48,oregon,uganda,sea-b1-link.telia.net,62.115.46.1,7,13
Tue,16:46:48,oregon,uganda,sea-b2-link.telia.net,62.115.115.3,14,14
Tue,16:46:48,oregon,uganda,chi-b21-link.telia.net,62.115.116.141,50,15
Tue,16:46:48,oregon,uganda,chi-b21-link.telia.net,62.115.117.49,52,16
Tue,16:46:48,oregon,uganda,chi-b21-link.telia.net,62.115.117.49,52,17
Tue,16:46:48,oregon,uganda,ldn-b1-link.telia.net,62.115.143.27,142,18
Tue,16:46:48,oregon,uganda,ldn-b1-link.telia.net,62.115.143.27,143,19
