Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:27:22,oregon,congo_DR,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,17,1
Wed,15:27:22,oregon,congo_DR,100.66.8.130,100.66.8.130,19,2
Wed,15:27:22,oregon,congo_DR,100.66.10.226,100.66.10.226,17,3
Wed,15:27:22,oregon,congo_DR,100.66.7.105,100.66.7.105,18,4
Wed,15:27:22,oregon,congo_DR,100.66.4.163,100.66.4.163,21,5
Wed,15:27:22,oregon,congo_DR,100.65.11.1,100.65.11.1,0,6
Wed,15:27:22,oregon,congo_DR,205.251.232.254,205.251.232.254,1,7
Wed,15:27:22,oregon,congo_DR,52.93.12.202,52.93.12.202,23,8
Wed,15:27:22,oregon,congo_DR,52.93.12.189,52.93.12.189,1,9
Wed,15:27:22,oregon,congo_DR,54.239.43.131,54.239.43.131,8,10
Wed,15:27:22,oregon,congo_DR,54.239.42.216,54.239.42.216,18,11
Wed,15:27:22,oregon,congo_DR,52.95.52.119,52.95.52.119,8,12
Wed,15:27:22,oregon,congo_DR,52.95.53.130,52.95.53.130,15,13
Wed,15:27:22,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,29,14
Wed,15:27:22,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,31,15
Wed,15:27:22,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,32,16
Wed,15:27:22,oregon,congo_DR,216.51.74.158,216.51.74.158,76,17
Wed,15:27:22,oregon,congo_DR,216.51.74.158,216.51.74.158,76,18
Wed,15:27:22,oregon,congo_DR,162-144-240-141.unifiedlayer.com,162.144.240.141,33,19
Wed,15:27:22,oregon,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,33,20
Wed,15:27:22,oregon,congo_DR,just57.justhost.com,173.254.28.57,33,21
Wed,15:34:14,oregon,congo_DR,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,14,1
Wed,15:34:14,oregon,congo_DR,100.66.8.226,100.66.8.226,18,2
Wed,15:34:14,oregon,congo_DR,100.66.11.136,100.66.11.136,13,3
Wed,15:34:14,oregon,congo_DR,100.66.6.203,100.66.6.203,18,4
Wed,15:34:14,oregon,congo_DR,100.66.4.91,100.66.4.91,15,5
Wed,15:34:14,oregon,congo_DR,100.65.11.97,100.65.11.97,0,6
Wed,15:34:14,oregon,congo_DR,52.93.15.222,52.93.15.222,1,7
Wed,15:34:14,oregon,congo_DR,52.93.13.60,52.93.13.60,14,8
Wed,15:34:14,oregon,congo_DR,52.93.12.123,52.93.12.123,1,9
Wed,15:34:14,oregon,congo_DR,54.239.43.131,54.239.43.131,8,10
Wed,15:34:14,oregon,congo_DR,54.239.42.230,54.239.42.230,8,11
