Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:27:24,oregon,ghana,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,17,1
Wed,15:27:24,oregon,ghana,100.66.8.182,100.66.8.182,22,2
Wed,15:27:24,oregon,ghana,100.66.11.238,100.66.11.238,21,3
Wed,15:27:24,oregon,ghana,100.66.7.101,100.66.7.101,19,4
Wed,15:27:24,oregon,ghana,100.66.4.153,100.66.4.153,11,5
Wed,15:27:24,oregon,ghana,100.65.10.193,100.65.10.193,0,6
Wed,15:27:24,oregon,ghana,52.93.15.222,52.93.15.222,1,7
Wed,15:27:24,oregon,ghana,52.93.12.208,52.93.12.208,16,8
Wed,15:27:24,oregon,ghana,52.93.12.225,52.93.12.225,1,9
Wed,15:27:24,oregon,ghana,54.239.43.121,54.239.43.121,7,10
Wed,15:27:24,oregon,ghana,54.239.42.230,54.239.42.230,8,11
Wed,15:27:24,oregon,ghana,52.95.52.215,52.95.52.215,8,12
Wed,15:27:24,oregon,ghana,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,8,13
Wed,15:27:24,oregon,ghana,ae-13.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.165,9,14
Wed,15:27:24,oregon,ghana,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,15
Wed,15:27:24,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,147,16
Wed,15:27:24,oregon,ghana,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,147,17
Wed,15:27:24,oregon,ghana,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,146,18
Wed,15:27:24,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,140,19
Wed,15:27:24,oregon,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,146,20
Wed,15:27:24,oregon,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,147,21
Wed,15:27:24,oregon,ghana,*,*,*,22
Wed,15:27:24,oregon,ghana,*,*,*,23
Wed,15:27:24,oregon,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,238,24
Wed,15:27:24,oregon,ghana,197.255.127.2,197.255.127.2,247,25
Wed,15:27:24,oregon,ghana,197.255.125.213,197.255.125.213,249,26
Wed,15:34:16,oregon,ghana,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,11,1
Wed,15:34:16,oregon,ghana,100.66.8.220,100.66.8.220,13,2
Wed,15:34:16,oregon,ghana,100.66.11.102,100.66.11.102,12,3
Wed,15:34:16,oregon,ghana,100.66.6.41,100.66.6.41,16,4
Wed,15:34:16,oregon,ghana,100.66.4.253,100.66.4.253,14,5
Wed,15:34:16,oregon,ghana,100.65.9.33,100.65.9.33,0,6
Wed,15:34:16,oregon,ghana,52.93.15.218,52.93.15.218,1,7
Wed,15:34:16,oregon,ghana,52.93.13.24,52.93.13.24,3,8
Wed,15:34:16,oregon,ghana,52.93.13.5,52.93.13.5,1,9
Wed,15:34:16,oregon,ghana,54.239.43.133,54.239.43.133,8,10
Wed,15:34:16,oregon,ghana,54.239.42.230,54.239.42.230,8,11
Wed,15:34:16,oregon,ghana,52.95.52.230,52.95.52.230,10,12
Wed,15:34:16,oregon,ghana,52.95.52.217,52.95.52.217,8,13
Wed,15:34:16,oregon,ghana,ae-14.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.169,8,14
Wed,15:34:16,oregon,ghana,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,15
Wed,15:34:16,oregon,ghana,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,16
Wed,15:34:16,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,148,17
Wed,15:34:16,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,139,18
Wed,15:34:16,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,140,19
