Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:27:56,oregon,rwanda,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,24,1
Wed,15:27:56,oregon,rwanda,100.66.8.102,100.66.8.102,18,2
Wed,15:27:56,oregon,rwanda,100.66.10.166,100.66.10.166,19,3
Wed,15:27:56,oregon,rwanda,100.66.7.79,100.66.7.79,21,4
Wed,15:27:56,oregon,rwanda,100.66.4.217,100.66.4.217,21,5
Wed,15:27:56,oregon,rwanda,100.65.9.161,100.65.9.161,0,6
Wed,15:27:56,oregon,rwanda,205.251.232.254,205.251.232.254,1,7
Wed,15:27:56,oregon,rwanda,52.93.12.130,52.93.12.130,2,8
Wed,15:27:56,oregon,rwanda,52.93.12.235,52.93.12.235,1,9
Wed,15:27:56,oregon,rwanda,54.239.43.133,54.239.43.133,9,10
Wed,15:27:56,oregon,rwanda,54.239.42.222,54.239.42.222,7,11
Wed,15:27:56,oregon,rwanda,52.95.52.198,52.95.52.198,9,12
Wed,15:27:56,oregon,rwanda,10ge1-12.core1.sea1.he.net,216.218.230.133,7,13
Wed,15:27:56,oregon,rwanda,10ge1-12.core1.sea1.he.net,216.218.230.133,8,14
Wed,15:27:56,oregon,rwanda,100ge13-1.core2.chi1.he.net,184.105.223.177,57,15
Wed,15:27:56,oregon,rwanda,100ge16-1.core1.nyc4.he.net,184.105.223.162,74,16
Wed,15:27:56,oregon,rwanda,100ge16-1.core1.nyc4.he.net,184.105.223.162,74,17
Wed,15:27:56,oregon,rwanda,100ge7-2.core1.lon2.he.net,72.52.92.165,132,18
Wed,15:27:56,oregon,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,134,19
Wed,15:27:56,oregon,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,240,20
Wed,15:27:56,oregon,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,240,21
Wed,15:27:56,oregon,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,293,22
