Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:28:32,oregon,uganda,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,21,1
Wed,15:28:32,oregon,uganda,100.66.8.240,100.66.8.240,20,2
Wed,15:28:32,oregon,uganda,100.66.10.32,100.66.10.32,14,3
Wed,15:28:32,oregon,uganda,100.66.7.225,100.66.7.225,17,4
Wed,15:28:32,oregon,uganda,100.66.4.101,100.66.4.101,21,5
Wed,15:28:32,oregon,uganda,100.65.10.129,100.65.10.129,0,6
Wed,15:28:32,oregon,uganda,205.251.232.254,205.251.232.254,1,7
Wed,15:28:32,oregon,uganda,52.93.12.238,52.93.12.238,38,8
Wed,15:28:32,oregon,uganda,52.93.12.45,52.93.12.45,1,9
Wed,15:28:32,oregon,uganda,54.239.43.135,54.239.43.135,8,10
Wed,15:28:32,oregon,uganda,54.239.42.214,54.239.42.214,8,11
Wed,15:28:32,oregon,uganda,52.95.52.228,52.95.52.228,13,12
Wed,15:28:32,oregon,uganda,52.95.52.251,52.95.52.251,8,13
Wed,15:28:32,oregon,uganda,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,8,14
Wed,15:28:32,oregon,uganda,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Wed,15:28:32,oregon,uganda,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,73,16
Wed,15:28:32,oregon,uganda,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,74,17
Wed,15:28:32,oregon,uganda,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,73,18
Wed,15:28:32,oregon,uganda,if-ae-8-2.tcore1.NTO-New-York.as6453.net,63.243.128.69,74,19
Wed,15:28:32,oregon,uganda,*,*,*,20
Wed,15:28:32,oregon,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,73,21
Wed,15:28:32,oregon,uganda,216.6.90.70,216.6.90.70,142,22
Wed,15:28:32,oregon,uganda,216.6.90.70,216.6.90.70,143,23
Wed,15:28:32,oregon,uganda,125.62.187.189,125.62.187.189,144,24
Wed,15:28:32,oregon,uganda,41.84.192.17,41.84.192.17,412,25
Wed,15:28:32,oregon,uganda,41.84.196.194,41.84.196.194,413,26
Wed,15:28:32,oregon,uganda,41.84.196.194,41.84.196.194,416,27
Wed,15:28:32,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,361,28
Wed,15:28:32,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,366,29
Wed,15:35:21,oregon,uganda,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,15,1
Wed,15:35:21,oregon,uganda,100.66.8.218,100.66.8.218,13,2
Wed,15:35:21,oregon,uganda,100.66.11.14,100.66.11.14,17,3
Wed,15:35:21,oregon,uganda,100.66.6.239,100.66.6.239,20,4
Wed,15:35:21,oregon,uganda,100.66.4.11,100.66.4.11,15,5
Wed,15:35:21,oregon,uganda,100.65.11.97,100.65.11.97,0,6
Wed,15:35:21,oregon,uganda,52.93.15.216,52.93.15.216,1,7
Wed,15:35:21,oregon,uganda,52.93.12.172,52.93.12.172,24,8
Wed,15:35:21,oregon,uganda,52.93.12.163,52.93.12.163,1,9
Wed,15:35:21,oregon,uganda,52.93.15.83,52.93.15.83,7,10
Wed,15:35:21,oregon,uganda,54.239.43.129,54.239.43.129,7,11
Wed,15:35:21,oregon,uganda,52.95.52.228,52.95.52.228,14,12
Wed,15:35:21,oregon,uganda,52.95.52.85,52.95.52.85,9,13
Wed,15:35:21,oregon,uganda,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,9,14
Wed,15:35:21,oregon,uganda,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Wed,15:35:21,oregon,uganda,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,74,16
Wed,15:35:21,oregon,uganda,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,76,17
Wed,15:35:21,oregon,uganda,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,79,18
Wed,15:35:21,oregon,uganda,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,74,19
Wed,15:35:21,oregon,uganda,if-ae-8-2.tcore1.NTO-New-York.as6453.net,63.243.128.69,74,20
Wed,15:35:21,oregon,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,72,21
Wed,15:35:21,oregon,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,74,22
Wed,15:35:21,oregon,uganda,216.6.90.70,216.6.90.70,159,23
Wed,15:35:21,oregon,uganda,182.79.245.77,182.79.245.77,142,24
Wed,15:35:21,oregon,uganda,61.246.168.114,61.246.168.114,405,25
Wed,15:35:21,oregon,uganda,41.84.192.17,41.84.192.17,414,26
Wed,15:35:21,oregon,uganda,41.84.196.194,41.84.196.194,413,27
Wed,15:35:21,oregon,uganda,196.0.1.13,196.0.1.13,372,28
Wed,15:35:21,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,364,29
Wed,15:35:21,oregon,uganda,webhost2.utlonline.co.ug,196.0.3.3,369,30
Wed,15:41:46,oregon,uganda,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,8,1
Wed,15:41:46,oregon,uganda,100.66.8.250,100.66.8.250,18,2
Wed,15:41:46,oregon,uganda,100.66.11.138,100.66.11.138,20,3
Wed,15:41:46,oregon,uganda,100.66.7.167,100.66.7.167,19,4
Wed,15:41:46,oregon,uganda,100.66.4.221,100.66.4.221,18,5
Wed,15:41:46,oregon,uganda,100.65.10.65,100.65.10.65,0,6
Wed,15:41:46,oregon,uganda,52.93.13.72,52.93.13.72,1,7
Wed,15:41:46,oregon,uganda,52.93.12.58,52.93.12.58,2,8
Wed,15:41:46,oregon,uganda,52.93.13.5,52.93.13.5,1,9
Wed,15:41:46,oregon,uganda,54.239.43.135,54.239.43.135,7,10
Wed,15:41:46,oregon,uganda,54.239.42.214,54.239.42.214,8,11
Wed,15:41:46,oregon,uganda,52.95.53.130,52.95.53.130,15,12
Wed,15:41:46,oregon,uganda,52.95.52.113,52.95.52.113,7,13
Wed,15:41:46,oregon,uganda,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,14
Wed,15:41:46,oregon,uganda,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,15
Wed,15:41:46,oregon,uganda,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,74,16
Wed,15:41:46,oregon,uganda,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,75,17
Wed,15:41:46,oregon,uganda,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,74,18
Wed,15:41:46,oregon,uganda,*,*,*,19
Wed,15:41:46,oregon,uganda,*,*,*,20
Wed,15:41:46,oregon,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,73,21
Wed,15:41:46,oregon,uganda,216.6.90.70,216.6.90.70,157,22
Wed,15:41:46,oregon,uganda,216.6.90.70,216.6.90.70,157,23
Wed,15:41:46,oregon,uganda,182.79.245.77,182.79.245.77,143,24
Wed,15:41:46,oregon,uganda,61.246.168.114,61.246.168.114,407,25
Wed,15:41:46,oregon,uganda,41.84.192.17,41.84.192.17,413,26
Wed,15:41:46,oregon,uganda,41.84.196.194,41.84.196.194,413,27
Wed,15:41:46,oregon,uganda,196.0.1.13,196.0.1.13,370,28
Wed,15:41:46,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,361,29
Wed,15:41:46,oregon,uganda,webhost2.utlonline.co.ug,196.0.3.3,370,30
Wed,15:48:28,oregon,uganda,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,13,1
Wed,15:48:28,oregon,uganda,100.66.8.26,100.66.8.26,18,2
Wed,15:48:28,oregon,uganda,100.66.10.64,100.66.10.64,20,3
Wed,15:48:28,oregon,uganda,100.66.7.9,100.66.7.9,22,4
Wed,15:48:28,oregon,uganda,100.66.4.187,100.66.4.187,6,5
Wed,15:48:28,oregon,uganda,100.65.9.97,100.65.9.97,0,6
Wed,15:48:28,oregon,uganda,52.93.15.218,52.93.15.218,3,7
Wed,15:48:28,oregon,uganda,52.93.12.136,52.93.12.136,17,8
Wed,15:48:28,oregon,uganda,52.93.12.49,52.93.12.49,1,9
Wed,15:48:28,oregon,uganda,54.239.43.125,54.239.43.125,6,10
Wed,15:48:28,oregon,uganda,52.95.52.58,52.95.52.58,9,11
Wed,15:48:28,oregon,uganda,52.95.52.198,52.95.52.198,9,12
Wed,15:48:28,oregon,uganda,52.95.52.255,52.95.52.255,9,13
Wed,15:48:28,oregon,uganda,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,9,14
Wed,15:48:28,oregon,uganda,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Wed,15:48:28,oregon,uganda,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,73,16
Wed,15:48:28,oregon,uganda,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,84,17
Wed,15:48:28,oregon,uganda,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,74,18
Wed,15:48:28,oregon,uganda,if-ae-8-2.tcore1.NTO-New-York.as6453.net,63.243.128.69,72,19
Wed,15:48:28,oregon,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,72,20
Wed,15:48:28,oregon,uganda,if-ae-8-2.tcore1.NTO-New-York.as6453.net,63.243.128.69,73,21
Wed,15:48:28,oregon,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,74,22
Wed,15:48:28,oregon,uganda,216.6.90.70,216.6.90.70,146,23
Wed,15:48:28,oregon,uganda,125.62.187.189,125.62.187.189,142,24
Wed,15:48:28,oregon,uganda,41.84.192.17,41.84.192.17,414,25
Wed,15:48:28,oregon,uganda,41.84.192.17,41.84.192.17,415,26
Wed,15:48:28,oregon,uganda,196.0.1.13,196.0.1.13,370,27
Wed,15:48:28,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,360,28
Wed,15:48:28,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,359,29
Wed,15:55:12,oregon,uganda,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,13,1
Wed,15:55:12,oregon,uganda,100.66.8.30,100.66.8.30,22,2
Wed,15:55:12,oregon,uganda,100.66.10.138,100.66.10.138,13,3
Wed,15:55:12,oregon,uganda,100.66.6.163,100.66.6.163,22,4
Wed,15:55:12,oregon,uganda,100.66.4.35,100.66.4.35,16,5
Wed,15:55:12,oregon,uganda,100.65.9.129,100.65.9.129,0,6
Wed,15:55:12,oregon,uganda,52.93.13.72,52.93.13.72,1,7
Wed,15:55:12,oregon,uganda,52.93.12.166,52.93.12.166,55,8
Wed,15:55:12,oregon,uganda,52.93.13.47,52.93.13.47,2,9
Wed,15:55:12,oregon,uganda,54.239.43.133,54.239.43.133,8,10
Wed,15:55:12,oregon,uganda,52.95.53.146,52.95.53.146,11,11
Wed,15:55:12,oregon,uganda,52.95.52.22,52.95.52.22,17,12
Wed,15:55:12,oregon,uganda,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,8,13
Wed,15:55:12,oregon,uganda,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,8,14
Wed,15:55:12,oregon,uganda,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Wed,15:55:12,oregon,uganda,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,74,16
Wed,15:55:12,oregon,uganda,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,73,17
Wed,15:55:12,oregon,uganda,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,75,18
Wed,15:55:12,oregon,uganda,if-ae-8-2.tcore1.NTO-New-York.as6453.net,63.243.128.69,73,19
Wed,15:55:12,oregon,uganda,if-ae-8-2.tcore1.NTO-New-York.as6453.net,63.243.128.69,75,20
Wed,15:55:12,oregon,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,73,21
Wed,15:55:12,oregon,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,73,22
Wed,15:55:12,oregon,uganda,125.62.187.189,125.62.187.189,143,23
Wed,15:55:12,oregon,uganda,125.62.187.189,125.62.187.189,143,24
Wed,15:55:12,oregon,uganda,61.246.168.114,61.246.168.114,407,25
Wed,15:55:12,oregon,uganda,41.84.196.194,41.84.196.194,412,26
Wed,15:55:12,oregon,uganda,41.84.196.194,41.84.196.194,413,27
Wed,15:55:12,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,358,28
Wed,15:55:12,oregon,uganda,webhost2.utlonline.co.ug,196.0.3.3,380,29
Wed,16:02:04,oregon,uganda,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,17,1
Wed,16:02:04,oregon,uganda,100.66.8.162,100.66.8.162,16,2
Wed,16:02:04,oregon,uganda,100.66.11.110,100.66.11.110,31,3
Wed,16:02:04,oregon,uganda,100.66.7.161,100.66.7.161,12,4
Wed,16:02:04,oregon,uganda,100.66.4.189,100.66.4.189,14,5
Wed,16:02:04,oregon,uganda,100.65.11.33,100.65.11.33,0,6
Wed,16:02:04,oregon,uganda,52.93.13.74,52.93.13.74,1,7
Wed,16:02:04,oregon,uganda,52.93.12.202,52.93.12.202,22,8
Wed,16:02:04,oregon,uganda,52.93.12.117,52.93.12.117,1,9
Wed,16:02:04,oregon,uganda,54.239.43.133,54.239.43.133,8,10
Wed,16:02:04,oregon,uganda,54.239.43.129,54.239.43.129,7,11
Wed,16:02:04,oregon,uganda,52.95.53.132,52.95.53.132,10,12
Wed,16:02:04,oregon,uganda,52.95.52.81,52.95.52.81,9,13
Wed,16:02:04,oregon,uganda,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,8,14
