Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:08:49,oregon,ghana,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,20,1
Wed,16:08:49,oregon,ghana,100.66.8.22,100.66.8.22,15,2
Wed,16:08:49,oregon,ghana,100.66.10.224,100.66.10.224,20,3
Wed,16:08:49,oregon,ghana,100.66.7.109,100.66.7.109,16,4
Wed,16:08:49,oregon,ghana,100.66.4.99,100.66.4.99,13,5
Wed,16:08:49,oregon,ghana,100.65.9.193,100.65.9.193,1,6
Wed,16:08:49,oregon,ghana,52.93.13.74,52.93.13.74,2,7
Wed,16:08:49,oregon,ghana,52.93.13.18,52.93.13.18,2,8
Wed,16:08:49,oregon,ghana,52.93.13.45,52.93.13.45,1,9
Wed,16:08:49,oregon,ghana,54.239.43.137,54.239.43.137,9,10
Wed,16:08:49,oregon,ghana,54.239.42.228,54.239.42.228,8,11
Wed,16:08:49,oregon,ghana,52.95.52.147,52.95.52.147,7,12
Wed,16:08:49,oregon,ghana,ae-13.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.165,8,13
Wed,16:08:49,oregon,ghana,ae-8.r04.sttlwa01.us.bb.gin.ntt.net,198.104.202.189,9,14
Wed,16:08:49,oregon,ghana,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Wed,16:08:49,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,148,16
Wed,16:08:49,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,148,17
Wed,16:08:49,oregon,ghana,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,149,18
Wed,16:08:49,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,149,19
Wed,16:08:49,oregon,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,139,20
Wed,16:08:49,oregon,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,148,21
Wed,16:08:49,oregon,ghana,if-ge-4-0-0.core4.LDN-London.as6453.net,80.231.62.26,148,22
Wed,16:08:49,oregon,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,401,23
Wed,16:08:49,oregon,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,410,24
Wed,16:08:49,oregon,ghana,197.255.127.2,197.255.127.2,410,25
Wed,16:08:49,oregon,ghana,197.255.127.35,197.255.127.35,400,26
Wed,16:08:49,oregon,ghana,197.255.127.35,197.255.127.35,416,27
Wed,16:15:32,oregon,ghana,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,19,1
Wed,16:15:32,oregon,ghana,100.66.8.166,100.66.8.166,20,2
Wed,16:15:32,oregon,ghana,100.66.10.72,100.66.10.72,18,3
Wed,16:15:32,oregon,ghana,100.66.7.9,100.66.7.9,21,4
Wed,16:15:32,oregon,ghana,100.66.4.95,100.66.4.95,13,5
Wed,16:15:32,oregon,ghana,100.65.10.193,100.65.10.193,1,6
Wed,16:15:32,oregon,ghana,52.93.15.216,52.93.15.216,1,7
Wed,16:15:32,oregon,ghana,52.93.13.24,52.93.13.24,2,8
