Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:02:38,oregon,japan,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,13,1
Wed,16:02:38,oregon,japan,100.66.8.132,100.66.8.132,14,2
Wed,16:02:38,oregon,japan,100.66.11.4,100.66.11.4,21,3
Wed,16:02:38,oregon,japan,100.66.6.13,100.66.6.13,17,4
Wed,16:02:38,oregon,japan,100.66.4.77,100.66.4.77,16,5
Wed,16:02:38,oregon,japan,100.65.8.97,100.65.8.97,0,6
Wed,16:02:38,oregon,japan,52.93.15.216,52.93.15.216,96,7
Wed,16:02:38,oregon,japan,52.93.12.244,52.93.12.244,111,8
Wed,16:02:38,oregon,japan,52.93.12.159,52.93.12.159,96,9
Wed,16:02:38,oregon,japan,54.239.43.133,54.239.43.133,96,10
Wed,16:02:38,oregon,japan,54.239.41.160,54.239.41.160,96,11
Wed,16:02:38,oregon,japan,54.239.53.15,54.239.53.15,99,12
Wed,16:02:38,oregon,japan,54.239.53.130,54.239.53.130,96,13
Wed,16:02:38,oregon,japan,54.239.53.93,54.239.53.93,113,14
Wed,16:02:38,oregon,japan,54.239.53.14,54.239.53.14,105,15
Wed,16:02:38,oregon,japan,54.239.52.141,54.239.52.141,105,16
Wed,16:02:38,oregon,japan,52.95.31.27,52.95.31.27,110,17
Wed,16:02:38,oregon,japan,52.95.31.124,52.95.31.124,105,18
Wed,16:02:38,oregon,japan,52.95.30.216,52.95.30.216,105,19
Wed,16:02:38,oregon,japan,100.64.17.46,100.64.17.46,127,20
Wed,16:02:38,oregon,japan,100.64.3.68,100.64.3.68,124,21
Wed,16:02:38,oregon,japan,100.64.0.73,100.64.0.73,210,22
Wed,16:02:38,oregon,japan,ec2-13-113-204-48.ap-northeast-1.compute.amazonaws.com,13.113.204.48,105,23
Wed,16:09:08,oregon,japan,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,16,1
Wed,16:09:08,oregon,japan,100.66.8.0,100.66.8.0,18,2
Wed,16:09:08,oregon,japan,100.66.10.0,100.66.10.0,19,3
Wed,16:09:08,oregon,japan,100.66.7.103,100.66.7.103,20,4
Wed,16:09:08,oregon,japan,100.66.4.207,100.66.4.207,13,5
Wed,16:09:08,oregon,japan,100.65.8.1,100.65.8.1,0,6
Wed,16:09:08,oregon,japan,52.93.15.222,52.93.15.222,96,7
Wed,16:09:08,oregon,japan,52.93.12.172,52.93.12.172,98,8
Wed,16:09:08,oregon,japan,52.93.13.47,52.93.13.47,96,9
Wed,16:09:08,oregon,japan,54.239.43.133,54.239.43.133,96,10
Wed,16:09:08,oregon,japan,54.239.41.160,54.239.41.160,96,11
Wed,16:09:08,oregon,japan,54.239.53.11,54.239.53.11,100,12
Wed,16:09:08,oregon,japan,54.239.53.134,54.239.53.134,96,13
Wed,16:09:08,oregon,japan,54.239.53.101,54.239.53.101,106,14
Wed,16:09:08,oregon,japan,54.239.53.14,54.239.53.14,105,15
Wed,16:09:08,oregon,japan,27.0.0.249,27.0.0.249,105,16
Wed,16:09:08,oregon,japan,52.95.31.27,52.95.31.27,113,17
Wed,16:09:08,oregon,japan,52.95.31.128,52.95.31.128,105,18
Wed,16:09:08,oregon,japan,52.95.30.216,52.95.30.216,105,19
Wed,16:09:08,oregon,japan,100.64.17.52,100.64.17.52,123,20
Wed,16:09:08,oregon,japan,100.64.1.196,100.64.1.196,121,21
Wed,16:09:08,oregon,japan,100.64.1.75,100.64.1.75,121,22
