Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:02:30,oregon,kenya,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,18,1
Wed,16:02:30,oregon,kenya,100.66.8.198,100.66.8.198,16,2
Wed,16:02:30,oregon,kenya,100.66.11.34,100.66.11.34,21,3
Wed,16:02:30,oregon,kenya,100.66.6.203,100.66.6.203,15,4
Wed,16:02:30,oregon,kenya,100.66.4.167,100.66.4.167,12,5
Wed,16:02:30,oregon,kenya,100.65.9.193,100.65.9.193,0,6
Wed,16:02:30,oregon,kenya,52.93.15.220,52.93.15.220,1,7
Wed,16:02:30,oregon,kenya,52.93.12.64,52.93.12.64,33,8
Wed,16:02:30,oregon,kenya,52.93.12.81,52.93.12.81,3,9
Wed,16:02:30,oregon,kenya,54.239.43.129,54.239.43.129,8,10
Wed,16:02:30,oregon,kenya,54.239.42.230,54.239.42.230,10,11
Wed,16:02:30,oregon,kenya,52.95.52.92,52.95.52.92,12,12
Wed,16:02:30,oregon,kenya,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,7,13
Wed,16:02:30,oregon,kenya,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,7,14
Wed,16:02:30,oregon,kenya,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,15
Wed,16:02:30,oregon,kenya,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,16
Wed,16:02:30,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,259,17
Wed,16:02:30,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,269,18
Wed,16:02:30,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,268,19
Wed,16:02:30,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,268,20
Wed,16:02:30,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,258,21
Wed,16:02:30,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,260,22
Wed,16:02:30,oregon,kenya,if-ge-10-0-0.core1.N71-Fujairah.as6453.net,195.219.174.128,258,23
Wed,16:02:30,oregon,kenya,195.219.174.134,195.219.174.134,307,24
Wed,16:02:30,oregon,kenya,195.219.174.134,195.219.174.134,319,25
Wed,16:02:30,oregon,kenya,196.201.222.166,196.201.222.166,309,26
Wed,16:02:30,oregon,kenya,196.201.222.89,196.201.222.89,304,27
Wed,16:02:30,oregon,kenya,196.201.222.89,196.201.222.89,303,28
Wed,16:02:30,oregon,kenya,*,*,*,29
Wed,16:02:30,oregon,kenya,*,*,*,30
Wed,16:09:01,oregon,kenya,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,13,1
Wed,16:09:01,oregon,kenya,100.66.8.244,100.66.8.244,18,2
Wed,16:09:01,oregon,kenya,100.66.10.6,100.66.10.6,17,3
Wed,16:09:01,oregon,kenya,100.66.7.203,100.66.7.203,13,4
Wed,16:09:01,oregon,kenya,100.66.4.177,100.66.4.177,22,5
Wed,16:09:01,oregon,kenya,100.65.11.193,100.65.11.193,0,6
Wed,16:09:01,oregon,kenya,52.93.15.220,52.93.15.220,2,7
Wed,16:09:01,oregon,kenya,52.93.13.24,52.93.13.24,3,8
Wed,16:09:01,oregon,kenya,52.93.13.11,52.93.13.11,1,9
Wed,16:09:01,oregon,kenya,54.239.43.121,54.239.43.121,7,10
Wed,16:09:01,oregon,kenya,52.95.52.160,52.95.52.160,14,11
Wed,16:09:01,oregon,kenya,52.95.53.8,52.95.53.8,8,12
Wed,16:09:01,oregon,kenya,52.95.52.219,52.95.52.219,9,13
Wed,16:09:01,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,7,14
Wed,16:09:01,oregon,kenya,ae-8.r04.sttlwa01.us.bb.gin.ntt.net,198.104.202.189,9,15
Wed,16:09:01,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,258,16
Wed,16:09:01,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,258,17
Wed,16:09:01,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,269,18
Wed,16:09:01,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,265,19
Wed,16:09:01,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,267,20
Wed,16:09:01,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,258,21
Wed,16:09:01,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,268,22
Wed,16:09:01,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,167,23
Wed,16:09:01,oregon,kenya,if-ge-2-0-0.core1.N71-Fujairah.as6453.net,195.219.174.26,268,24
Wed,16:09:01,oregon,kenya,195.219.174.134,195.219.174.134,307,25
Wed,16:09:01,oregon,kenya,195.219.174.134,195.219.174.134,309,26
Wed,16:09:01,oregon,kenya,196.201.222.166,196.201.222.166,302,27
Wed,16:09:01,oregon,kenya,*,*,*,28
Wed,16:09:01,oregon,kenya,*,*,*,29
Wed,16:09:01,oregon,kenya,*,*,*,30
Wed,16:15:38,oregon,kenya,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,21,1
Wed,16:15:38,oregon,kenya,100.66.8.196,100.66.8.196,16,2
Wed,16:15:38,oregon,kenya,100.66.10.192,100.66.10.192,12,3
Wed,16:15:38,oregon,kenya,100.66.6.47,100.66.6.47,21,4
Wed,16:15:38,oregon,kenya,100.66.4.121,100.66.4.121,12,5
Wed,16:15:38,oregon,kenya,100.65.11.97,100.65.11.97,0,6
