Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:02:48,oregon,rwanda,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,17,1
Wed,16:02:48,oregon,rwanda,100.66.8.120,100.66.8.120,21,2
Wed,16:02:48,oregon,rwanda,100.66.10.204,100.66.10.204,21,3
Wed,16:02:48,oregon,rwanda,100.66.7.195,100.66.7.195,14,4
Wed,16:02:48,oregon,rwanda,100.66.4.105,100.66.4.105,19,5
Wed,16:02:48,oregon,rwanda,100.65.8.65,100.65.8.65,0,6
Wed,16:02:48,oregon,rwanda,52.93.15.222,52.93.15.222,1,7
Wed,16:02:48,oregon,rwanda,52.93.13.24,52.93.13.24,2,8
Wed,16:02:48,oregon,rwanda,52.93.12.225,52.93.12.225,1,9
Wed,16:02:48,oregon,rwanda,54.239.42.195,54.239.42.195,7,10
Wed,16:02:48,oregon,rwanda,52.95.53.144,52.95.53.144,12,11
Wed,16:02:48,oregon,rwanda,52.95.52.90,52.95.52.90,17,12
Wed,16:02:48,oregon,rwanda,10ge1-12.core1.sea1.he.net,216.218.230.133,7,13
Wed,16:02:48,oregon,rwanda,10ge1-12.core1.sea1.he.net,216.218.230.133,8,14
Wed,16:02:48,oregon,rwanda,100ge13-1.core2.chi1.he.net,184.105.223.177,52,15
Wed,16:02:48,oregon,rwanda,100ge13-1.core2.chi1.he.net,184.105.223.177,49,16
Wed,16:02:48,oregon,rwanda,100ge16-1.core1.nyc4.he.net,184.105.223.162,66,17
Wed,16:02:48,oregon,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,132,18
Wed,16:02:48,oregon,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,134,19
Wed,16:02:48,oregon,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,240,20
Wed,16:02:48,oregon,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,242,21
Wed,16:02:48,oregon,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,293,22
Wed,16:02:48,oregon,rwanda,197.155.94.168.liquidtelecom.net,197.155.94.168,313,23
Wed,16:02:48,oregon,rwanda,197.155.94.149.liquidtelecom.net,197.155.94.149,311,24
Wed,16:02:48,oregon,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,310,25
Wed,16:02:48,oregon,rwanda,teng0-0-0-2.lug-p2-kpl.liquidtelecom.net,197.155.94.97,312,26
Wed,16:02:48,oregon,rwanda,197.243.126.30,197.243.126.30,313,27
Wed,16:02:48,oregon,rwanda,*,*,*,28
Wed,16:02:48,oregon,rwanda,*,*,*,29
Wed,16:02:48,oregon,rwanda,197.243.126.166,197.243.126.166,308,30
Wed,16:09:17,oregon,rwanda,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,18,1
Wed,16:09:17,oregon,rwanda,100.66.8.146,100.66.8.146,38,2
Wed,16:09:17,oregon,rwanda,100.66.10.230,100.66.10.230,22,3
Wed,16:09:17,oregon,rwanda,100.66.6.233,100.66.6.233,15,4
Wed,16:09:17,oregon,rwanda,100.66.4.235,100.66.4.235,22,5
Wed,16:09:17,oregon,rwanda,100.65.10.1,100.65.10.1,0,6
Wed,16:09:17,oregon,rwanda,205.251.232.166,205.251.232.166,1,7
Wed,16:09:17,oregon,rwanda,52.93.12.202,52.93.12.202,42,8
Wed,16:09:17,oregon,rwanda,52.93.12.55,52.93.12.55,1,9
Wed,16:09:17,oregon,rwanda,52.93.15.87,52.93.15.87,7,10
Wed,16:09:17,oregon,rwanda,54.239.42.228,54.239.42.228,7,11
Wed,16:09:17,oregon,rwanda,52.95.52.56,52.95.52.56,19,12
Wed,16:09:17,oregon,rwanda,10ge1-12.core1.sea1.he.net,216.218.230.133,7,13
Wed,16:09:17,oregon,rwanda,10ge1-12.core1.sea1.he.net,216.218.230.133,8,14
Wed,16:09:17,oregon,rwanda,100ge4-2.core1.msp1.he.net,184.105.223.194,41,15
Wed,16:09:17,oregon,rwanda,100ge13-1.core2.chi1.he.net,184.105.223.177,49,16
Wed,16:09:17,oregon,rwanda,100ge16-1.core1.nyc4.he.net,184.105.223.162,65,17
Wed,16:09:17,oregon,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,133,18
Wed,16:09:17,oregon,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,142,19
Wed,16:09:17,oregon,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,134,20
Wed,16:09:17,oregon,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,292,21
Wed,16:09:17,oregon,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,293,22
Wed,16:09:17,oregon,rwanda,ten-0-2-1-0-p1-nbi.liquidtelecom.net,197.155.94.72,313,23
Wed,16:09:17,oregon,rwanda,teng0-0-1-2-p2-nbi.liquidtelecom.net,197.155.94.2,310,24
Wed,16:09:17,oregon,rwanda,teng0-0-0-0.lug-p2-kgl.liquidtelecom.net,197.155.94.81,312,25
Wed,16:09:17,oregon,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,309,26
Wed,16:09:17,oregon,rwanda,41.223.224.211,41.223.224.211,312,27
Wed,16:09:17,oregon,rwanda,*,*,*,28
