Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Mon,16:16:29,Asia-Northeast-1,US-West-1,175.41.192.148,19,1
Mon,16:16:29,Asia-Northeast-1,US-West-1,100.64.3.14,158,2
Mon,16:16:29,Asia-Northeast-1,US-West-1,100.64.3.65,15,3
Mon,16:16:29,Asia-Northeast-1,US-West-1,100.64.17.37,0,4
Mon,16:16:29,Asia-Northeast-1,US-West-1,52.95.30.217,3,5
Mon,16:16:29,Asia-Northeast-1,US-West-1,52.95.31.133,10,6
Mon,16:16:29,Asia-Northeast-1,US-West-1,52.95.30.20,1,7
Mon,16:16:29,Asia-Northeast-1,US-West-1,27.0.0.248,104,8
Mon,16:16:29,Asia-Northeast-1,US-West-1,54.239.41.161,105,9
Mon,16:16:29,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Mon,16:16:29,Asia-Northeast-1,US-West-1,52.93.12.230,116,11
Mon,16:16:29,Asia-Northeast-1,US-West-1,52.93.12.251,104,12
Mon,16:16:29,Asia-Northeast-1,US-West-1,52.93.13.28,113,13
Mon,16:16:29,Asia-Northeast-1,US-West-1,52.93.13.25,104,14
Mon,16:16:29,Asia-Northeast-1,US-West-1,52.93.13.75,113,15
Mon,16:16:29,Asia-Northeast-1,US-West-1,100.65.9.160,124,16
Mon,16:16:29,Asia-Northeast-1,US-West-1,100.66.4.66,123,17
Mon,16:16:29,Asia-Northeast-1,US-West-1,100.66.7.104,121,18
Mon,16:16:29,Asia-Northeast-1,US-West-1,100.66.11.1,119,19
Mon,16:16:29,Asia-Northeast-1,US-West-1,100.66.8.135,125,20
Mon,16:16:29,Asia-Northeast-1,US-West-1,35.165.235.109,104,21
Mon,16:22:04,Asia-Northeast-1,US-West-1,175.41.192.150,24,1
Mon,16:22:04,Asia-Northeast-1,US-West-1,100.64.3.14,19,2
Mon,16:22:04,Asia-Northeast-1,US-West-1,100.64.1.69,19,3
Mon,16:22:04,Asia-Northeast-1,US-West-1,100.64.16.17,0,4
Mon,16:22:04,Asia-Northeast-1,US-West-1,52.95.30.215,2,5
Mon,16:22:04,Asia-Northeast-1,US-West-1,52.95.30.127,7,6
Mon,16:22:04,Asia-Northeast-1,US-West-1,52.95.31.8,2,7
Mon,16:22:04,Asia-Northeast-1,US-West-1,27.0.0.248,104,8
Mon,16:22:04,Asia-Northeast-1,US-West-1,54.239.41.161,103,9
Mon,16:22:04,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Mon,16:22:04,Asia-Northeast-1,US-West-1,52.93.12.230,120,11
Mon,16:22:04,Asia-Northeast-1,US-West-1,52.93.12.35,104,12
Mon,16:22:04,Asia-Northeast-1,US-West-1,52.93.12.250,106,13
Mon,16:22:04,Asia-Northeast-1,US-West-1,52.93.13.25,105,14
Mon,16:22:04,Asia-Northeast-1,US-West-1,52.93.15.219,105,15
Mon,16:22:04,Asia-Northeast-1,US-West-1,100.65.9.96,106,16
Mon,16:22:04,Asia-Northeast-1,US-West-1,100.66.4.90,124,17
Mon,16:22:04,Asia-Northeast-1,US-West-1,100.66.7.196,156,18
Mon,16:22:04,Asia-Northeast-1,US-West-1,100.66.10.207,120,19
Mon,16:22:04,Asia-Northeast-1,US-West-1,100.66.8.37,124,20
Mon,16:22:04,Asia-Northeast-1,US-West-1,35.165.235.109,105,21
Mon,16:28:02,Asia-Northeast-1,US-West-1,175.41.192.144,19,1
Mon,16:28:02,Asia-Northeast-1,US-West-1,100.64.3.202,14,2
Mon,16:28:02,Asia-Northeast-1,US-West-1,100.64.0.65,22,3
Mon,16:28:02,Asia-Northeast-1,US-West-1,100.64.17.103,0,4
Mon,16:28:02,Asia-Northeast-1,US-West-1,52.95.30.211,1,5
Mon,16:28:02,Asia-Northeast-1,US-West-1,52.95.30.121,12,6
Mon,16:28:02,Asia-Northeast-1,US-West-1,52.95.30.16,3,7
Mon,16:28:02,Asia-Northeast-1,US-West-1,27.0.0.248,104,8
Mon,16:28:02,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Mon,16:28:02,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Mon,16:28:02,Asia-Northeast-1,US-West-1,52.93.13.10,129,11
Mon,16:28:02,Asia-Northeast-1,US-West-1,52.93.12.255,104,12
Mon,16:28:02,Asia-Northeast-1,US-West-1,52.93.12.144,140,13
Mon,16:28:02,Asia-Northeast-1,US-West-1,52.93.13.25,105,14
Mon,16:28:02,Asia-Northeast-1,US-West-1,52.93.13.73,104,15
