Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Sun,13:03:15,Asia-Northeast-1,US-West-1,175.41.192.144,17,1
Sun,13:03:15,Asia-Northeast-1,US-West-1,100.64.1.200,17,2
Sun,13:03:15,Asia-Northeast-1,US-West-1,100.64.1.135,20,3
Sun,13:03:15,Asia-Northeast-1,US-West-1,100.64.16.199,0,4
Sun,13:03:15,Asia-Northeast-1,US-West-1,52.95.30.209,3,5
Sun,13:03:15,Asia-Northeast-1,US-West-1,52.95.31.121,7,6
Sun,13:03:15,Asia-Northeast-1,US-West-1,52.95.31.22,3,7
Sun,13:03:15,Asia-Northeast-1,US-West-1,54.239.52.134,105,8
Sun,13:03:15,Asia-Northeast-1,US-West-1,54.239.41.161,103,9
Sun,13:03:15,Asia-Northeast-1,US-West-1,54.239.43.132,105,10
Sun,13:03:15,Asia-Northeast-1,US-West-1,52.93.12.86,105,11
Sun,13:03:15,Asia-Northeast-1,US-West-1,52.93.12.37,104,12
Sun,13:03:15,Asia-Northeast-1,US-West-1,52.93.12.146,106,13
Sun,13:03:15,Asia-Northeast-1,US-West-1,52.93.13.19,104,14
Sun,13:03:15,Asia-Northeast-1,US-West-1,52.93.15.217,104,15
Sun,13:03:15,Asia-Northeast-1,US-West-1,100.65.10.224,124,16
Sun,13:03:15,Asia-Northeast-1,US-West-1,100.66.4.42,125,17
Sun,13:03:15,Asia-Northeast-1,US-West-1,100.66.7.204,121,18
Sun,13:03:15,Asia-Northeast-1,US-West-1,100.66.2.205,151,19
Sun,13:03:15,Asia-Northeast-1,US-West-1,100.66.0.189,124,20
Sun,13:03:15,Asia-Northeast-1,US-West-1,100.65.3.209,105,21
Sun,13:03:15,Asia-Northeast-1,US-West-1,100.64.13.105,105,22
Sun,13:03:15,Asia-Northeast-1,US-West-1,100.64.7.102,106,23
Sun,13:03:15,Asia-Northeast-1,US-West-1,34.211.164.243,105,24
Sun,13:08:47,Asia-Northeast-1,US-West-1,175.41.192.148,15,1
Sun,13:08:47,Asia-Northeast-1,US-West-1,100.64.0.136,19,2
Sun,13:08:47,Asia-Northeast-1,US-West-1,100.64.3.69,18,3
Sun,13:08:47,Asia-Northeast-1,US-West-1,100.64.16.97,0,4
Sun,13:08:47,Asia-Northeast-1,US-West-1,52.95.30.207,1,5
Sun,13:08:47,Asia-Northeast-1,US-West-1,52.95.30.127,9,6
Sun,13:08:47,Asia-Northeast-1,US-West-1,52.95.30.16,2,7
Sun,13:08:47,Asia-Northeast-1,US-West-1,54.239.52.134,103,8
Sun,13:08:47,Asia-Northeast-1,US-West-1,54.239.41.161,103,9
Sun,13:08:47,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Sun,13:08:47,Asia-Northeast-1,US-West-1,52.93.12.158,127,11
Sun,13:08:47,Asia-Northeast-1,US-West-1,52.93.12.183,103,12
Sun,13:08:47,Asia-Northeast-1,US-West-1,52.93.12.254,121,13
Sun,13:08:47,Asia-Northeast-1,US-West-1,52.93.12.131,104,14
Sun,13:08:47,Asia-Northeast-1,US-West-1,52.93.13.73,105,15
Sun,13:08:47,Asia-Northeast-1,US-West-1,100.65.10.96,122,16
Sun,13:08:47,Asia-Northeast-1,US-West-1,100.66.4.0,119,17
Sun,13:08:47,Asia-Northeast-1,US-West-1,100.66.7.4,122,18
Sun,13:08:47,Asia-Northeast-1,US-West-1,100.66.3.133,121,19
Sun,13:08:47,Asia-Northeast-1,US-West-1,100.66.0.73,118,20
Sun,13:08:47,Asia-Northeast-1,US-West-1,100.65.2.145,106,21
Sun,13:08:47,Asia-Northeast-1,US-West-1,100.64.11.43,106,22
Sun,13:08:47,Asia-Northeast-1,US-West-1,100.64.7.106,106,23
Sun,13:08:47,Asia-Northeast-1,US-West-1,34.211.164.243,105,24
Sun,13:14:22,Asia-Northeast-1,US-West-1,175.41.192.150,21,1
Sun,13:14:22,Asia-Northeast-1,US-West-1,100.64.2.142,19,2
Sun,13:14:22,Asia-Northeast-1,US-West-1,100.64.1.1,21,3
Sun,13:14:22,Asia-Northeast-1,US-West-1,100.64.16.47,0,4
Sun,13:14:22,Asia-Northeast-1,US-West-1,52.95.30.219,1,5
Sun,13:14:22,Asia-Northeast-1,US-West-1,52.95.30.129,14,6
Sun,13:14:22,Asia-Northeast-1,US-West-1,52.95.31.20,4,7
Sun,13:14:22,Asia-Northeast-1,US-West-1,27.0.0.248,104,8
Sun,13:14:22,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Sun,13:14:22,Asia-Northeast-1,US-West-1,54.239.43.132,103,10
Sun,13:14:22,Asia-Northeast-1,US-West-1,52.93.12.122,106,11
Sun,13:14:22,Asia-Northeast-1,US-West-1,52.93.12.215,104,12
Sun,13:14:22,Asia-Northeast-1,US-West-1,52.93.12.72,106,13
Sun,13:14:22,Asia-Northeast-1,US-West-1,52.93.12.131,105,14
Sun,13:14:22,Asia-Northeast-1,US-West-1,52.93.13.75,106,15
Sun,13:14:22,Asia-Northeast-1,US-West-1,100.65.8.224,114,16
Sun,13:14:22,Asia-Northeast-1,US-West-1,100.66.4.216,124,17
Sun,13:14:22,Asia-Northeast-1,US-West-1,100.66.7.100,125,18
Sun,13:14:22,Asia-Northeast-1,US-West-1,100.66.2.101,121,19
Sun,13:14:22,Asia-Northeast-1,US-West-1,100.66.0.125,115,20
Sun,13:14:22,Asia-Northeast-1,US-West-1,100.65.1.193,106,21
Sun,13:14:22,Asia-Northeast-1,US-West-1,100.64.13.33,105,22
Sun,13:14:22,Asia-Northeast-1,US-West-1,100.64.7.250,106,23
Sun,13:14:22,Asia-Northeast-1,US-West-1,34.211.164.243,105,24
Sun,13:20:18,Asia-Northeast-1,US-West-1,175.41.192.150,14,1
Sun,13:20:18,Asia-Northeast-1,US-West-1,100.64.2.10,17,2
Sun,13:20:18,Asia-Northeast-1,US-West-1,100.64.0.69,12,3
Sun,13:20:18,Asia-Northeast-1,US-West-1,100.64.16.193,0,4
Sun,13:20:18,Asia-Northeast-1,US-West-1,52.95.30.219,1,5
Sun,13:20:18,Asia-Northeast-1,US-West-1,52.95.30.125,4,6
Sun,13:20:18,Asia-Northeast-1,US-West-1,52.95.31.16,3,7
Sun,13:20:18,Asia-Northeast-1,US-West-1,54.239.52.134,103,8
Sun,13:20:18,Asia-Northeast-1,US-West-1,54.239.41.161,103,9
