Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Tue,15:38:20,Asia-Northeast-1,US-West-1,175.41.192.150,21,1
Tue,15:38:20,Asia-Northeast-1,US-West-1,100.64.2.10,17,2
Tue,15:38:20,Asia-Northeast-1,US-West-1,100.64.1.7,22,3
Tue,15:38:20,Asia-Northeast-1,US-West-1,100.64.16.45,0,4
Tue,15:38:20,Asia-Northeast-1,US-West-1,52.95.30.207,3,5
Tue,15:38:20,Asia-Northeast-1,US-West-1,52.95.30.135,11,6
Tue,15:38:20,Asia-Northeast-1,US-West-1,52.95.31.20,2,7
Tue,15:38:20,Asia-Northeast-1,US-West-1,27.0.0.248,104,8
Tue,15:38:20,Asia-Northeast-1,US-West-1,54.239.41.161,103,9
Tue,15:38:20,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Tue,15:38:20,Asia-Northeast-1,US-West-1,52.93.12.158,106,11
Tue,15:38:20,Asia-Northeast-1,US-West-1,52.93.12.107,104,12
Tue,15:38:20,Asia-Northeast-1,US-West-1,52.93.12.146,106,13
Tue,15:38:20,Asia-Northeast-1,US-West-1,52.93.12.131,104,14
Tue,15:38:20,Asia-Northeast-1,US-West-1,205.251.232.255,104,15
Tue,15:38:20,Asia-Northeast-1,US-West-1,100.65.10.192,118,16
Tue,15:38:20,Asia-Northeast-1,US-West-1,100.66.4.60,123,17
Tue,15:38:20,Asia-Northeast-1,US-West-1,100.66.6.202,126,18
Tue,15:38:20,Asia-Northeast-1,US-West-1,100.66.2.35,115,19
Tue,15:38:20,Asia-Northeast-1,US-West-1,100.66.0.59,125,20
Tue,15:38:20,Asia-Northeast-1,US-West-1,100.65.0.177,105,21
Tue,15:38:20,Asia-Northeast-1,US-West-1,100.64.0.1,105,22
Tue,15:38:20,Asia-Northeast-1,US-West-1,100.64.7.226,105,23
Tue,15:38:20,Asia-Northeast-1,US-West-1,34.212.189.97,105,24
Tue,15:44:03,Asia-Northeast-1,US-West-1,175.41.192.144,12,1
Tue,15:44:03,Asia-Northeast-1,US-West-1,100.64.1.72,10,2
Tue,15:44:03,Asia-Northeast-1,US-West-1,100.64.2.69,15,3
Tue,15:44:03,Asia-Northeast-1,US-West-1,100.64.16.49,1,4
Tue,15:44:03,Asia-Northeast-1,US-West-1,52.95.30.207,1,5
Tue,15:44:03,Asia-Northeast-1,US-West-1,52.95.31.133,7,6
Tue,15:44:03,Asia-Northeast-1,US-West-1,52.95.30.12,2,7
Tue,15:44:03,Asia-Northeast-1,US-West-1,27.0.0.248,104,8
Tue,15:44:03,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Tue,15:44:03,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Tue,15:44:03,Asia-Northeast-1,US-West-1,52.93.12.109,103,12
Tue,15:44:03,Asia-Northeast-1,US-West-1,52.93.12.32,126,13
Tue,15:44:03,Asia-Northeast-1,US-West-1,52.93.12.239,104,14
Tue,15:44:03,Asia-Northeast-1,US-West-1,52.93.13.75,104,15
Tue,15:44:03,Asia-Northeast-1,US-West-1,100.65.10.224,119,16
Tue,15:44:03,Asia-Northeast-1,US-West-1,100.66.4.250,121,17
Tue,15:44:03,Asia-Northeast-1,US-West-1,100.66.7.224,118,18
Tue,15:44:03,Asia-Northeast-1,US-West-1,100.66.2.167,120,19
Tue,15:44:03,Asia-Northeast-1,US-West-1,100.66.0.13,126,20
Tue,15:44:03,Asia-Northeast-1,US-West-1,100.65.2.81,105,21
Tue,15:44:03,Asia-Northeast-1,US-West-1,100.64.13.115,105,22
Tue,15:44:03,Asia-Northeast-1,US-West-1,100.64.7.134,105,23
Tue,15:44:03,Asia-Northeast-1,US-West-1,34.212.189.97,105,24
Tue,15:49:48,Asia-Northeast-1,US-West-1,175.41.192.146,18,1
Tue,15:49:48,Asia-Northeast-1,US-West-1,100.64.1.76,17,2
Tue,15:49:48,Asia-Northeast-1,US-West-1,100.64.3.67,14,3
Tue,15:49:48,Asia-Northeast-1,US-West-1,100.64.16.179,0,4
Tue,15:49:48,Asia-Northeast-1,US-West-1,52.95.30.207,1,5
Tue,15:49:48,Asia-Northeast-1,US-West-1,52.95.30.123,12,6
Tue,15:49:48,Asia-Northeast-1,US-West-1,52.95.30.16,5,7
Tue,15:49:48,Asia-Northeast-1,US-West-1,27.0.0.248,104,8
Tue,15:49:48,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Tue,15:49:48,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Tue,15:49:48,Asia-Northeast-1,US-West-1,52.93.13.10,109,11
Tue,15:49:48,Asia-Northeast-1,US-West-1,52.93.12.249,104,12
Tue,15:49:48,Asia-Northeast-1,US-West-1,52.93.12.178,117,13
Tue,15:49:48,Asia-Northeast-1,US-West-1,52.93.12.239,104,14
Tue,15:49:48,Asia-Northeast-1,US-West-1,205.251.232.255,104,15
Tue,15:49:48,Asia-Northeast-1,US-West-1,100.65.11.32,116,16
Tue,15:49:48,Asia-Northeast-1,US-West-1,100.66.4.224,116,17
Tue,15:49:48,Asia-Northeast-1,US-West-1,100.66.6.136,119,18
Tue,15:49:48,Asia-Northeast-1,US-West-1,100.66.3.167,119,19
Tue,15:49:48,Asia-Northeast-1,US-West-1,100.66.0.89,121,20
Tue,15:49:48,Asia-Northeast-1,US-West-1,100.65.0.241,105,21
Tue,15:49:48,Asia-Northeast-1,US-West-1,100.64.0.65,105,22
Tue,15:49:48,Asia-Northeast-1,US-West-1,100.64.1.64,105,23
Tue,15:49:48,Asia-Northeast-1,US-West-1,34.212.189.97,104,24
Tue,15:55:37,Asia-Northeast-1,US-West-1,175.41.192.144,21,1
Tue,15:55:37,Asia-Northeast-1,US-West-1,100.64.2.204,16,2
Tue,15:55:37,Asia-Northeast-1,US-West-1,100.64.0.195,14,3
Tue,15:55:37,Asia-Northeast-1,US-West-1,100.64.16.183,0,4
Tue,15:55:37,Asia-Northeast-1,US-West-1,52.95.30.219,2,5
Tue,15:55:37,Asia-Northeast-1,US-West-1,52.95.30.131,4,6
Tue,15:55:37,Asia-Northeast-1,US-West-1,52.95.30.8,3,7
Tue,15:55:37,Asia-Northeast-1,US-West-1,27.0.0.248,104,8
Tue,15:55:37,Asia-Northeast-1,US-West-1,54.239.41.161,103,9
Tue,15:55:37,Asia-Northeast-1,US-West-1,54.239.43.132,113,10
Tue,15:55:37,Asia-Northeast-1,US-West-1,52.93.13.10,105,11
Tue,15:55:37,Asia-Northeast-1,US-West-1,52.93.12.147,105,12
Tue,15:55:37,Asia-Northeast-1,US-West-1,52.93.12.180,106,13
Tue,15:55:37,Asia-Northeast-1,US-West-1,52.93.13.61,105,14
Tue,15:55:37,Asia-Northeast-1,US-West-1,52.93.13.75,104,15
Tue,15:55:37,Asia-Northeast-1,US-West-1,100.65.9.160,124,16
Tue,15:55:37,Asia-Northeast-1,US-West-1,100.66.4.68,130,17
Tue,15:55:37,Asia-Northeast-1,US-West-1,100.66.7.110,121,18
Tue,15:55:37,Asia-Northeast-1,US-West-1,100.66.2.37,116,19
Tue,15:55:37,Asia-Northeast-1,US-West-1,100.66.0.109,122,20
