Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Wed,16:14:17,Asia-Northeast-1,US-West-1,175.41.192.148,20,1
Wed,16:14:17,Asia-Northeast-1,US-West-1,100.64.2.14,17,2
Wed,16:14:17,Asia-Northeast-1,US-West-1,100.64.2.7,18,3
Wed,16:14:17,Asia-Northeast-1,US-West-1,100.64.17.151,0,4
Wed,16:14:17,Asia-Northeast-1,US-West-1,52.95.30.217,3,5
Wed,16:14:17,Asia-Northeast-1,US-West-1,52.95.31.127,4,6
Wed,16:14:17,Asia-Northeast-1,US-West-1,52.95.30.20,2,7
Wed,16:14:17,Asia-Northeast-1,US-West-1,54.239.52.134,103,8
Wed,16:14:17,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Wed,16:14:17,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Wed,16:14:17,Asia-Northeast-1,US-West-1,52.93.13.46,105,11
Wed,16:14:17,Asia-Northeast-1,US-West-1,52.93.12.253,105,12
Wed,16:14:17,Asia-Northeast-1,US-West-1,52.93.12.38,127,13
Wed,16:14:17,Asia-Northeast-1,US-West-1,52.93.12.203,104,14
Wed,16:14:17,Asia-Northeast-1,US-West-1,52.93.15.221,105,15
Wed,16:14:17,Asia-Northeast-1,US-West-1,100.65.8.0,125,16
Wed,16:14:17,Asia-Northeast-1,US-West-1,100.66.4.220,121,17
Wed,16:14:17,Asia-Northeast-1,US-West-1,100.66.6.136,118,18
Wed,16:14:17,Asia-Northeast-1,US-West-1,100.66.10.161,118,19
Wed,16:14:17,Asia-Northeast-1,US-West-1,100.66.8.219,118,20
Wed,16:14:17,Asia-Northeast-1,US-West-1,52.40.26.80,105,21
Wed,16:20:12,Asia-Northeast-1,US-West-1,175.41.192.148,12,1
Wed,16:20:12,Asia-Northeast-1,US-West-1,100.64.2.10,22,2
Wed,16:20:12,Asia-Northeast-1,US-West-1,100.64.1.69,21,3
Wed,16:20:12,Asia-Northeast-1,US-West-1,100.64.17.99,0,4
Wed,16:20:12,Asia-Northeast-1,US-West-1,52.95.30.209,2,5
Wed,16:20:12,Asia-Northeast-1,US-West-1,52.95.30.135,4,6
Wed,16:20:12,Asia-Northeast-1,US-West-1,52.95.30.14,3,7
Wed,16:20:12,Asia-Northeast-1,US-West-1,54.239.52.134,104,8
Wed,16:20:12,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Wed,16:20:12,Asia-Northeast-1,US-West-1,54.239.43.132,103,10
Wed,16:20:12,Asia-Northeast-1,US-West-1,52.93.12.230,105,11
Wed,16:20:12,Asia-Northeast-1,US-West-1,52.93.12.147,104,12
Wed,16:20:12,Asia-Northeast-1,US-West-1,52.93.12.36,112,13
Wed,16:20:12,Asia-Northeast-1,US-West-1,52.93.12.167,104,14
Wed,16:20:12,Asia-Northeast-1,US-West-1,52.93.15.223,104,15
Wed,16:20:12,Asia-Northeast-1,US-West-1,100.65.8.96,117,16
Wed,16:20:12,Asia-Northeast-1,US-West-1,100.66.4.68,123,17
Wed,16:20:12,Asia-Northeast-1,US-West-1,100.66.6.110,125,18
Wed,16:20:12,Asia-Northeast-1,US-West-1,100.66.11.205,116,19
Wed,16:20:12,Asia-Northeast-1,US-West-1,100.66.8.73,124,20
Wed,16:20:12,Asia-Northeast-1,US-West-1,52.40.26.80,104,21
Wed,16:25:50,Asia-Northeast-1,US-West-1,175.41.192.144,48,1
Wed,16:25:50,Asia-Northeast-1,US-West-1,100.64.3.14,14,2
Wed,16:25:50,Asia-Northeast-1,US-West-1,100.64.0.69,32,3
Wed,16:25:50,Asia-Northeast-1,US-West-1,100.64.17.199,3,4
Wed,16:25:50,Asia-Northeast-1,US-West-1,52.95.30.209,3,5
Wed,16:25:50,Asia-Northeast-1,US-West-1,52.95.30.121,6,6
Wed,16:25:50,Asia-Northeast-1,US-West-1,52.95.31.22,2,7
Wed,16:25:50,Asia-Northeast-1,US-West-1,54.239.52.134,104,8
Wed,16:25:50,Asia-Northeast-1,US-West-1,54.239.41.161,103,9
Wed,16:25:50,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Wed,16:25:50,Asia-Northeast-1,US-West-1,52.93.12.194,122,11
Wed,16:25:50,Asia-Northeast-1,US-West-1,52.93.12.255,103,12
Wed,16:25:50,Asia-Northeast-1,US-West-1,52.93.12.218,136,13
Wed,16:25:50,Asia-Northeast-1,US-West-1,52.93.12.239,104,14
Wed,16:25:50,Asia-Northeast-1,US-West-1,52.93.15.217,104,15
Wed,16:25:50,Asia-Northeast-1,US-West-1,100.65.11.0,117,16
Wed,16:25:50,Asia-Northeast-1,US-West-1,100.66.4.42,118,17
Wed,16:25:50,Asia-Northeast-1,US-West-1,100.66.6.38,134,18
Wed,16:25:50,Asia-Northeast-1,US-West-1,100.66.11.39,120,19
Wed,16:25:50,Asia-Northeast-1,US-West-1,100.66.8.25,117,20
Wed,16:25:50,Asia-Northeast-1,US-West-1,52.40.26.80,104,21
Wed,16:31:32,Asia-Northeast-1,US-West-1,175.41.192.144,15,1
Wed,16:31:32,Asia-Northeast-1,US-West-1,100.64.1.138,12,2
Wed,16:31:32,Asia-Northeast-1,US-West-1,100.64.2.197,14,3
Wed,16:31:32,Asia-Northeast-1,US-West-1,100.64.17.135,0,4
Wed,16:31:32,Asia-Northeast-1,US-West-1,52.95.30.213,2,5
Wed,16:31:32,Asia-Northeast-1,US-West-1,52.95.31.131,8,6
Wed,16:31:32,Asia-Northeast-1,US-West-1,52.95.30.10,4,7
Wed,16:31:32,Asia-Northeast-1,US-West-1,54.239.52.134,103,8
Wed,16:31:32,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Wed,16:31:32,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Wed,16:31:32,Asia-Northeast-1,US-West-1,52.93.12.179,103,12
Wed,16:31:32,Asia-Northeast-1,US-West-1,52.93.12.72,107,13
Wed,16:31:32,Asia-Northeast-1,US-West-1,52.93.13.55,104,14
Wed,16:31:32,Asia-Northeast-1,US-West-1,54.239.48.179,105,15
Wed,16:31:32,Asia-Northeast-1,US-West-1,100.65.11.192,113,16
Wed,16:31:32,Asia-Northeast-1,US-West-1,100.66.4.30,120,17
Wed,16:31:32,Asia-Northeast-1,US-West-1,100.66.6.66,118,18
Wed,16:31:32,Asia-Northeast-1,US-West-1,100.66.11.201,116,19
Wed,16:31:32,Asia-Northeast-1,US-West-1,100.66.8.187,117,20
Wed,16:31:32,Asia-Northeast-1,US-West-1,52.40.26.80,104,21
Wed,16:36:59,Asia-Northeast-1,US-West-1,175.41.192.150,22,1
Wed,16:36:59,Asia-Northeast-1,US-West-1,100.64.2.202,14,2
Wed,16:36:59,Asia-Northeast-1,US-West-1,100.64.1.65,14,3
Wed,16:36:59,Asia-Northeast-1,US-West-1,100.64.16.231,0,4
Wed,16:36:59,Asia-Northeast-1,US-West-1,52.95.30.217,2,5
Wed,16:36:59,Asia-Northeast-1,US-West-1,52.95.31.133,33,6
Wed,16:36:59,Asia-Northeast-1,US-West-1,52.95.30.18,3,7
Wed,16:36:59,Asia-Northeast-1,US-West-1,27.0.0.248,105,8
Wed,16:36:59,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Wed,16:36:59,Asia-Northeast-1,US-West-1,54.239.43.132,103,10
Wed,16:36:59,Asia-Northeast-1,US-West-1,52.93.12.158,105,11
Wed,16:36:59,Asia-Northeast-1,US-West-1,52.93.12.179,104,12
Wed,16:36:59,Asia-Northeast-1,US-West-1,52.93.13.61,104,14
Wed,16:36:59,Asia-Northeast-1,US-West-1,54.239.48.177,104,15
Wed,16:36:59,Asia-Northeast-1,US-West-1,100.65.9.160,127,16
Wed,16:36:59,Asia-Northeast-1,US-West-1,100.66.4.36,120,17
Wed,16:36:59,Asia-Northeast-1,US-West-1,100.66.7.12,126,18
Wed,16:36:59,Asia-Northeast-1,US-West-1,100.66.10.39,118,19
Wed,16:36:59,Asia-Northeast-1,US-West-1,100.66.8.167,124,20
Wed,16:36:59,Asia-Northeast-1,US-West-1,52.40.26.80,104,21
Wed,16:42:34,Asia-Northeast-1,US-West-1,175.41.192.146,15,1
Wed,16:42:34,Asia-Northeast-1,US-West-1,100.64.2.76,19,2
Wed,16:42:34,Asia-Northeast-1,US-West-1,100.64.0.133,8,3
Wed,16:42:34,Asia-Northeast-1,US-West-1,100.64.17.53,0,4
Wed,16:42:34,Asia-Northeast-1,US-West-1,52.95.30.211,1,5
Wed,16:42:34,Asia-Northeast-1,US-West-1,52.95.30.133,10,6
Wed,16:42:34,Asia-Northeast-1,US-West-1,52.95.31.20,2,7
Wed,16:42:34,Asia-Northeast-1,US-West-1,27.0.0.248,105,8
Wed,16:42:34,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Wed,16:42:34,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Wed,16:42:34,Asia-Northeast-1,US-West-1,52.93.13.10,105,11
Wed,16:42:34,Asia-Northeast-1,US-West-1,52.93.12.215,104,12
Wed,16:42:34,Asia-Northeast-1,US-West-1,52.93.12.36,120,13
Wed,16:42:34,Asia-Northeast-1,US-West-1,52.93.12.101,104,14
Wed,16:42:34,Asia-Northeast-1,US-West-1,52.93.13.75,105,15
Wed,16:42:34,Asia-Northeast-1,US-West-1,100.65.9.96,136,16
Wed,16:42:34,Asia-Northeast-1,US-West-1,100.66.4.200,118,17
Wed,16:42:34,Asia-Northeast-1,US-West-1,100.66.7.36,142,18
Wed,16:42:34,Asia-Northeast-1,US-West-1,100.66.10.139,118,19
Wed,16:42:34,Asia-Northeast-1,US-West-1,100.66.8.127,119,20
Wed,16:42:34,Asia-Northeast-1,US-West-1,52.40.26.80,104,21
Wed,16:48:16,Asia-Northeast-1,US-West-1,175.41.192.146,20,1
Wed,16:48:16,Asia-Northeast-1,US-West-1,100.64.0.140,14,2
Wed,16:48:16,Asia-Northeast-1,US-West-1,100.64.3.1,17,3
Wed,16:48:16,Asia-Northeast-1,US-West-1,100.64.17.43,0,4
Wed,16:48:16,Asia-Northeast-1,US-West-1,52.95.30.209,2,5
Wed,16:48:16,Asia-Northeast-1,US-West-1,52.95.31.129,8,6
Wed,16:48:16,Asia-Northeast-1,US-West-1,52.95.30.16,1,7
Wed,16:48:16,Asia-Northeast-1,US-West-1,54.239.52.134,105,8
Wed,16:48:16,Asia-Northeast-1,US-West-1,54.239.41.161,103,9
Wed,16:48:16,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Wed,16:48:16,Asia-Northeast-1,US-West-1,52.93.12.122,116,11
Wed,16:48:16,Asia-Northeast-1,US-West-1,52.93.13.29,104,12
Wed,16:48:16,Asia-Northeast-1,US-West-1,52.93.12.142,105,13
Wed,16:48:16,Asia-Northeast-1,US-West-1,52.93.12.209,104,14
Wed,16:48:16,Asia-Northeast-1,US-West-1,54.239.48.179,104,15
Wed,16:48:16,Asia-Northeast-1,US-West-1,100.65.10.32,120,16
Wed,16:48:16,Asia-Northeast-1,US-West-1,100.66.4.166,125,17
Wed,16:48:16,Asia-Northeast-1,US-West-1,100.66.6.206,126,18
Wed,16:48:16,Asia-Northeast-1,US-West-1,100.66.11.169,117,19
Wed,16:48:16,Asia-Northeast-1,US-West-1,100.66.8.87,418,20
Wed,16:48:16,Asia-Northeast-1,US-West-1,52.40.26.80,104,21
Wed,16:53:44,Asia-Northeast-1,US-West-1,175.41.192.146,21,1
Wed,16:53:44,Asia-Northeast-1,US-West-1,100.64.3.14,18,2
Wed,16:53:44,Asia-Northeast-1,US-West-1,100.64.0.197,20,3
Wed,16:53:44,Asia-Northeast-1,US-West-1,100.64.17.135,0,4
Wed,16:53:44,Asia-Northeast-1,US-West-1,52.95.30.217,3,5
Wed,16:53:44,Asia-Northeast-1,US-West-1,52.95.30.127,10,6
Wed,16:53:44,Asia-Northeast-1,US-West-1,52.95.31.18,4,7
Wed,16:53:44,Asia-Northeast-1,US-West-1,54.239.52.134,103,8
Wed,16:53:44,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Wed,16:53:44,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Wed,16:53:44,Asia-Northeast-1,US-West-1,52.93.12.158,106,11
Wed,16:53:44,Asia-Northeast-1,US-West-1,52.93.12.39,104,12
Wed,16:53:44,Asia-Northeast-1,US-West-1,52.93.12.144,142,13
Wed,16:53:44,Asia-Northeast-1,US-West-1,52.93.12.239,106,14
Wed,16:53:44,Asia-Northeast-1,US-West-1,52.93.15.221,104,15
Wed,16:53:44,Asia-Northeast-1,US-West-1,100.65.8.128,115,16
Wed,16:53:44,Asia-Northeast-1,US-West-1,100.66.4.146,116,17
Wed,16:53:44,Asia-Northeast-1,US-West-1,100.66.6.78,116,18
Wed,16:53:44,Asia-Northeast-1,US-West-1,100.66.11.99,116,19
Wed,16:53:44,Asia-Northeast-1,US-West-1,100.66.8.29,118,20
Wed,16:53:44,Asia-Northeast-1,US-West-1,52.40.26.80,104,21
Wed,16:59:15,Asia-Northeast-1,US-West-1,175.41.192.146,15,1
Wed,16:59:15,Asia-Northeast-1,US-West-1,100.64.2.12,21,2
Wed,16:59:15,Asia-Northeast-1,US-West-1,100.64.2.69,20,3
Wed,16:59:15,Asia-Northeast-1,US-West-1,100.64.16.145,10,4
Wed,16:59:15,Asia-Northeast-1,US-West-1,52.95.30.215,2,5
Wed,16:59:15,Asia-Northeast-1,US-West-1,52.95.31.129,3,6
Wed,16:59:15,Asia-Northeast-1,US-West-1,52.95.31.22,2,7
Wed,16:59:15,Asia-Northeast-1,US-West-1,27.0.0.248,104,8
Wed,16:59:15,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Wed,16:59:15,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Wed,16:59:15,Asia-Northeast-1,US-West-1,52.93.13.10,105,11
Wed,16:59:15,Asia-Northeast-1,US-West-1,52.93.12.75,104,12
Wed,16:59:15,Asia-Northeast-1,US-West-1,52.93.12.32,144,13
Wed,16:59:15,Asia-Northeast-1,US-West-1,52.93.12.173,104,14
Wed,16:59:15,Asia-Northeast-1,US-West-1,52.93.15.217,104,15
Wed,16:59:15,Asia-Northeast-1,US-West-1,100.65.8.192,120,16
Wed,16:59:15,Asia-Northeast-1,US-West-1,100.66.4.166,119,17
Wed,16:59:15,Asia-Northeast-1,US-West-1,100.66.6.66,115,18
Wed,16:59:15,Asia-Northeast-1,US-West-1,100.66.11.111,115,19
Wed,16:59:15,Asia-Northeast-1,US-West-1,100.66.8.139,123,20
Wed,16:59:15,Asia-Northeast-1,US-West-1,52.40.26.80,104,21
Wed,17:04:47,Asia-Northeast-1,US-West-1,175.41.192.148,12,1
Wed,17:04:47,Asia-Northeast-1,US-West-1,100.64.0.202,14,2
Wed,17:04:47,Asia-Northeast-1,US-West-1,100.64.1.3,15,3
Wed,17:04:47,Asia-Northeast-1,US-West-1,100.64.17.15,0,4
Wed,17:04:47,Asia-Northeast-1,US-West-1,52.95.30.213,3,5
Wed,17:04:47,Asia-Northeast-1,US-West-1,52.95.30.135,12,6
Wed,17:04:47,Asia-Northeast-1,US-West-1,52.95.31.10,2,7
Wed,17:04:47,Asia-Northeast-1,US-West-1,27.0.0.248,104,8
Wed,17:04:47,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Wed,17:04:47,Asia-Northeast-1,US-West-1,54.239.43.132,104,10
Wed,17:04:47,Asia-Northeast-1,US-West-1,52.93.13.10,110,11
Wed,17:04:47,Asia-Northeast-1,US-West-1,52.93.12.143,104,12
Wed,17:04:47,Asia-Northeast-1,US-West-1,52.93.12.72,121,13
Wed,17:04:47,Asia-Northeast-1,US-West-1,52.93.12.95,106,14
Wed,17:04:47,Asia-Northeast-1,US-West-1,54.239.48.177,104,15
Wed,17:04:47,Asia-Northeast-1,US-West-1,100.65.8.96,117,16
Wed,17:04:47,Asia-Northeast-1,US-West-1,100.66.4.58,123,17
Wed,17:04:47,Asia-Northeast-1,US-West-1,100.66.7.200,117,18
Wed,17:04:47,Asia-Northeast-1,US-West-1,100.66.11.7,458,19
Wed,17:04:47,Asia-Northeast-1,US-West-1,100.66.8.149,123,20
Wed,17:04:47,Asia-Northeast-1,US-West-1,52.40.26.80,104,21
Wed,17:10:19,Asia-Northeast-1,US-West-1,175.41.192.148,13,1
Wed,17:10:19,Asia-Northeast-1,US-West-1,100.64.0.74,19,2
Wed,17:10:19,Asia-Northeast-1,US-West-1,100.64.3.135,19,3
Wed,17:10:19,Asia-Northeast-1,US-West-1,100.64.17.53,0,4
Wed,17:10:19,Asia-Northeast-1,US-West-1,52.95.30.211,2,5
Wed,17:10:19,Asia-Northeast-1,US-West-1,52.95.31.123,11,6
Wed,17:10:19,Asia-Northeast-1,US-West-1,52.95.31.14,2,7
Wed,17:10:19,Asia-Northeast-1,US-West-1,54.239.52.134,103,8
Wed,17:10:19,Asia-Northeast-1,US-West-1,54.239.41.161,104,9
Wed,17:10:19,Asia-Northeast-1,US-West-1,54.239.43.132,103,10
Wed,17:10:19,Asia-Northeast-1,US-West-1,52.93.12.122,124,11
Wed,17:10:19,Asia-Northeast-1,US-West-1,52.93.12.249,105,12
Wed,17:10:19,Asia-Northeast-1,US-West-1,52.93.12.108,125,13
Wed,17:10:19,Asia-Northeast-1,US-West-1,52.93.12.167,106,14
Wed,17:10:19,Asia-Northeast-1,US-West-1,52.93.15.223,105,15
Wed,17:10:19,Asia-Northeast-1,US-West-1,100.65.8.192,135,16
Wed,17:10:19,Asia-Northeast-1,US-West-1,100.66.4.42,122,17
Wed,17:10:19,Asia-Northeast-1,US-West-1,100.66.6.76,120,18
Wed,17:10:19,Asia-Northeast-1,US-West-1,100.66.10.165,115,19
Wed,17:10:19,Asia-Northeast-1,US-West-1,100.66.8.153,118,20
Wed,17:10:19,Asia-Northeast-1,US-West-1,52.40.26.80,104,21
Wed,17:15:55,Asia-Northeast-1,US-West-1,175.41.192.150,12,1
Wed,17:15:55,Asia-Northeast-1,US-West-1,100.64.0.206,21,2
Wed,17:15:55,Asia-Northeast-1,US-West-1,100.64.1.7,20,3
