Day, Time, Sender Region, Receiver Region, Provider, Processor, Low ABW, High ABW
Wed,16:13:44,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1053
Wed,16:19:07,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,16:24:27,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,681,724
Wed,16:29:48,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,16:35:05,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1654
Wed,16:40:25,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,724,827
Wed,16:45:48,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1287
Wed,16:56:27,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1448
Wed,17:07:05,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,17:12:35,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,17:17:55,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,891
Wed,17:23:35,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,724,965
Wed,17:28:58,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,17:34:15,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Wed,17:54:00,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,17:59:20,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,18:04:38,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,18:09:55,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1158,1448
Wed,18:15:15,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1158
Wed,18:20:53,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,18:26:07,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,18:31:21,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1448
Wed,18:36:41,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,965
Wed,18:42:07,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,18:47:27,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,18:52:45,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,19:08:28,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1158
Wed,19:13:45,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,19:18:57,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,965
Wed,19:24:23,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,19:29:41,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,19:34:58,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,965
Wed,19:40:35,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1053
Wed,19:45:50,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1158,1654
Wed,19:51:07,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,20:07:08,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,20:12:25,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,20:17:37,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1448,1654
Wed,20:23:12,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1448,1654
Wed,20:28:24,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,20:33:44,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1287
Wed,20:49:33,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1448,1654
Wed,20:54:45,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,724,891
Wed,21:05:22,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,21:10:42,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1158,1654
Wed,21:21:14,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,21:26:35,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1158
Wed,21:31:57,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1158,1287
Wed,21:42:32,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1448
Wed,21:47:53,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1053
Wed,21:53:22,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1448,1654
Wed,22:03:45,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,22:09:03,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,22:14:20,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1158,1448
Wed,22:19:40,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,22:24:54,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,22:30:20,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,22:35:34,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,724,1287
Wed,22:46:16,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,22:51:45,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1053
Wed,23:02:20,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,23:07:51,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1654
