Day, Time, Sender Region, Receiver Region, Provider, Processor, Low ABW, High ABW
Tue,15:07:28,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1053
Tue,15:12:48,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,579,1158
Tue,15:18:09,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1158
Tue,15:28:41,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1287
Tue,15:34:04,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1287
Tue,15:39:27,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,724,1287
Tue,15:44:50,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1053
Tue,15:50:13,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1158,1287
Tue,15:55:45,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1448
Tue,16:06:20,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1287
Tue,16:11:42,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Tue,16:17:08,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1287
Tue,16:22:31,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1287
Tue,16:27:52,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1053
Tue,16:33:12,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Tue,16:38:35,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Tue,16:43:58,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,724,1158
Tue,16:49:21,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1053
Tue,17:00:08,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1158
Tue,17:05:28,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Tue,17:10:54,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1158,1287
Tue,17:21:29,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1448
Tue,17:26:49,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Tue,22:23:54,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1053
Tue,22:29:14,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,891,1053
Tue,22:39:52,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Tue,22:45:15,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1053
Tue,22:50:36,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1158,1448
Tue,22:55:56,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Tue,23:01:19,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1158,1158
Tue,23:06:42,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Tue,23:12:05,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Tue,23:17:28,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,891,1158
Tue,23:28:07,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,891,965
Tue,23:33:26,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,891,1053
Tue,23:38:49,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1287
Tue,23:44:09,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1287
Tue,23:49:32,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1287
Tue,23:54:52,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1287
