Day, Time, Sender Region, Receiver Region, Provider, Processor, Low ABW, High ABW
Wed,15:28:11,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,624,631
Wed,15:38:44,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,349,375
Wed,15:44:05,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,473,666
Wed,15:49:31,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,560,593
Wed,16:15:45,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,705
Wed,16:21:03,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,857
Wed,16:58:20,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,0,857
Wed,17:03:26,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Wed,17:08:47,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,857
Wed,17:13:54,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,437,461
Wed,17:24:18,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,750,800
Wed,17:29:31,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,666
Wed,17:34:54,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,631
Wed,17:50:24,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,0,857
Wed,18:05:56,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,857
Wed,18:11:03,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,857
Wed,18:21:27,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,562,600
Wed,18:26:50,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,857
Wed,18:37:21,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,598,631
Wed,18:58:28,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,750
Wed,19:09:09,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,444,666
Wed,19:35:00,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,490,490
Wed,19:40:21,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,750,750
Wed,19:45:39,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,461,512
Wed,19:51:16,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,500,600
Wed,19:56:34,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,500,512
Wed,20:02:16,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,750,800
Wed,20:07:37,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,705
Wed,20:12:57,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,750,800
Wed,21:23:00,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,470,480
Wed,21:28:24,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,750,750
Wed,21:33:44,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Wed,21:39:19,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,750,750
Wed,21:54:42,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
Wed,21:59:57,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,480,500
Wed,22:05:21,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,750
Wed,22:11:09,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,453,520
Wed,22:16:32,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,750,800
Wed,22:21:52,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,666
Wed,22:27:10,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,750
Wed,22:32:45,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,750,800
Wed,22:38:19,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,461,480
Wed,22:44:00,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,0,0
Wed,22:49:22,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,666
Wed,22:55:05,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,705,750
Wed,23:00:25,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,470,480
Thu,15:09:51,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,562,571
Thu,15:15:08,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,705
