Day, Time, Sender Region, Receiver Region, Provider, Processor, Low ABW, High ABW
Fri,14:34:21,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,666
Fri,14:39:39,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,666
Fri,14:45:02,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,631
Fri,14:50:20,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,631
Fri,14:55:43,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,631
Fri,15:01:04,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,400,437
Fri,15:06:41,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,631,631
Fri,15:12:02,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,571,600
Fri,19:40:18,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,600,857
Fri,19:45:26,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,533,566
Fri,19:50:55,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,491,500
Fri,19:56:21,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,0,521
Fri,20:01:35,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,444,500
Fri,20:06:59,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,470,480
Fri,20:12:34,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,495,512
Fri,20:33:41,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,857
Fri,20:44:10,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,0,857
Fri,20:54:38,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,521,750
Fri,21:05:08,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,0,631
Fri,21:26:00,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,333,600
Fri,21:36:38,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,545,857
Fri,21:41:45,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,857
Fri,21:51:55,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,0,923
Fri,21:57:01,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,666,857
Fri,22:02:09,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,428,857
Fri,22:13:09,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,521,631
Fri,22:23:32,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,0,857
Fri,22:44:26,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,480,490
Fri,22:49:47,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,518,521
Fri,22:55:15,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,470,480
Fri,23:00:40,US-East-2,EU-West-2,Amazon-Web-Services,Intel-Xeon-2.5-GHz,571,571
